time, price, bid, bidQty, offer, offerQty, percent, change
-1880609668, 8.970000, 8.960000, 1300, 8.970000, 3400, -0.440000, -0.040000
-1880609668, 8.970000, 8.960000, 1300, 8.970000, 3400, -0.440000, -0.040000
-1880609668, 8.970000, 8.960000, 1300, 8.970000, 3400, -0.440000, -0.040000
-1880608661, 8.970000, 8.960000, 1800, 8.970000, 3400, -0.440000, -0.040000
-1880607655, 8.970000, 8.960000, 1800, 8.970000, 3400, -0.440000, -0.040000
-1880606619, 8.970000, 8.960000, 1800, 8.970000, 3400, -0.440000, -0.040000
-1880605647, 8.970000, 8.960000, 1800, 8.970000, 3400, -0.440000, -0.040000
-1880604654, 8.970000, 8.960000, 1800, 8.970000, 3400, -0.440000, -0.040000
-1880603664, 8.970000, 8.960000, 1800, 8.970000, 3400, -0.440000, -0.040000
-1880602636, 8.970000, 8.960000, 1800, 8.970000, 3100, -0.440000, -0.040000
-1880601649, 8.970000, 8.960000, 1800, 8.970000, 3100, -0.440000, -0.040000
-1880600656, 8.970000, 8.960000, 1800, 8.970000, 2900, -0.440000, -0.040000
-1880599646, 8.970000, 8.960000, 1800, 8.970000, 3100, -0.440000, -0.040000
-1880598640, 8.970000, 8.960000, 1800, 8.970000, 3100, -0.440000, -0.040000
-1880597650, 8.970000, 8.960000, 1800, 8.970000, 3100, -0.440000, -0.040000
-1880596646, 8.970000, 8.960000, 1800, 8.970000, 2900, -0.440000, -0.040000
-1880595638, 8.960000, 8.960000, 1800, 8.970000, 3100, -0.550000, -0.050000
-1880594645, 8.960000, 8.960000, 1800, 8.970000, 3100, -0.550000, -0.050000
-1880593664, 8.960000, 8.960000, 1800, 8.970000, 3100, -0.550000, -0.050000
-1880593144, 8.960000, 8.960000, 1800, 8.970000, 3100, -0.550000, -0.050000
-1880591637, 8.960000, 8.960000, 1800, 8.970000, 3100, -0.550000, -0.050000
-1880590638, 8.960000, 8.960000, 1800, 8.970000, 3100, -0.550000, -0.050000
-1880589615, 8.960000, 8.960000, 1800, 8.970000, 3100, -0.550000, -0.050000
-1880588629, 8.960000, 8.960000, 1600, 8.970000, 3200, -0.550000, -0.050000
-1880588629, 8.960000, 8.960000, 1600, 8.970000, 3200, -0.550000, -0.050000
-1880586640, 8.960000, 8.960000, 1600, 8.970000, 4800, -0.550000, -0.050000
-1880585653, 8.960000, 8.960000, 1600, 8.970000, 4800, -0.550000, -0.050000
-1880584644, 8.965000, 8.960000, 1200, 8.970000, 7700, -0.500000, -0.045000
-1880583635, 8.960000, 8.950000, 2200, 8.960000, 4100, -0.550000, -0.050000
-1880582648, 8.960000, 8.950000, 2400, 8.960000, 4100, -0.550000, -0.050000
-1880571596, 8.941000, 8.940000, 1500, 8.950000, 3400, -0.770000, -0.069000
-1880560631, 8.943700, 8.940000, 1500, 8.950000, 3400, -0.740000, -0.066300
-1880558633, 8.943700, 8.940000, 1500, 8.950000, 3400, -0.740000, -0.066300
-1880557638, 8.940000, 8.940000, 1500, 8.950000, 3400, -0.780000, -0.070000
-1880546615, 8.954100, 8.950000, 1200, 8.960000, 7400, -0.620000, -0.055900
-1880535613, 8.960000, 8.950000, 1500, 8.960000, 6600, -0.550000, -0.050000
-1880525115, 8.970000, 8.970000, 1600, 8.980000, 5800, -0.440000, -0.040000
-1880513658, 8.980000, 8.970000, 1900, 8.980000, 1300, -0.330000, -0.030000
-1880502675, 8.970000, 8.970000, 300, 8.970000, 2300, -0.440000, -0.040000
-1880502178, 8.970000, 8.970000, 300, 8.970000, 2300, -0.440000, -0.040000
-1880500669, 8.970000, 8.970000, 1000, 8.970000, 2300, -0.440000, -0.040000
-1880491668, 8.955000, 8.950000, 500, 8.960000, 5200, -0.610000, -0.055000
-1880490669, 8.955000, 8.950000, 500, 8.960000, 5200, -0.610000, -0.055000
-1880490133, 8.955000, 8.950000, 500, 8.960000, 5200, -0.610000, -0.055000
-1880479655, 8.960000, 8.950000, 2000, 8.960000, 1600, -0.550000, -0.050000
-1880468652, 8.960000, 8.950000, 2500, 8.960000, 2100, -0.550000, -0.050000
-1880457655, 8.955000, 8.950000, 2500, 8.960000, 2000, -0.610000, -0.055000
-1880446636, 8.960000, 8.950000, 2000, 8.960000, 3300, -0.550000, -0.050000
-1880442094, 8.960000, 8.950000, 2000, 8.960000, 3300, -0.550000, -0.050000
-1880441597, 8.960000, 8.960000, 3600, 8.970000, 4100, -0.550000, -0.050000
-1880431140, 8.970000, 8.960000, 1900, 8.970000, 5700, -0.440000, -0.040000
-1880427120, 8.970000, 8.960000, 1900, 8.970000, 6300, -0.440000, -0.040000
-1880416625, 8.980000, 8.970000, 3400, 8.980000, 2800, -0.330000, -0.030000
-1880405619, 8.980000, 8.970000, 4600, 8.980000, 1800, -0.330000, -0.030000
-1880394591, 8.990000, 8.980000, 4000, 8.990000, 2000, -0.220000, -0.020000
-1880383628, 8.990000, 8.980000, 3800, 8.990000, 1900, -0.220000, -0.020000
-1880372686, 8.990000, 8.980000, 4100, 8.990000, 1800, -0.220000, -0.020000
-1880361679, 8.980000, 8.980000, 1900, 8.990000, 3900, -0.330000, -0.030000
-1880350670, 9.000000, 8.990000, 2100, 9.000000, 5600, -0.110000, -0.010000
-1880347168, 8.995000, 8.990000, 2100, 9.000000, 5300, -0.170000, -0.015000
-1880344162, 9.005000, 9.000000, 2100, 9.010000, 3500, -0.060000, -0.005000
-1880333657, 9.005000, 9.000000, 2700, 9.010000, 2600, -0.060000, -0.005000
-1880322645, 9.020000, 9.010000, 2700, 9.020000, 8600, 0.110000, 0.010000
-1880311639, 9.030000, 9.020000, 2700, 9.030000, 4200, 0.220000, 0.020000
-1880300632, 9.039000, 9.030000, 1800, 9.040000, 10900, 0.320000, 0.029000
-1880289627, 9.035000, 9.030000, 1800, 9.040000, 11300, 0.280000, 0.025000
-1880288636, 9.040000, 9.030000, 1900, 9.040000, 10300, 0.330000, 0.030000
-1880277636, 9.020000, 9.020000, 700, 9.030000, 7500, 0.110000, 0.010000
-1880267077, 9.020000, 9.020000, 1000, 9.030000, 7100, 0.110000, 0.010000
-1880256083, 9.020000, 9.020000, 1600, 9.030000, 5400, 0.110000, 0.010000
-1880244609, 9.026000, 9.020000, 1800, 9.030000, 3500, 0.180000, 0.016000
-1880234188, 9.026000, 9.020000, 1900, 9.030000, 3500, 0.180000, 0.016000
-1880222683, 9.020000, 9.020000, 1100, 9.030000, 4000, 0.110000, 0.010000
-1880211641, 9.020000, 9.010000, 2800, 9.020000, 1300, 0.110000, 0.010000
-1880200668, 9.020000, 9.010000, 2500, 9.020000, 2600, 0.110000, 0.010000
-1880190133, 9.019000, 9.010000, 2000, 9.020000, 4900, 0.100000, 0.009000
-1880178656, 9.010000, 9.000000, 1600, 9.010000, 9300, 0.000000, 0.000000
-1880173160, 9.000000, 9.000000, 1600, 9.010000, 9500, -0.110000, -0.010000
-1880162637, 9.000000, 9.000000, 1600, 9.010000, 9100, -0.110000, -0.010000
-1880151644, 9.010000, 9.010000, 3000, 9.020000, 3000, 0.000000, 0.000000
-1880140605, 9.020000, 9.010000, 3900, 9.020000, 1200, 0.110000, 0.010000
-1880130135, 9.010000, 9.010000, 2900, 9.020000, 1300, 0.000000, 0.000000
-1880118627, 9.010000, 9.010000, 9900, 9.020000, 1300, 0.000000, 0.000000
-1880107614, 9.030000, 9.020000, 2300, 9.030000, 2800, 0.220000, 0.020000
-1880104115, 9.020000, 9.020000, 1900, 9.030000, 4100, 0.110000, 0.010000
-1880103617, 9.020000, 9.020000, 1900, 9.030000, 4100, 0.110000, 0.010000
-1880103086, 9.020000, 9.020000, 1900, 9.030000, 4100, 0.110000, 0.010000
-1880102099, 9.020000, 9.020000, 1900, 9.030000, 4100, 0.110000, 0.010000
-1880095643, 9.030000, 9.020000, 1900, 9.030000, 3100, 0.220000, 0.020000
-1880093192, 9.030000, 9.020000, 1900, 9.030000, 3100, 0.220000, 0.020000
-1880092661, 9.030000, 9.020000, 1900, 9.030000, 3100, 0.220000, 0.020000
-1880091682, 9.030000, 9.020000, 1900, 9.030000, 3100, 0.220000, 0.020000
-1880088184, 9.030000, 9.020000, 1900, 9.030000, 3100, 0.220000, 0.020000
-1880082680, 9.030000, 9.020000, 2200, 9.030000, 2100, 0.220000, 0.020000
-1880081680, 9.030000, 9.020000, 2200, 9.030000, 2100, 0.220000, 0.020000
-1880080673, 9.030000, 9.020000, 2200, 9.030000, 2100, 0.220000, 0.020000
