time, price, bid, bidQty, offer, offerQty, percent, change
-1880610338, 13.515000, 13.510000, 300, 13.540000, 800, -18.190001, -3.005000
-1880609837, 13.520000, 13.510000, 300, 13.540000, 400, -18.160000, -3.000000
-1880609837, 13.520000, 13.510000, 300, 13.540000, 400, -18.160000, -3.000000
-1880609837, 13.520000, 13.510000, 300, 13.540000, 400, -18.160000, -3.000000
-1880608835, 13.520000, 13.510000, 300, 13.520000, 300, -18.160000, -3.000000
-1880607834, 13.530000, 13.510000, 300, 13.530000, 300, -18.100000, -2.990000
-1880606834, 13.545000, 13.510000, 200, 13.520000, 600, -18.010000, -2.975000
-1880605831, 13.510000, 13.500000, 10200, 13.510000, 600, -18.219999, -3.010000
-1880604840, 13.519900, 13.520000, 1000, 13.540000, 300, -18.160000, -3.000100
-1880603827, 13.510000, 13.510000, 300, 13.520000, 600, -18.250000, -3.010000
-1880602795, 13.510000, 13.510000, 800, 13.520000, 400, -18.219999, -3.010000
-1880601830, 13.530000, 13.520000, 100, 13.540000, 300, -18.100000, -2.990000
-1880600835, 13.500000, 13.500000, 8400, 13.510000, 5600, -18.280001, -3.020000
-1880600835, 13.500000, 13.500000, 8400, 13.510000, 5600, -18.280001, -3.020000
-1880599304, 13.480000, 13.480000, 400, 13.500000, 100, -18.400000, -3.040000
-1880598318, 13.500000, 13.500000, 300, 13.510000, 5800, -18.280001, -3.020000
-1880597329, 13.500000, 13.500000, 300, 13.510000, 5800, -18.280001, -3.020000
-1880595825, 13.510000, 13.500000, 300, 13.510000, 1700, -18.219999, -3.010000
-1880594824, 13.500000, 13.480000, 400, 13.490000, 700, -18.280001, -3.020000
-1880594330, 13.450000, 13.440000, 800, 13.460000, 200, -18.580000, -3.070000
-1880592843, 13.440000, 13.430000, 900, 13.440000, 800, -18.639999, -3.080000
-1880591835, 13.439600, 13.430000, 900, 13.440000, 700, -18.650000, -3.080400
-1880590821, 13.420000, 13.420000, 600, 13.430000, 2200, -18.770000, -3.100000
