time,price,bid,bidQty,offer,offerQty,percent,change
-1704890700, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704888707, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704886677, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704884717, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704882713, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704880678, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704879211, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704876715, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704874675, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704872722, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704870711, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704868711, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704866707, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704864717, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704863211, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704860700, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704858708, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704856706, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704854703, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704852706, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704850709, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704848706, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704846702, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704844714, 2.600000, 2.600000, 1500, 2.610000, 100, -4.060000, -0.110000
-1704843205, 2.600000, 2.600000, 1600, 2.610000, 100, -4.060000, -0.110000
-1704840695, 2.600000, 2.600000, 1600, 2.610000, 100, -4.060000, -0.110000
-1704838696, 2.600000, 2.600000, 1600, 2.610000, 100, -4.060000, -0.110000
-1704836700, 2.600000, 2.600000, 1600, 2.610000, 100, -4.060000, -0.110000
-1704834699, 2.600000, 2.600000, 1600, 2.610000, 100, -4.060000, -0.110000
-1704832683, 2.600000, 2.600000, 1600, 2.610000, 100, -4.060000, -0.110000
-1704830704, 2.600000, 2.600000, 1600, 2.610000, 100, -4.060000, -0.110000
-1704828709, 2.600000, 2.600000, 1600, 2.610000, 100, -4.060000, -0.110000
-1704826705, 2.600000, 2.600000, 1600, 2.610000, 100, -4.060000, -0.110000
-1704824693, 2.600000, 2.600000, 1600, 2.610000, 100, -4.060000, -0.110000
-1704823198, 2.600000, 2.600000, 1600, 2.610000, 100, -4.060000, -0.110000
-1704820692, 2.600000, 2.600000, 1600, 2.610000, 100, -4.060000, -0.110000
-1704818691, 2.600000, 2.600000, 1600, 2.610000, 100, -4.060000, -0.110000
-1704816696, 2.600000, 2.600000, 1600, 2.610000, 100, -4.060000, -0.110000
-1704814695, 2.600000, 2.600000, 1600, 2.610000, 100, -4.060000, -0.110000
