time,price,bid,bidQty,offer,offerQty,percent,change
-1704890347, 3.180100, 3.180000, 700, 3.190000, 400, -2.450000, -0.079900
-1704888833, 3.180100, 3.180000, 700, 3.190000, 400, -2.450000, -0.079900
-1704886873, 3.180100, 3.180000, 700, 3.190000, 400, -2.450000, -0.079900
-1704884875, 3.180100, 3.180000, 700, 3.190000, 400, -2.450000, -0.079900
-1704882870, 3.180100, 3.180000, 700, 3.190000, 400, -2.450000, -0.079900
-1704880870, 3.180100, 3.180000, 700, 3.190000, 400, -2.450000, -0.079900
-1704878862, 3.180100, 3.180000, 700, 3.190000, 400, -2.450000, -0.079900
-1704876875, 3.180100, 3.180000, 700, 3.190000, 400, -2.450000, -0.079900
-1704874863, 3.180100, 3.180000, 700, 3.190000, 400, -2.450000, -0.079900
-1704872870, 3.180100, 3.180000, 700, 3.190000, 400, -2.450000, -0.079900
-1704871368, 3.180100, 3.180000, 700, 3.190000, 400, -2.450000, -0.079900
-1704868877, 3.180100, 3.180000, 700, 3.190000, 400, -2.450000, -0.079900
-1704866867, 3.180100, 3.180000, 700, 3.190000, 400, -2.450000, -0.079900
-1704864870, 3.180100, 3.180000, 700, 3.190000, 400, -2.450000, -0.079900
-1704862845, 3.180000, 3.160000, 200, 3.190000, 400, -2.450000, -0.080000
-1704860861, 3.180000, 3.160000, 200, 3.180000, 100, -2.450000, -0.080000
-1704858870, 3.180000, 3.160000, 200, 3.180000, 100, -2.450000, -0.080000
-1704856872, 3.180000, 3.160000, 200, 3.180000, 100, -2.450000, -0.080000
-1704854871, 3.180000, 3.160000, 200, 3.180000, 100, -2.450000, -0.080000
-1704852879, 3.180000, 3.160000, 200, 3.180000, 100, -2.450000, -0.080000
-1704850865, 3.180000, 3.160000, 200, 3.180000, 100, -2.450000, -0.080000
-1704848857, 3.180000, 3.160000, 200, 3.180000, 100, -2.450000, -0.080000
-1704846849, 3.180000, 3.160000, 200, 3.180000, 100, -2.450000, -0.080000
-1704844881, 3.180000, 3.160000, 200, 3.180000, 100, -2.450000, -0.080000
-1704842784, 3.180000, 3.160000, 200, 3.180000, 100, -2.450000, -0.080000
-1704841454, 3.180000, 3.160000, 200, 3.180000, 100, -2.450000, -0.080000
-1704838956, 3.180000, 3.160000, 200, 3.180000, 100, -2.450000, -0.080000
