time,price,bid,bidQty,offer,offerQty,percent,change
-1704888912, 11.290000, 11.240000, 100, 11.280000, 100, -5.130000, -0.610000
-1704886904, 11.290000, 11.240000, 100, 11.280000, 100, -5.130000, -0.610000
-1704884879, 11.290000, 11.240000, 100, 11.280000, 100, -5.130000, -0.610000
-1704883404, 11.290000, 11.240000, 100, 11.280000, 100, -5.130000, -0.610000
-1704880904, 11.290000, 11.240000, 100, 11.280000, 100, -5.130000, -0.610000
-1704878914, 11.290000, 11.240000, 100, 11.280000, 100, -5.130000, -0.610000
-1704876900, 11.290000, 11.240000, 100, 11.280000, 100, -5.130000, -0.610000
-1704874902, 11.290000, 11.240000, 100, 11.280000, 100, -5.130000, -0.610000
-1704872899, 11.290000, 11.240000, 100, 11.270000, 100, -5.130000, -0.610000
-1704870892, 11.290000, 11.240000, 100, 11.270000, 100, -5.130000, -0.610000
-1704868856, 11.290000, 11.240000, 100, 11.270000, 100, -5.130000, -0.610000
-1704866912, 11.290000, 11.240000, 100, 11.270000, 100, -5.130000, -0.610000
-1704864892, 11.290000, 11.240000, 100, 11.270000, 100, -5.130000, -0.610000
-1704862900, 11.255100, 11.240000, 100, 11.270000, 100, -5.420000, -0.644900
-1704860896, 11.255100, 11.230000, 100, 11.270000, 100, -5.420000, -0.644900
-1704858920, 11.255100, 11.230000, 100, 11.270000, 100, -5.420000, -0.644900
-1704856882, 11.290000, 11.260000, 100, 11.310000, 300, -5.130000, -0.610000
-1704854883, 11.290000, 11.260000, 100, 11.310000, 300, -5.130000, -0.610000
-1704852893, 11.310000, 11.270000, 100, 11.310000, 300, -4.960000, -0.590000
-1704850890, 11.310000, 11.260000, 100, 11.300000, 200, -4.960000, -0.590000
-1704848896, 11.310000, 11.260000, 100, 11.300000, 300, -4.960000, -0.590000
-1704846883, 11.310000, 11.260000, 100, 11.300000, 300, -4.960000, -0.590000
-1704844894, 11.310000, 11.260000, 100, 11.300000, 300, -4.960000, -0.590000
-1704842875, 11.310000, 11.260000, 100, 11.300000, 300, -4.960000, -0.590000
-1704840878, 11.290000, 11.260000, 100, 11.290000, 100, -5.130000, -0.610000
-1704838882, 11.290000, 11.260000, 100, 11.290000, 200, -5.130000, -0.610000
-1704836874, 11.290000, 11.260000, 100, 11.290000, 200, -5.130000, -0.610000
-1704834884, 11.290000, 11.260000, 100, 11.290000, 200, -5.130000, -0.610000
-1704832880, 11.290000, 11.260000, 100, 11.290000, 200, -5.130000, -0.610000
-1704830874, 11.290000, 11.260000, 100, 11.290000, 200, -5.130000, -0.610000
-1704828856, 11.290000, 11.260000, 100, 11.290000, 200, -5.130000, -0.610000
-1704826875, 11.290000, 11.260000, 100, 11.290000, 200, -5.130000, -0.610000
-1704824759, 11.290000, 11.260000, 100, 11.290000, 200, -5.130000, -0.610000
-1704822866, 11.290000, 11.260000, 100, 11.290000, 200, -5.130000, -0.610000
-1704820836, 11.290000, 11.260000, 100, 11.290000, 200, -5.130000, -0.610000
-1704818873, 11.290000, 11.260000, 100, 11.290000, 200, -5.130000, -0.610000
-1704816889, 11.290000, 11.260000, 100, 11.290000, 200, -5.130000, -0.610000
-1704814880, 11.290000, 11.260000, 100, 11.290000, 200, -5.130000, -0.610000
