time,price,bid,bidQty,offer,offerQty,percent,change
-1704890700, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704888695, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704886660, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704884700, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704882700, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704880669, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704878696, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704876699, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704874665, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704872689, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704871666, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704868663, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704866684, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704864690, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704862680, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704860700, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704858684, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704856691, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704854695, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704852686, 2.790000, 2.780000, 200, 2.800000, 500, -2.450000, -0.070000
-1704850686, 2.799000, 2.790000, 200, 2.810000, 600, -2.130000, -0.061000
-1704848659, 2.799000, 2.790000, 200, 2.830000, 600, -2.130000, -0.061000
-1704846689, 2.799000, 2.800000, 100, 2.830000, 300, -2.130000, -0.061000
-1704844668, 2.799000, 2.800000, 100, 2.830000, 300, -2.130000, -0.061000
-1704842684, 2.799000, 2.800000, 100, 2.830000, 300, -2.130000, -0.061000
-1704840696, 2.799000, 2.800000, 100, 2.830000, 300, -2.130000, -0.061000
