time,price,bid,bidQty,offer,offerQty,percent,change
-1704890416, 6.755000, 6.750000, 7900, 6.760000, 24900, -0.370000, -0.025000
-1704889490, 6.755000, 6.750000, 7300, 6.760000, 24900, -0.370000, -0.025000
-1704886983, 6.755000, 6.750000, 7300, 6.760000, 24900, -0.370000, -0.025000
-1704885482, 6.755000, 6.750000, 7300, 6.760000, 24900, -0.370000, -0.025000
-1704883479, 6.750000, 6.750000, 4000, 6.760000, 25100, -0.440000, -0.030000
-1704881466, 6.755000, 6.750000, 3000, 6.760000, 25100, -0.370000, -0.025000
-1704879467, 6.755000, 6.750000, 5200, 6.760000, 25100, -0.370000, -0.025000
-1704876983, 6.755000, 6.750000, 5300, 6.760000, 25100, -0.370000, -0.025000
-1704874943, 6.750000, 6.750000, 5500, 6.760000, 25100, -0.440000, -0.030000
-1704873477, 6.750000, 6.750000, 5500, 6.760000, 25100, -0.440000, -0.030000
-1704870983, 6.750000, 6.750000, 5500, 6.760000, 25100, -0.440000, -0.030000
-1704868977, 6.750000, 6.750000, 5500, 6.760000, 25100, -0.440000, -0.030000
-1704866980, 6.750000, 6.750000, 5500, 6.760000, 25100, -0.440000, -0.030000
-1704864977, 6.750000, 6.750000, 5900, 6.760000, 25100, -0.440000, -0.030000
-1704862943, 6.750000, 6.750000, 5500, 6.760000, 25100, -0.440000, -0.030000
-1704860973, 6.750000, 6.750000, 10500, 6.760000, 25100, -0.440000, -0.030000
-1704858969, 6.750000, 6.750000, 10900, 6.760000, 25100, -0.440000, -0.030000
-1704856944, 6.750000, 6.750000, 10600, 6.760000, 25100, -0.440000, -0.030000
-1704856475, 6.750000, 6.750000, 10600, 6.760000, 25100, -0.440000, -0.030000
-1704852957, 6.750000, 6.750000, 10700, 6.760000, 25100, -0.440000, -0.030000
-1704850927, 6.750000, 6.750000, 10700, 6.760000, 25100, -0.440000, -0.030000
-1704849468, 6.750000, 6.750000, 11200, 6.760000, 25100, -0.440000, -0.030000
-1704846965, 6.750000, 6.750000, 10800, 6.760000, 25100, -0.440000, -0.030000
-1704844928, 6.750000, 6.750000, 10800, 6.760000, 25100, -0.440000, -0.030000
-1704842973, 6.750000, 6.750000, 10700, 6.760000, 25100, -0.440000, -0.030000
-1704840961, 6.755000, 6.750000, 10700, 6.760000, 25100, -0.370000, -0.025000
-1704838965, 6.755000, 6.750000, 12300, 6.760000, 25100, -0.370000, -0.025000
-1704836965, 6.760000, 6.750000, 27600, 6.760000, 11900, -0.290000, -0.020000
-1704834966, 6.755000, 6.750000, 27600, 6.760000, 12600, -0.370000, -0.025000
-1704832963, 6.760000, 6.760000, 6500, 6.760000, 6600, -0.290000, -0.020000
-1704831465, 6.765000, 6.760000, 28300, 6.770000, 7000, -0.220000, -0.015000
-1704829463, 6.765000, 6.760000, 28300, 6.770000, 8500, -0.220000, -0.015000
-1704826962, 6.765000, 6.760000, 18700, 6.770000, 19600, -0.220000, -0.015000
