time,price,bid,bidQty,offer,offerQty,percent,change
-1704890413, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704889894, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704886923, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704884917, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704882911, 0.595000, 0.590200, 100, 0.595000, 2100, 1.050000, 0.006200
-1704880924, 0.595000, 0.590200, 100, 0.595000, 2100, 1.050000, 0.006200
-1704878920, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704877373, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704874910, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704872920, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704870909, 0.595000, 0.590200, 100, 0.595000, 2100, 1.050000, 0.006200
-1704869421, 0.595000, 0.590200, 100, 0.595000, 2100, 1.050000, 0.006200
-1704866909, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704864911, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704862882, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704860908, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704859422, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704856902, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704855411, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704853396, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704850916, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704849407, 0.595000, 0.590300, 400, 0.595000, 2100, 1.050000, 0.006200
-1704846911, 0.595000, 0.590200, 100, 0.595000, 1500, 1.050000, 0.006200
-1704844883, 0.595000, 0.590200, 100, 0.595000, 1500, 1.050000, 0.006200
-1704843392, 0.595000, 0.590200, 100, 0.595000, 1500, 1.050000, 0.006200
-1704840964, 0.595000, 0.590300, 400, 0.595000, 1500, 1.050000, 0.006200
-1704838962, 0.592700, 0.600000, 28300, 0.605000, 21300, 0.660000, 0.003900
-1704837966, 0.592700, 0.600000, 28300, 0.605000, 21300, 0.660000, 0.003900
-1704835461, 0.592700, 0.600000, 28300, 0.605000, 21300, 0.660000, 0.003900
-1704832950, 0.592700, 0.600100, 400, 0.605000, 20900, 0.660000, 0.003900
-1704830961, 0.592700, 0.600100, 400, 0.605000, 20900, 0.660000, 0.003900
-1704829463, 0.592700, 0.600100, 400, 0.605000, 20900, 0.660000, 0.003900
-1704826962, 0.592700, 0.600000, 28300, 0.605000, 20900, 0.660000, 0.003900
-1704824965, 0.592700, 0.600000, 28300, 0.605000, 20900, 0.660000, 0.003900
-1704823455, 0.592700, 0.600000, 28300, 0.605000, 20900, 0.660000, 0.003900
-1704820960, 0.592700, 0.600100, 400, 0.605000, 20900, 0.660000, 0.003900
-1704818930, 0.592700, 0.600100, 400, 0.605000, 20900, 0.660000, 0.003900
-1704816940, 0.600200, 0.600100, 400, 0.605000, 20900, 1.940000, 0.011400
-1704814959, 0.600200, 0.600100, 400, 0.605000, 20900, 1.940000, 0.011400
-1704812950, 0.600200, 0.600100, 400, 0.605000, 20900, 1.940000, 0.011400
-1704811457, 0.600200, 0.600100, 400, 0.605000, 20900, 1.940000, 0.011400
-1704808951, 0.600200, 0.600100, 400, 0.605000, 20900, 1.940000, 0.011400
-1704806953, 0.600200, 0.600100, 400, 0.605000, 20900, 1.940000, 0.011400
-1704806451, 0.600200, 0.600500, 1000, 0.605000, 20900, 1.940000, 0.011400
-1704804422, 0.600200, 0.600600, 800, 0.605000, 20900, 1.940000, 0.011400
-1704800948, 0.600200, 0.600600, 800, 0.605000, 900, 1.940000, 0.011400
-1704798950, 0.600200, 0.600600, 800, 0.605000, 900, 1.940000, 0.011400
-1704796955, 0.600200, 0.600600, 600, 0.605000, 900, 1.940000, 0.011400
-1704794949, 0.600200, 0.600600, 600, 0.605000, 900, 1.940000, 0.011400
-1704792947, 0.600200, 0.600600, 600, 0.605000, 900, 1.940000, 0.011400
-1704790948, 0.600200, 0.600700, 400, 0.605000, 900, 1.940000, 0.011400
-1704788951, 0.600200, 0.600700, 400, 0.605000, 900, 1.940000, 0.011400
-1704786906, 0.600200, 0.600700, 400, 0.605000, 900, 1.940000, 0.011400
-1704784945, 0.600200, 0.600700, 400, 0.605000, 900, 1.940000, 0.011400
-1704783449, 0.600200, 0.600700, 400, 0.605000, 900, 1.940000, 0.011400
-1704780936, 0.601300, 0.600600, 400, 0.605000, 900, 2.120000, 0.012500
-1704778949, 0.601300, 0.600600, 400, 0.605000, 900, 2.120000, 0.012500
-1704776913, 0.601300, 0.600700, 400, 0.605000, 900, 2.120000, 0.012500
-1704774940, 0.601300, 0.600700, 400, 0.605000, 900, 2.120000, 0.012500
-1704772944, 0.601300, 0.600700, 400, 0.605000, 900, 2.120000, 0.012500
-1704771442, 0.601300, 0.600700, 400, 0.605000, 900, 2.120000, 0.012500
-1704768937, 0.601300, 0.600600, 400, 0.605000, 900, 2.120000, 0.012500
-1704766940, 0.601300, 0.600700, 400, 0.605000, 900, 2.120000, 0.012500
-1704765943, 0.601300, 0.600700, 400, 0.605000, 900, 2.120000, 0.012500
-1704762937, 0.601300, 0.600700, 400, 0.605000, 900, 2.120000, 0.012500
-1704760930, 0.601300, 0.600600, 400, 0.605000, 900, 2.120000, 0.012500
-1704759944, 0.601300, 0.600600, 400, 0.605000, 900, 2.120000, 0.012500
-1704756918, 0.601300, 0.600700, 400, 0.605000, 900, 2.120000, 0.012500
-1704754932, 0.601300, 0.600700, 400, 0.605000, 900, 2.120000, 0.012500
-1704752928, 0.601300, 0.600700, 400, 0.605000, 900, 2.120000, 0.012500
-1704751427, 0.601300, 0.600700, 400, 0.605000, 900, 2.120000, 0.012500
-1704749442, 0.601300, 0.600700, 400, 0.605000, 900, 2.120000, 0.012500
-1704746918, 0.601300, 0.600700, 400, 0.605000, 900, 2.120000, 0.012500
-1704744932, 0.601300, 0.600600, 400, 0.605000, 900, 2.120000, 0.012500
-1704742932, 0.601300, 0.600600, 400, 0.605000, 900, 2.120000, 0.012500
-1704741429, 0.601300, 0.600700, 400, 0.605000, 900, 2.120000, 0.012500
