time,price,bid,bidQty,offer,offerQty,percent,change
-1704890694, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704888697, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704886684, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704884704, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704882714, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704880672, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704878711, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704876705, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704874658, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704872699, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704871209, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704868705, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704866691, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704864699, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704862715, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704860697, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704858705, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704856698, 2.110000, 2.100000, 800, 2.110000, 600, 0.960000, 0.020000
-1704854696, 2.110000, 2.100000, 800, 2.110000, 200, 0.960000, 0.020000
-1704852693, 2.110000, 2.100000, 800, 2.110000, 200, 0.960000, 0.020000
-1704850696, 2.110000, 2.100000, 800, 2.110000, 200, 0.960000, 0.020000
-1704848679, 2.110000, 2.100000, 800, 2.110000, 200, 0.960000, 0.020000
-1704846694, 2.110000, 2.100000, 800, 2.110000, 200, 0.960000, 0.020000
-1704844687, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704842698, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704840691, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704838682, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704836688, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704835178, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704832688, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704830692, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704828701, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704826685, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704824692, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704822689, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704820686, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704818674, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704816678, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704814677, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704812685, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704810678, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704808680, 2.120000, 2.110000, 300, 2.120000, 200, 1.440000, 0.030000
-1704806674, 2.120000, 2.110000, 300, 2.120000, 400, 1.440000, 0.030000
-1704804632, 2.120000, 2.110000, 300, 2.120000, 400, 1.440000, 0.030000
-1704802673, 2.120000, 2.110000, 300, 2.120000, 400, 1.440000, 0.030000
-1704800669, 2.120000, 2.110000, 300, 2.120000, 400, 1.440000, 0.030000
-1704798690, 2.120000, 2.110000, 300, 2.120000, 400, 1.440000, 0.030000
-1704796675, 2.120000, 2.110000, 300, 2.120000, 400, 1.440000, 0.030000
-1704794664, 2.120000, 2.110000, 300, 2.120000, 400, 1.440000, 0.030000
-1704792676, 2.120000, 2.110000, 300, 2.120000, 400, 1.440000, 0.030000
