time,price,bid,bidQty,offer,offerQty,percent,change
-1704890379, 5.150000, 5.140000, 200, 5.150000, 200, 27.160000, 1.100000
-1704888902, 5.130000, 5.130000, 200, 5.140000, 300, 26.670000, 1.080000
-1704886907, 5.120000, 5.120000, 600, 5.130000, 100, 26.420000, 1.070000
-1704884898, 5.110000, 5.110000, 3500, 5.120000, 500, 26.170000, 1.060000
-1704882905, 5.120000, 5.120000, 3000, 5.130000, 100, 26.420000, 1.070000
-1704880902, 5.120000, 5.120000, 2800, 5.130000, 100, 26.420000, 1.070000
-1704878901, 5.160000, 5.150000, 500, 5.160000, 1100, 27.410000, 1.110000
-1704878389, 5.150000, 5.140000, 4700, 5.160000, 800, 27.160000, 1.100000
-1704874905, 5.150000, 5.150000, 400, 5.160000, 800, 27.160000, 1.100000
-1704872898, 5.160000, 5.150000, 400, 5.160000, 800, 27.410000, 1.110000
-1704871403, 5.150000, 5.150000, 400, 5.160000, 800, 27.160000, 1.100000
-1704868903, 5.150300, 5.150000, 100, 5.160000, 800, 27.170000, 1.100300
-1704866906, 5.160000, 5.150000, 100, 5.160000, 800, 27.410000, 1.110000
-1704864895, 5.160000, 5.150000, 200, 5.160000, 800, 27.410000, 1.110000
-1704862872, 5.160000, 5.150000, 200, 5.160000, 800, 27.410000, 1.110000
-1704860895, 5.160000, 5.150000, 200, 5.160000, 800, 27.410000, 1.110000
-1704858882, 5.160000, 5.150000, 200, 5.160000, 800, 27.410000, 1.110000
-1704857348, 5.160000, 5.150000, 100, 5.160000, 800, 27.410000, 1.110000
-1704855384, 5.159900, 5.150000, 100, 5.160000, 800, 27.400000, 1.109900
-1704852887, 5.170000, 5.160000, 100, 5.170000, 16500, 27.650000, 1.120000
-1704850885, 5.200000, 5.200000, 800, 5.210000, 9600, 28.400000, 1.150000
-1704849377, 5.210000, 5.210000, 300, 5.220000, 500, 28.639999, 1.160000
-1704847884, 5.240000, 5.230000, 2600, 5.240000, 500, 29.379999, 1.190000
-1704844875, 5.250200, 5.250000, 400, 5.260000, 500, 29.629999, 1.200200
-1704843383, 5.250000, 5.240000, 4100, 5.250000, 900, 29.629999, 1.200000
-1704841455, 5.228600, 5.220000, 200, 5.240000, 200, 29.100000, 1.178600
-1704838960, 5.230000, 5.220000, 800, 5.230000, 100, 29.139999, 1.180000
-1704836960, 5.229900, 5.220000, 800, 5.230000, 200, 29.129999, 1.179900
-1704835454, 5.230000, 5.220000, 1200, 5.230000, 500, 29.139999, 1.180000
-1704832927, 5.220000, 5.220000, 1100, 5.230000, 500, 28.889999, 1.170000
-1704830930, 5.230000, 5.230000, 800, 5.240000, 200, 29.139999, 1.180000
-1704828955, 5.240000, 5.230000, 1100, 5.240000, 500, 29.379999, 1.190000
-1704829886, 5.235600, 5.230000, 900, 5.240000, 200, 29.270000, 1.185600
-1704825953, 5.240000, 5.230000, 1000, 5.240000, 300, 29.379999, 1.190000
-1704822954, 5.248700, 5.240000, 800, 5.250000, 500, 29.600000, 1.198700
-1704820953, 5.238000, 5.230000, 800, 5.240000, 600, 29.330000, 1.188000
-1704820450, 5.230000, 5.230000, 1100, 5.240000, 100, 29.139999, 1.180000
-1704816936, 5.240000, 5.250000, 500, 5.260000, 700, 29.379999, 1.190000
-1704814953, 5.250000, 5.240000, 200, 5.250000, 600, 29.629999, 1.200000
-1704812947, 5.260000, 5.250000, 200, 5.260000, 700, 29.879999, 1.210000
-1704811445, 5.240000, 5.230000, 1300, 5.250000, 300, 29.379999, 1.190000
-1704808943, 5.240000, 5.230000, 100, 5.240000, 900, 29.379999, 1.190000
-1704806948, 5.240000, 5.230000, 100, 5.240000, 1000, 29.379999, 1.190000
-1704804948, 5.250000, 5.230000, 500, 5.240000, 2000, 29.629999, 1.200000
-1704802910, 5.240000, 5.220000, 1800, 5.230000, 800, 29.379999, 1.190000
-1704800940, 5.224700, 5.220000, 1700, 5.230000, 500, 29.000000, 1.174700
-1704798944, 5.220000, 5.220000, 1700, 5.230000, 500, 28.889999, 1.170000
-1704796905, 5.230000, 5.220000, 1800, 5.230000, 200, 29.139999, 1.180000
-1704794946, 5.227500, 5.220000, 1000, 5.230000, 400, 29.070000, 1.177500
-1704792945, 5.240000, 5.230000, 3100, 5.240000, 100, 29.379999, 1.190000
-1704790916, 5.250000, 5.250000, 200, 5.260000, 1300, 29.629999, 1.200000
-1704789926, 5.260000, 5.250000, 100, 5.260000, 500, 29.879999, 1.210000
-1704787433, 5.260000, 5.250000, 600, 5.260000, 100, 29.879999, 1.210000
-1704785438, 5.260000, 5.250000, 600, 5.260000, 100, 29.879999, 1.210000
-1704782940, 5.270000, 5.260000, 400, 5.270000, 10200, 30.120001, 1.220000
-1704780944, 5.268000, 5.260000, 400, 5.270000, 9000, 30.070000, 1.218000
-1704778924, 5.250000, 5.240000, 3000, 5.250000, 200, 29.629999, 1.200000
-1704776887, 5.240000, 5.230000, 1900, 5.240000, 500, 29.379999, 1.190000
-1704776887, 5.240000, 5.230000, 1900, 5.240000, 500, 29.379999, 1.190000
-1704772936, 5.240000, 5.230000, 1500, 5.240000, 2200, 29.379999, 1.190000
-1704770933, 5.240000, 5.230000, 1500, 5.240000, 1600, 29.379999, 1.190000
-1704768937, 5.230000, 5.220000, 2800, 5.230000, 100, 29.139999, 1.180000
-1704766933, 5.230000, 5.220000, 2800, 5.230000, 800, 29.139999, 1.180000
-1704764929, 5.220000, 5.210000, 2100, 5.220000, 600, 28.889999, 1.170000
-1704762923, 5.195000, 5.190000, 500, 5.200000, 100, 28.270000, 1.145000
-1704761421, 5.200000, 5.190000, 600, 5.200000, 100, 28.400000, 1.150000
-1704760362, 5.200000, 5.200000, 400, 5.210000, 200, 28.400000, 1.150000
-1704756893, 5.220000, 5.220000, 100, 5.230000, 900, 28.889999, 1.170000
-1704754929, 5.230000, 5.220000, 100, 5.230000, 800, 29.139999, 1.180000
