time,price,bid,bidQty,offer,offerQty,percent,change
-1704888912, 7.840000, 7.840000, 2400, 7.850000, 12300, 2.350000, 0.180000
-1704886903, 7.840000, 7.840000, 2400, 7.850000, 12300, 2.350000, 0.180000
-1704884879, 7.840000, 7.840000, 2400, 7.850000, 12300, 2.350000, 0.180000
-1704883403, 7.845000, 7.840000, 2400, 7.850000, 12200, 2.420000, 0.185000
-1704880903, 7.845000, 7.840000, 2400, 7.850000, 12200, 2.420000, 0.185000
-1704878913, 7.845000, 7.840000, 2400, 7.850000, 12100, 2.420000, 0.185000
-1704876899, 7.845000, 7.840000, 2400, 7.850000, 12100, 2.420000, 0.185000
-1704875405, 7.845000, 7.840000, 9800, 7.850000, 11800, 2.420000, 0.185000
-1704872898, 7.845000, 7.840000, 9700, 7.850000, 11800, 2.420000, 0.185000
-1704870891, 7.845000, 7.840000, 9700, 7.850000, 11800, 2.420000, 0.185000
-1704868856, 7.845000, 7.840000, 9500, 7.850000, 11300, 2.420000, 0.185000
-1704866911, 7.845000, 7.840000, 9500, 7.850000, 11300, 2.420000, 0.185000
-1704864892, 7.845000, 7.840000, 9500, 7.850000, 9000, 2.420000, 0.185000
-1704862899, 7.845000, 7.840000, 9400, 7.850000, 9000, 2.420000, 0.185000
-1704860895, 7.840000, 7.840000, 9400, 7.850000, 9000, 2.350000, 0.180000
-1704858920, 7.840000, 7.840000, 9400, 7.850000, 9000, 2.350000, 0.180000
-1704856881, 7.840000, 7.840000, 9400, 7.850000, 9000, 2.350000, 0.180000
-1704854882, 7.840000, 7.840000, 9400, 7.850000, 9000, 2.350000, 0.180000
-1704852892, 7.840000, 7.840000, 9400, 7.850000, 9000, 2.350000, 0.180000
-1704850889, 7.840000, 7.840000, 9400, 7.850000, 9600, 2.350000, 0.180000
-1704848895, 7.840000, 7.840000, 8500, 7.850000, 9000, 2.350000, 0.180000
-1704846882, 7.840000, 7.840000, 8400, 7.850000, 9000, 2.350000, 0.180000
-1704844893, 7.840000, 7.840000, 7300, 7.850000, 9000, 2.350000, 0.180000
-1704842875, 7.840000, 7.840000, 3700, 7.850000, 9400, 2.350000, 0.180000
-1704840876, 7.840000, 7.840000, 3700, 7.850000, 9400, 2.350000, 0.180000
-1704838881, 7.840000, 7.840000, 2700, 7.850000, 9400, 2.350000, 0.180000
-1704836873, 7.840000, 7.840000, 2700, 7.850000, 9400, 2.350000, 0.180000
-1704834883, 7.840000, 7.840000, 2700, 7.850000, 9400, 2.350000, 0.180000
-1704832880, 7.840000, 7.840000, 4500, 7.850000, 9400, 2.350000, 0.180000
-1704830873, 7.840000, 7.840000, 4200, 7.850000, 9400, 2.350000, 0.180000
-1704828855, 7.840000, 7.840000, 4200, 7.850000, 9400, 2.350000, 0.180000
-1704826874, 7.840000, 7.840000, 4200, 7.850000, 9400, 2.350000, 0.180000
-1704824759, 7.840000, 7.840000, 4200, 7.850000, 9400, 2.350000, 0.180000
-1704822865, 7.840000, 7.840000, 4200, 7.850000, 9400, 2.350000, 0.180000
-1704820835, 7.840000, 7.840000, 4200, 7.850000, 9400, 2.350000, 0.180000
-1704818872, 7.840000, 7.840000, 4200, 7.850000, 9600, 2.350000, 0.180000
-1704816888, 7.840000, 7.840000, 2700, 7.850000, 11400, 2.350000, 0.180000
-1704814880, 7.840000, 7.840000, 2700, 7.850000, 11400, 2.350000, 0.180000
-1704812832, 7.840000, 7.830000, 4500, 7.840000, 10400, 2.350000, 0.180000
-1704810874, 7.840000, 7.830000, 6300, 7.840000, 5000, 2.350000, 0.180000
-1704808865, 7.840000, 7.830000, 6700, 7.840000, 5000, 2.350000, 0.180000
