time,price,bid,bidQty,offer,offerQty,percent,change
-1704888921, 37.910000, 37.900002, 1200, 37.910000, 100, 0.050000, 0.020000
-1704886920, 37.910000, 37.900002, 1100, 37.910000, 100, 0.050000, 0.020000
-1704884922, 37.910000, 37.900002, 1100, 37.910000, 100, 0.050000, 0.020000
-1704882927, 37.910000, 37.900002, 1100, 37.910000, 100, 0.050000, 0.020000
-1704880916, 37.910000, 37.900002, 1100, 37.910000, 100, 0.050000, 0.020000
-1704878918, 37.910000, 37.900002, 1100, 37.910000, 100, 0.050000, 0.020000
-1704876921, 37.910000, 37.900002, 1100, 37.910000, 100, 0.050000, 0.020000
-1704874916, 37.910000, 37.900002, 1100, 37.910000, 100, 0.050000, 0.020000
-1704872917, 37.910000, 37.900002, 1100, 37.910000, 100, 0.050000, 0.020000
-1704870889, 37.910000, 37.900002, 1100, 37.910000, 100, 0.050000, 0.020000
-1704868891, 37.919998, 37.910000, 1000, 37.919998, 200, 0.080000, 0.030000
-1704866913, 37.919998, 37.919998, 500, 37.930000, 200, 0.080000, 0.030000
-1704864916, 37.919998, 37.919998, 500, 37.930000, 100, 0.080000, 0.030000
-1704862908, 37.919998, 37.919998, 400, 37.930000, 300, 0.080000, 0.030000
-1704860908, 37.930000, 37.919998, 600, 37.930000, 100, 0.110000, 0.040000
-1704858897, 37.930000, 37.919998, 600, 37.930000, 100, 0.110000, 0.040000
-1704856928, 37.919998, 37.919998, 300, 37.930000, 1000, 0.080000, 0.030000
-1704854876, 37.919998, 37.919998, 300, 37.930000, 1100, 0.080000, 0.030000
-1704852914, 37.919998, 37.919998, 500, 37.930000, 900, 0.080000, 0.030000
-1704850910, 37.910000, 37.910000, 400, 37.919998, 1400, 0.050000, 0.020000
-1704848911, 37.910000, 37.910000, 400, 37.919998, 1500, 0.050000, 0.020000
-1704846905, 37.910000, 37.900002, 200, 37.910000, 1400, 0.050000, 0.020000
-1704844905, 37.910000, 37.900002, 200, 37.910000, 1400, 0.050000, 0.020000
-1704842884, 37.910000, 37.900002, 200, 37.910000, 1400, 0.050000, 0.020000
-1704840879, 37.910000, 37.900002, 200, 37.910000, 1500, 0.050000, 0.020000
-1704838903, 37.910000, 37.900002, 200, 37.910000, 1400, 0.050000, 0.020000
-1704836898, 37.910000, 37.900002, 200, 37.910000, 1400, 0.050000, 0.020000
-1704834900, 37.910000, 37.900002, 500, 37.910000, 1400, 0.050000, 0.020000
-1704832889, 37.910000, 37.910000, 200, 37.910000, 700, 0.050000, 0.020000
-1704830910, 37.910000, 37.900002, 700, 37.910000, 700, 0.050000, 0.020000
-1704828853, 37.910000, 37.900002, 700, 37.910000, 700, 0.050000, 0.020000
-1704826888, 37.910000, 37.900002, 600, 37.910000, 700, 0.050000, 0.020000
-1704824809, 37.900002, 37.900002, 300, 37.910000, 1200, 0.030000, 0.010000
-1704822903, 37.900002, 37.900002, 300, 37.910000, 1200, 0.030000, 0.010000
-1704820894, 37.900002, 37.900002, 300, 37.910000, 1200, 0.030000, 0.010000
-1704818901, 37.900002, 37.900002, 300, 37.910000, 1200, 0.030000, 0.010000
-1704816887, 37.900002, 37.900002, 300, 37.910000, 1200, 0.030000, 0.010000
-1704814899, 37.900002, 37.900002, 300, 37.910000, 1200, 0.030000, 0.010000
-1704812895, 37.900002, 37.900002, 300, 37.910000, 1200, 0.030000, 0.010000
-1704810891, 37.900002, 37.889999, 100, 37.900002, 1100, 0.030000, 0.010000
-1704808902, 37.900002, 37.889999, 200, 37.900002, 1200, 0.030000, 0.010000
-1704806903, 37.900002, 37.900002, 600, 37.910000, 700, 0.030000, 0.010000
-1704804890, 37.900002, 37.900002, 400, 37.910000, 700, 0.030000, 0.010000
-1704802889, 37.900002, 37.900002, 200, 37.910000, 1000, 0.030000, 0.010000
-1704800890, 37.900002, 37.900002, 200, 37.910000, 1000, 0.030000, 0.010000
-1704799390, 37.900002, 37.900002, 100, 37.910000, 1200, 0.030000, 0.010000
-1704796892, 37.900002, 37.889999, 700, 37.900002, 500, 0.030000, 0.010000
-1704794886, 37.900002, 37.889999, 800, 37.900002, 400, 0.030000, 0.010000
-1704792902, 37.900002, 37.900002, 500, 37.910000, 700, 0.030000, 0.010000
-1704790891, 37.900002, 37.900002, 500, 37.910000, 700, 0.030000, 0.010000
-1704788879, 37.900002, 37.889999, 800, 37.900002, 500, 0.030000, 0.010000
-1704786890, 37.900002, 37.889999, 400, 37.900002, 600, 0.030000, 0.010000
-1704784839, 37.900002, 37.889999, 400, 37.900002, 700, 0.030000, 0.010000
-1704782877, 37.900002, 37.889999, 400, 37.900002, 600, 0.030000, 0.010000
-1704780852, 37.900002, 37.889999, 600, 37.900002, 500, 0.030000, 0.010000
-1704778873, 37.900002, 37.889999, 600, 37.900002, 500, 0.030000, 0.010000
-1704776886, 37.900002, 37.889999, 600, 37.900002, 400, 0.030000, 0.010000
-1704774882, 37.900002, 37.889999, 600, 37.900002, 200, 0.030000, 0.010000
-1704772879, 37.900002, 37.889999, 600, 37.900002, 200, 0.030000, 0.010000
-1704770833, 37.900002, 37.889999, 600, 37.900002, 500, 0.030000, 0.010000
-1704768874, 37.900002, 37.889999, 600, 37.900002, 500, 0.030000, 0.010000
-1704766875, 37.900002, 37.889999, 600, 37.900002, 400, 0.030000, 0.010000
-1704764882, 37.900002, 37.889999, 600, 37.900002, 500, 0.030000, 0.010000
-1704762879, 37.900002, 37.889999, 600, 37.900002, 400, 0.030000, 0.010000
-1704760871, 37.900002, 37.889999, 600, 37.900002, 400, 0.030000, 0.010000
-1704758869, 37.900002, 37.889999, 600, 37.900002, 400, 0.030000, 0.010000
-1704756873, 37.900002, 37.889999, 600, 37.900002, 600, 0.030000, 0.010000
-1704754846, 37.900002, 37.889999, 600, 37.900002, 600, 0.030000, 0.010000
-1704752842, 37.900002, 37.889999, 600, 37.900002, 600, 0.030000, 0.010000
-1704750875, 37.900002, 37.889999, 600, 37.900002, 600, 0.030000, 0.010000
-1704748860, 37.895000, 37.889999, 900, 37.900002, 500, 0.010000, 0.005000
-1704746786, 37.900002, 37.889999, 900, 37.900002, 700, 0.030000, 0.010000
-1704744939, 37.900002, 37.889999, 900, 37.900002, 700, 0.030000, 0.010000
-1704742940, 37.900002, 37.889999, 700, 37.900002, 700, 0.030000, 0.010000
-1704741442, 37.900002, 37.889999, 700, 37.900002, 700, 0.030000, 0.010000
-1704739441, 37.900002, 37.889999, 700, 37.900002, 700, 0.030000, 0.010000
-1704736940, 37.900002, 37.889999, 700, 37.900002, 900, 0.030000, 0.010000
-1704734939, 37.900002, 37.889999, 700, 37.900002, 900, 0.030000, 0.010000
-1704732937, 37.900002, 37.889999, 700, 37.900002, 900, 0.030000, 0.010000
-1704730937, 37.889999, 37.880001, 700, 37.889999, 1000, 0.000000, 0.000000
-1704728933, 37.889999, 37.880001, 500, 37.889999, 900, 0.000000, 0.000000
-1704726935, 37.889999, 37.880001, 500, 37.889999, 800, 0.000000, 0.000000
-1704724919, 37.889999, 37.880001, 500, 37.889999, 800, 0.000000, 0.000000
-1704722936, 37.889999, 37.880001, 500, 37.889999, 800, 0.000000, 0.000000
-1704720936, 37.886002, 37.880001, 500, 37.889999, 800, -0.010000, -0.004000
-1704718929, 37.886002, 37.880001, 500, 37.889999, 600, -0.010000, -0.004000
-1704716935, 37.886002, 37.880001, 500, 37.889999, 600, -0.010000, -0.004000
-1704714931, 37.889999, 37.880001, 600, 37.889999, 200, 0.000000, 0.000000
-1704712932, 37.889999, 37.880001, 600, 37.889999, 200, 0.000000, 0.000000
-1704710914, 37.884998, 37.880001, 900, 37.889999, 400, -0.010000, -0.005000
-1704708930, 37.884998, 37.880001, 700, 37.889999, 400, -0.010000, -0.005000
-1704706924, 37.884998, 37.880001, 700, 37.889999, 400, -0.010000, -0.005000
-1704704929, 37.884998, 37.880001, 700, 37.889999, 400, -0.010000, -0.005000
-1704702926, 37.889999, 37.889999, 600, 37.900002, 600, 0.000000, 0.000000
-1704700927, 37.889999, 37.889999, 500, 37.900002, 300, 0.000000, 0.000000
