time,price,bid,bidQty,offer,offerQty,percent,change
-1704890897, 9.110000, 9.100000, 600, 9.150000, 200, -5.890000, -0.570000
-1704888985, 9.125000, 9.100000, 700, 9.150000, 200, -5.730000, -0.555000
-1704886983, 9.125000, 9.100000, 700, 9.150000, 200, -5.730000, -0.555000
-1704884980, 9.125000, 9.100000, 700, 9.150000, 200, -5.730000, -0.555000
-1704882981, 9.125000, 9.100000, 700, 9.150000, 200, -5.730000, -0.555000
-1704880923, 9.125000, 9.100000, 700, 9.150000, 200, -5.730000, -0.555000
-1704879467, 9.125000, 9.100000, 700, 9.150000, 200, -5.730000, -0.555000
-1704877477, 9.125000, 9.100000, 700, 9.140000, 500, -5.730000, -0.555000
-1704874944, 9.117300, 9.100000, 700, 9.140000, 600, -5.810000, -0.562700
-1704872976, 9.117300, 9.100000, 700, 9.140000, 600, -5.810000, -0.562700
-1704870973, 9.129400, 9.100000, 700, 9.140000, 600, -5.690000, -0.550600
-1704868974, 9.129400, 9.100000, 700, 9.140000, 600, -5.690000, -0.550600
-1704867472, 9.129400, 9.100000, 700, 9.140000, 600, -5.690000, -0.550600
-1704864972, 9.129400, 9.100000, 700, 9.140000, 100, -5.690000, -0.550600
-1704862935, 9.180000, 9.150000, 400, 9.190000, 200, -5.170000, -0.500000
-1704860967, 9.180000, 9.150000, 200, 9.190000, 200, -5.170000, -0.500000
-1704858967, 9.189600, 9.150000, 300, 9.190000, 200, -5.070000, -0.490400
-1704856932, 9.150000, 9.110000, 100, 9.180000, 200, -5.480000, -0.530000
-1704855465, 9.150000, 9.120000, 100, 9.180000, 200, -5.480000, -0.530000
-1704853458, 9.150000, 9.120000, 100, 9.180000, 200, -5.480000, -0.530000
-1704850899, 9.150000, 9.110000, 100, 9.160000, 100, -5.480000, -0.530000
-1704848965, 9.150000, 9.110000, 100, 9.160000, 100, -5.480000, -0.530000
-1704847463, 9.150000, 9.110000, 100, 9.160000, 100, -5.480000, -0.530000
-1704844923, 9.150000, 9.110000, 100, 9.150000, 200, -5.480000, -0.530000
-1704842962, 9.150000, 9.110000, 100, 9.150000, 200, -5.480000, -0.530000
-1704840958, 9.150000, 9.110000, 100, 9.150000, 200, -5.480000, -0.530000
-1704838959, 9.150000, 9.120000, 100, 9.150000, 200, -5.480000, -0.530000
-1704838959, 9.150000, 9.120000, 100, 9.150000, 200, -5.480000, -0.530000
-1704835458, 9.130000, 9.120000, 100, 9.160000, 100, -5.680000, -0.550000
-1704832959, 9.120000, 9.120000, 100, 9.160000, 100, -5.790000, -0.560000
-1704830955, 9.120000, 9.120000, 100, 9.160000, 100, -5.790000, -0.560000
-1704828956, 9.142400, 9.120000, 100, 9.160000, 100, -5.550000, -0.537600
-1704826953, 9.142400, 9.120000, 100, 9.160000, 100, -5.550000, -0.537600
-1704824958, 9.130000, 9.110000, 100, 9.150000, 500, -5.680000, -0.550000
-1704822902, 9.130000, 9.110000, 100, 9.150000, 500, -5.680000, -0.550000
-1704820928, 9.130000, 9.110000, 100, 9.140000, 300, -5.680000, -0.550000
-1704818951, 9.130000, 9.110000, 100, 9.140000, 300, -5.680000, -0.550000
-1704816957, 9.130000, 9.110000, 100, 9.140000, 300, -5.680000, -0.550000
-1704815450, 9.140000, 9.110000, 100, 9.150000, 500, -5.580000, -0.540000
-1704813456, 9.140000, 9.110000, 100, 9.150000, 500, -5.580000, -0.540000
-1704811412, 9.140000, 9.110000, 100, 9.150000, 500, -5.580000, -0.540000
-1704808926, 9.140000, 9.110000, 100, 9.150000, 500, -5.580000, -0.540000
-1704806910, 9.140000, 9.110000, 100, 9.150000, 500, -5.580000, -0.540000
-1704804943, 9.140000, 9.110000, 100, 9.150000, 500, -5.580000, -0.540000
-1704802940, 9.140000, 9.110000, 100, 9.150000, 500, -5.580000, -0.540000
-1704800937, 9.140000, 9.110000, 100, 9.150000, 500, -5.580000, -0.540000
-1704798940, 9.149000, 9.110000, 100, 9.150000, 500, -5.490000, -0.531000
-1704796940, 9.149000, 9.110000, 100, 9.150000, 500, -5.490000, -0.531000
-1704794934, 9.149000, 9.110000, 100, 9.150000, 500, -5.490000, -0.531000
-1704792903, 9.149000, 9.110000, 100, 9.150000, 500, -5.490000, -0.531000
-1704790936, 9.150000, 9.130000, 100, 9.180000, 300, -5.480000, -0.530000
-1704788944, 9.150000, 9.130000, 100, 9.170000, 500, -5.480000, -0.530000
-1704786908, 9.150000, 9.110000, 100, 9.170000, 500, -5.480000, -0.530000
-1704784930, 9.150000, 9.110000, 100, 9.170000, 500, -5.480000, -0.530000
-1704782932, 9.190000, 9.130000, 100, 9.190000, 300, -5.060000, -0.490000
-1704780881, 9.190000, 9.130000, 100, 9.180000, 200, -5.060000, -0.490000
-1704778930, 9.190000, 9.130000, 100, 9.180000, 300, -5.060000, -0.490000
-1704776936, 9.190000, 9.130000, 100, 9.180000, 300, -5.060000, -0.490000
-1704774918, 9.190000, 9.130000, 100, 9.180000, 300, -5.060000, -0.490000
-1704773422, 9.190000, 9.130000, 100, 9.180000, 300, -5.060000, -0.490000
-1704770935, 9.190000, 9.130000, 100, 9.170000, 100, -5.060000, -0.490000
-1704768895, 9.190000, 9.120000, 100, 9.170000, 100, -5.060000, -0.490000
-1704766931, 9.190000, 9.120000, 100, 9.170000, 100, -5.060000, -0.490000
-1704764932, 9.190000, 9.120000, 100, 9.170000, 100, -5.060000, -0.490000
-1704762878, 9.190000, 9.130000, 100, 9.170000, 100, -5.060000, -0.490000
-1704760917, 9.190000, 9.130000, 100, 9.170000, 100, -5.060000, -0.490000
