time,price,bid,bidQty,offer,offerQty,percent,change
-1704890413, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704888910, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704886902, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704884878, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704882877, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704880902, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704878912, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704876897, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704874900, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704872896, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704870890, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704868854, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704866909, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704864890, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704862898, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704860893, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704859400, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704856880, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704854880, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704853393, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704850888, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704848893, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704846881, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704844892, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
-1704842873, 2.010000, 2.000000, 1500, 2.010000, 900, -3.370000, -0.070000
