time,price,bid,bidQty,offer,offerQty,percent,change
-1704890694, 49.400002, 49.410000, 100, 49.450001, 300, 9.120000, 4.130000
-1704888697, 49.410999, 49.410000, 300, 49.450001, 300, 9.150000, 4.141000
-1704886684, 49.410999, 49.410000, 700, 49.450001, 300, 9.150000, 4.141000
-1704884704, 49.450001, 49.410000, 500, 49.450001, 200, 9.230000, 4.180000
-1704882714, 49.459999, 49.419998, 500, 49.470001, 100, 9.260000, 4.190000
-1704880672, 49.419998, 49.419998, 200, 49.470001, 200, 9.170000, 4.150000
-1704878711, 49.419998, 49.419998, 100, 49.470001, 200, 9.170000, 4.150000
-1704876705, 49.419998, 49.419998, 100, 49.459999, 500, 9.170000, 4.150000
-1704874658, 49.420101, 49.410000, 600, 49.459999, 500, 9.170000, 4.150100
-1704872699, 49.420101, 49.410000, 900, 49.470001, 200, 9.170000, 4.150100
-1704871209, 49.420101, 49.410000, 500, 49.470001, 200, 9.170000, 4.150100
-1704868705, 49.360001, 49.330002, 100, 49.380001, 300, 9.030000, 4.090000
-1704866691, 49.360001, 49.349998, 1100, 49.410000, 100, 9.030000, 4.090000
-1704864699, 49.429901, 49.369999, 300, 49.430000, 300, 9.190000, 4.159900
-1704862716, 49.369999, 49.369999, 400, 49.419998, 100, 9.060000, 4.100000
-1704861203, 49.370998, 49.369999, 200, 49.419998, 100, 9.060000, 4.101000
-1704858705, 49.383999, 49.369999, 200, 49.419998, 100, 9.090000, 4.114000
-1704856698, 49.419998, 49.410000, 200, 49.459999, 300, 9.170000, 4.150000
-1704854696, 49.419998, 49.389999, 100, 49.439999, 300, 9.170000, 4.150000
-1704852693, 49.439899, 49.369999, 400, 49.439999, 300, 9.210000, 4.169900
-1704850696, 49.439999, 49.380001, 200, 49.439999, 200, 9.210000, 4.170000
-1704848679, 49.439999, 49.380001, 400, 49.439999, 500, 9.210000, 4.170000
-1704846694, 49.459999, 49.419998, 100, 49.470001, 100, 9.260000, 4.190000
-1704844688, 49.430000, 49.410000, 1000, 49.459999, 500, 9.190000, 4.160000
-1704842698, 49.430000, 49.410000, 700, 49.459999, 500, 9.190000, 4.160000
-1704840691, 49.410000, 49.389999, 100, 49.450001, 100, 9.150000, 4.140000
-1704838682, 49.410000, 49.389999, 100, 49.450001, 300, 9.150000, 4.140000
-1704836688, 49.450001, 49.400002, 100, 49.459999, 200, 9.230000, 4.180000
-1704835178, 49.414799, 49.380001, 300, 49.459999, 300, 9.160000, 4.144800
-1704832688, 49.411999, 49.380001, 300, 49.459999, 800, 9.150000, 4.142000
-1704830692, 49.411999, 49.380001, 300, 49.459999, 700, 9.150000, 4.142000
-1704828701, 49.400002, 49.380001, 300, 49.459999, 600, 9.120000, 4.130000
-1704826686, 49.400002, 49.380001, 200, 49.459999, 800, 9.120000, 4.130000
-1704824692, 49.400002, 49.380001, 400, 49.439999, 100, 9.120000, 4.130000
