time,price,bid,bidQty,offer,offerQty,percent,change
-1704890417, 0.501800, 0.502000, 1000, 0.519900, 500, -8.760000, -0.048200
-1704889491, 0.501800, 0.502000, 1000, 0.519900, 500, -8.760000, -0.048200
-1704886983, 0.501800, 0.502000, 1000, 0.519900, 500, -8.760000, -0.048200
-1704885482, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704882982, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704881467, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704879467, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704876984, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704874944, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704873477, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704870983, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704868977, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704866981, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704864977, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704862944, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704860973, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704858969, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704856945, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704856476, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704852957, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704850927, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704849469, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704846966, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704844929, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704842974, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704841980, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704838965, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704837474, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704834966, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704832964, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
-1704831466, 0.504600, 0.502000, 1000, 0.519900, 500, -8.250000, -0.045400
