time,price,bid,bidQty,offer,offerQty,percent,change
-1704890379, 12.300000, 12.300000, 1800, 12.310000, 1800, 0.820000, 0.100000
-1704888902, 12.300000, 12.300000, 1800, 12.310000, 3000, 0.820000, 0.100000
-1704886906, 12.306500, 12.300000, 1800, 12.310000, 3000, 0.870000, 0.106500
-1704884898, 12.301000, 12.300000, 3100, 12.310000, 2100, 0.830000, 0.101000
-1704882905, 12.301000, 12.300000, 3700, 12.310000, 500, 0.830000, 0.101000
-1704880901, 12.301000, 12.300000, 2200, 12.310000, 1000, 0.830000, 0.101000
-1704878901, 12.301000, 12.300000, 3700, 12.310000, 1800, 0.830000, 0.101000
-1704876901, 12.301000, 12.300000, 3900, 12.310000, 800, 0.830000, 0.101000
-1704874905, 12.300000, 12.300000, 1600, 12.310000, 3600, 0.820000, 0.100000
-1704872898, 12.300000, 12.300000, 1700, 12.310000, 2100, 0.820000, 0.100000
-1704871403, 12.300000, 12.300000, 3100, 12.310000, 2100, 0.820000, 0.100000
-1704868903, 12.300000, 12.300000, 3300, 12.310000, 2100, 0.820000, 0.100000
-1704866906, 12.300000, 12.300000, 400, 12.310000, 3900, 0.820000, 0.100000
-1704864895, 12.300000, 12.300000, 200, 12.310000, 4300, 0.820000, 0.100000
-1704862872, 12.300000, 12.300000, 600, 12.310000, 3400, 0.820000, 0.100000
-1704860895, 12.300000, 12.300000, 400, 12.310000, 3500, 0.820000, 0.100000
-1704858882, 12.300000, 12.300000, 1600, 12.310000, 3400, 0.820000, 0.100000
-1704857348, 12.310000, 12.310000, 3300, 12.320000, 1400, 0.900000, 0.110000
-1704855384, 12.310000, 12.310000, 3100, 12.320000, 1600, 0.900000, 0.110000
-1704852887, 12.310000, 12.310000, 3700, 12.320000, 1600, 0.900000, 0.110000
-1704850884, 12.310000, 12.320000, 1800, 12.330000, 2900, 0.900000, 0.110000
-1704849377, 12.310000, 12.320000, 200, 12.330000, 3600, 0.900000, 0.110000
-1704847884, 12.320000, 12.310000, 3700, 12.320000, 1400, 0.980000, 0.120000
-1704844875, 12.320000, 12.310000, 400, 12.320000, 1600, 0.980000, 0.120000
-1704843383, 12.320000, 12.310000, 2500, 12.320000, 1600, 0.980000, 0.120000
-1704840962, 12.320000, 12.310000, 3800, 12.320000, 1500, 0.980000, 0.120000
-1704838959, 12.320000, 12.310000, 3800, 12.320000, 1500, 0.980000, 0.120000
-1704836960, 12.320000, 12.310000, 3800, 12.320000, 1500, 0.980000, 0.120000
-1704834957, 12.320000, 12.310000, 3200, 12.320000, 1500, 0.980000, 0.120000
-1704832927, 12.320000, 12.310000, 400, 12.320000, 3800, 0.980000, 0.120000
-1704830930, 12.320000, 12.310000, 1700, 12.320000, 3200, 0.980000, 0.120000
-1704829886, 12.320000, 12.310000, 200, 12.320000, 3400, 0.980000, 0.120000
-1704827453, 12.310000, 12.300000, 3200, 12.310000, 2600, 0.900000, 0.110000
-1704825451, 12.310000, 12.300000, 3500, 12.310000, 1900, 0.900000, 0.110000
-1704822953, 12.319900, 12.310000, 1900, 12.320000, 3200, 0.980000, 0.119900
-1704820953, 12.319900, 12.310000, 4900, 12.320000, 1900, 0.980000, 0.119900
-1704819917, 12.319900, 12.310000, 4900, 12.320000, 1900, 0.980000, 0.119900
-1704816936, 12.320000, 12.320000, 1800, 12.330000, 3100, 0.980000, 0.120000
-1704814953, 12.330000, 12.320000, 2200, 12.330000, 1800, 1.070000, 0.130000
-1704812947, 12.330000, 12.320000, 2200, 12.330000, 1800, 1.070000, 0.130000
-1704811445, 12.330000, 12.320000, 3200, 12.330000, 1800, 1.070000, 0.130000
-1704808943, 12.330000, 12.320000, 3200, 12.330000, 1700, 1.070000, 0.130000
-1704806948, 12.330000, 12.320000, 3200, 12.330000, 1900, 1.070000, 0.130000
-1704804948, 12.330000, 12.330000, 4800, 12.340000, 500, 1.070000, 0.130000
-1704802909, 12.330000, 12.330000, 2900, 12.340000, 1700, 1.070000, 0.130000
-1704801447, 12.330000, 12.330000, 2900, 12.340000, 1700, 1.070000, 0.130000
-1704798944, 12.330000, 12.330000, 3100, 12.340000, 1500, 1.070000, 0.130000
-1704796905, 12.330000, 12.330000, 3000, 12.340000, 1500, 1.070000, 0.130000
-1704794946, 12.330000, 12.340000, 1500, 12.350000, 4800, 1.070000, 0.130000
-1704792945, 12.330000, 12.340000, 1400, 12.350000, 4800, 1.070000, 0.130000
-1704790916, 12.340000, 12.330000, 3800, 12.340000, 600, 1.150000, 0.140000
-1704789432, 12.340000, 12.330000, 1600, 12.340000, 2300, 1.150000, 0.140000
-1704787433, 12.340000, 12.330000, 3600, 12.340000, 400, 1.150000, 0.140000
-1704784933, 12.340000, 12.340000, 1800, 12.350000, 3300, 1.150000, 0.140000
-1704782940, 12.350000, 12.350000, 1700, 12.360000, 1300, 1.230000, 0.150000
-1704780943, 12.350000, 12.350000, 1500, 12.360000, 1300, 1.230000, 0.150000
-1704779433, 12.350000, 12.350000, 1500, 12.360000, 1300, 1.230000, 0.150000
-1704776886, 12.350000, 12.350000, 1700, 12.360000, 1300, 1.230000, 0.150000
-1704775401, 12.350000, 12.350000, 3000, 12.360000, 1300, 1.230000, 0.150000
-1704772936, 12.350000, 12.350000, 3200, 12.360000, 1300, 1.230000, 0.150000
-1704770933, 12.360000, 12.360000, 2100, 12.370000, 1900, 1.310000, 0.160000
-1704768937, 12.360000, 12.360000, 3200, 12.370000, 1600, 1.310000, 0.160000
-1704766933, 12.360000, 12.360000, 3200, 12.370000, 1600, 1.310000, 0.160000
-1704764929, 12.360000, 12.360000, 3200, 12.370000, 1600, 1.310000, 0.160000
