time,price,bid,bidQty,offer,offerQty,percent,change
-1704890379, 0.128900, 0.125300, 5300, 0.128900, 1800, -1.980000, -0.002600
-1704888903, 0.128900, 0.125300, 5300, 0.128900, 1800, -1.980000, -0.002600
-1704886907, 0.128900, 0.125300, 5300, 0.128900, 1800, -1.980000, -0.002600
-1704884898, 0.128900, 0.125300, 5300, 0.128900, 1800, -1.980000, -0.002600
-1704882906, 0.128900, 0.125300, 5300, 0.128900, 1800, -1.980000, -0.002600
-1704880902, 0.128900, 0.125300, 5300, 0.128900, 1800, -1.980000, -0.002600
-1704878902, 0.128900, 0.125300, 5300, 0.128900, 1800, -1.980000, -0.002600
-1704876901, 0.128900, 0.125300, 5300, 0.128900, 1800, -1.980000, -0.002600
-1704874905, 0.128900, 0.125300, 5300, 0.128900, 1800, -1.980000, -0.002600
-1704872898, 0.128900, 0.125300, 5300, 0.128900, 1800, -1.980000, -0.002600
-1704872399, 0.128900, 0.125300, 5300, 0.128900, 1800, -1.980000, -0.002600
-1704868904, 0.128900, 0.125300, 5000, 0.128900, 1400, -1.980000, -0.002600
-1704866906, 0.128900, 0.125300, 5000, 0.128900, 1400, -1.980000, -0.002600
-1704864895, 0.128900, 0.125300, 5000, 0.128900, 1400, -1.980000, -0.002600
-1704862872, 0.128400, 0.125300, 5000, 0.128900, 1400, -2.360000, -0.003100
-1704860895, 0.128400, 0.125300, 5000, 0.128900, 1400, -2.360000, -0.003100
-1704858882, 0.128400, 0.125300, 5000, 0.128900, 1400, -2.360000, -0.003100
-1704857348, 0.128400, 0.125300, 5000, 0.128900, 1400, -2.360000, -0.003100
-1704855384, 0.128400, 0.125300, 5000, 0.128900, 1400, -2.360000, -0.003100
-1704852888, 0.128400, 0.125300, 5000, 0.128900, 1400, -2.360000, -0.003100
-1704850885, 0.128400, 0.125300, 5000, 0.128900, 1400, -2.360000, -0.003100
-1704849378, 0.128400, 0.125300, 5000, 0.128900, 1400, -2.360000, -0.003100
-1704847884, 0.128900, 0.125300, 5300, 0.128900, 1100, -1.980000, -0.002600
-1704844875, 0.128900, 0.125300, 5300, 0.128900, 900, -1.980000, -0.002600
-1704843383, 0.128900, 0.125300, 5300, 0.128900, 900, -1.980000, -0.002600
-1704840962, 0.128900, 0.125300, 5000, 0.128900, 900, -1.980000, -0.002600
-1704839960, 0.128900, 0.125300, 5000, 0.128900, 900, -1.980000, -0.002600
-1704836961, 0.128900, 0.125300, 13300, 0.128900, 900, -1.980000, -0.002600
-1704835455, 0.128900, 0.125300, 13300, 0.128900, 900, -1.980000, -0.002600
-1704832927, 0.125300, 0.125300, 13300, 0.128900, 900, -4.710000, -0.006200
-1704830930, 0.125300, 0.125300, 14300, 0.128900, 900, -4.710000, -0.006200
-1704830451, 0.125300, 0.125300, 14300, 0.128900, 900, -4.710000, -0.006200
-1704827456, 0.125300, 0.125300, 14300, 0.128900, 900, -4.710000, -0.006200
-1704825452, 0.125300, 0.125300, 14300, 0.128900, 900, -4.710000, -0.006200
-1704822954, 0.125300, 0.125300, 14300, 0.128900, 900, -4.710000, -0.006200
-1704820953, 0.125300, 0.125300, 14300, 0.128900, 900, -4.710000, -0.006200
-1704818955, 0.125300, 0.125400, 2500, 0.128900, 900, -4.710000, -0.006200
-1704816937, 0.125300, 0.125400, 2500, 0.128900, 900, -4.710000, -0.006200
-1704814954, 0.125300, 0.125400, 2500, 0.128900, 900, -4.710000, -0.006200
-1704812948, 0.125300, 0.125400, 2500, 0.128900, 900, -4.710000, -0.006200
-1704811446, 0.125300, 0.125400, 2500, 0.128900, 900, -4.710000, -0.006200
-1704808943, 0.125300, 0.125400, 2500, 0.128900, 900, -4.710000, -0.006200
-1704806948, 0.128900, 0.125400, 2000, 0.128900, 800, -1.980000, -0.002600
-1704804949, 0.128900, 0.125400, 2000, 0.128900, 800, -1.980000, -0.002600
-1704802910, 0.128900, 0.125400, 2000, 0.128900, 800, -1.980000, -0.002600
-1704800941, 0.128900, 0.125400, 2000, 0.128900, 800, -1.980000, -0.002600
-1704798944, 0.128900, 0.125400, 2000, 0.128900, 800, -1.980000, -0.002600
-1704796905, 0.128900, 0.125400, 2000, 0.128900, 800, -1.980000, -0.002600
-1704794946, 0.128900, 0.125400, 2000, 0.128900, 800, -1.980000, -0.002600
-1704792945, 0.128900, 0.125400, 2000, 0.128900, 800, -1.980000, -0.002600
-1704790917, 0.128900, 0.125400, 2000, 0.128900, 800, -1.980000, -0.002600
-1704789926, 0.128900, 0.125400, 2000, 0.128900, 800, -1.980000, -0.002600
-1704787433, 0.128900, 0.125400, 2000, 0.128900, 800, -1.980000, -0.002600
-1704784933, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704782940, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704780944, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704778924, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704776887, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704774935, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704773439, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704770933, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704768938, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704766933, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704764929, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704762924, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704761421, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704758932, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704756894, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704754930, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704752939, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704751426, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704749414, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704746877, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704744930, 0.128700, 0.125400, 2000, 0.128900, 800, -2.130000, -0.002800
-1704743418, 0.128700, 0.125400, 2000, 0.128000, 10000, -2.130000, -0.002800
-1704740929, 0.125400, 0.125400, 2000, 0.128000, 10000, -4.640000, -0.006100
-1704739923, 0.125400, 0.125400, 2000, 0.128000, 10000, -4.640000, -0.006100
-1704736920, 0.125400, 0.125400, 2000, 0.128000, 10000, -4.640000, -0.006100
-1704734927, 0.125400, 0.125400, 2000, 0.128000, 10000, -4.640000, -0.006100
-1704732877, 0.125400, 0.125400, 2000, 0.128000, 10000, -4.640000, -0.006100
-1704730923, 0.125400, 0.125400, 2000, 0.128000, 10000, -4.640000, -0.006100
-1704728921, 0.128000, 0.125400, 2000, 0.128000, 9900, -2.660000, -0.003500
-1704727424, 0.128000, 0.125400, 2000, 0.128000, 9900, -2.660000, -0.003500
-1704724913, 0.128000, 0.125400, 2000, 0.128000, 9900, -2.660000, -0.003500
-1704722923, 0.128000, 0.125400, 2000, 0.128000, 9900, -2.660000, -0.003500
-1704720919, 0.128000, 0.125400, 2000, 0.128000, 9900, -2.660000, -0.003500
-1704719379, 0.128000, 0.125400, 2000, 0.128000, 9900, -2.660000, -0.003500
-1704717885, 0.128000, 0.125400, 2000, 0.128000, 9900, -2.660000, -0.003500
-1704714896, 0.128000, 0.125400, 2000, 0.128000, 9900, -2.660000, -0.003500
-1704712914, 0.128000, 0.125400, 2000, 0.128000, 9700, -2.660000, -0.003500
-1704710914, 0.128000, 0.125400, 2000, 0.128000, 9700, -2.660000, -0.003500
-1704708917, 0.128000, 0.125400, 2000, 0.128000, 9700, -2.660000, -0.003500
-1704706907, 0.128000, 0.125400, 2000, 0.128000, 9700, -2.660000, -0.003500
-1704705372, 0.128000, 0.125400, 2000, 0.128000, 9700, -2.660000, -0.003500
-1704703402, 0.125400, 0.125400, 2000, 0.128000, 9700, -4.640000, -0.006100
-1704700868, 0.125400, 0.125500, 5300, 0.128000, 9700, -4.640000, -0.006100
-1704698898, 0.125400, 0.125500, 5300, 0.128000, 9700, -4.640000, -0.006100
-1704696905, 0.125400, 0.125500, 5000, 0.128000, 9700, -4.640000, -0.006100
-1704694908, 0.127700, 0.125500, 5000, 0.128000, 9700, -2.890000, -0.003800
-1704693403, 0.127700, 0.125500, 5000, 0.128000, 9700, -2.890000, -0.003800
-1704690898, 0.128000, 0.125500, 5000, 0.128000, 9400, -2.660000, -0.003500
-1704688903, 0.128000, 0.125500, 5000, 0.128000, 9400, -2.660000, -0.003500
-1704686885, 0.128000, 0.125500, 5000, 0.128000, 9400, -2.660000, -0.003500
-1704684900, 0.128000, 0.125500, 5000, 0.128000, 9400, -2.660000, -0.003500
-1704682910, 0.127900, 0.125500, 5000, 0.127900, 400, -2.740000, -0.003600
-1704680902, 0.127900, 0.125500, 5000, 0.127900, 400, -2.740000, -0.003600
-1704679403, 0.127900, 0.125500, 5000, 0.127900, 400, -2.740000, -0.003600
-1704676907, 0.127900, 0.125500, 5000, 0.127900, 400, -2.740000, -0.003600
-1704675905, 0.127900, 0.125500, 5000, 0.127900, 400, -2.740000, -0.003600
-1704672900, 0.127900, 0.125500, 5000, 0.127900, 400, -2.740000, -0.003600
-1704670904, 0.127900, 0.125500, 5000, 0.127900, 400, -2.740000, -0.003600
-1704668898, 0.127900, 0.125500, 5000, 0.127900, 400, -2.740000, -0.003600
-1704666891, 0.127900, 0.125600, 1300, 0.127900, 400, -2.740000, -0.003600
-1704664898, 0.127900, 0.125600, 1300, 0.127900, 400, -2.740000, -0.003600
-1704662896, 0.127900, 0.125600, 1000, 0.127900, 400, -2.740000, -0.003600
-1704660860, 0.125600, 0.125600, 1000, 0.127900, 400, -4.490000, -0.005900
-1704659377, 0.125600, 0.125600, 1000, 0.127900, 400, -4.490000, -0.005900
-1704656896, 0.125600, 0.125600, 1000, 0.127900, 400, -4.490000, -0.005900
-1704655384, 0.125600, 0.125600, 1000, 0.127900, 400, -4.490000, -0.005900
-1704652898, 0.125600, 0.125600, 1000, 0.127900, 400, -4.490000, -0.005900
-1704650903, 0.125600, 0.125600, 1000, 0.127900, 400, -4.490000, -0.005900
-1704648899, 0.127900, 0.125600, 1000, 0.127900, 300, -2.740000, -0.003600
-1704646887, 0.126800, 0.125600, 1000, 0.127900, 300, -3.570000, -0.004700
-1704644881, 0.126800, 0.125600, 1000, 0.127900, 300, -3.570000, -0.004700
-1704643386, 0.126800, 0.125600, 1000, 0.127900, 300, -3.570000, -0.004700
-1704642394, 0.126800, 0.125600, 1000, 0.127900, 300, -3.570000, -0.004700
-1704638902, 0.125600, 0.125600, 1000, 0.127900, 300, -4.490000, -0.005900
-1704636892, 0.125600, 0.125600, 1000, 0.127900, 300, -4.490000, -0.005900
-1704634892, 0.125600, 0.125600, 1000, 0.127900, 300, -4.490000, -0.005900
-1704632809, 0.125600, 0.125600, 1000, 0.127900, 300, -4.490000, -0.005900
-1704631454, 0.127900, 0.125600, 1000, 0.127900, 100, -2.740000, -0.003600
-1704629458, 0.127900, 0.125600, 1000, 0.127900, 100, -2.740000, -0.003600
-1704626958, 0.127900, 0.125600, 1000, 0.127900, 100, -2.740000, -0.003600
-1704624960, 0.127900, 0.125600, 1000, 0.127900, 100, -2.740000, -0.003600
-1704622957, 0.127900, 0.125600, 1000, 0.127900, 100, -2.740000, -0.003600
-1704621452, 0.127900, 0.125600, 1000, 0.127900, 100, -2.740000, -0.003600
-1704618957, 0.127900, 0.125600, 1000, 0.127900, 100, -2.740000, -0.003600
-1704616947, 0.125600, 0.125600, 1000, 0.127900, 100, -4.490000, -0.005900
-1704614959, 0.125600, 0.125600, 1000, 0.127900, 100, -4.490000, -0.005900
-1704612956, 0.125600, 0.125600, 1000, 0.127900, 100, -4.490000, -0.005900
-1704611955, 0.125600, 0.125600, 1000, 0.127900, 100, -4.490000, -0.005900
-1704608953, 0.125600, 0.125600, 1000, 0.127900, 100, -4.490000, -0.005900
-1704606952, 0.125600, 0.125600, 1000, 0.127900, 100, -4.490000, -0.005900
-1704604953, 0.125600, 0.125600, 1000, 0.127900, 100, -4.490000, -0.005900
-1704603380, 0.125600, 0.125600, 1000, 0.127900, 100, -4.490000, -0.005900
-1704601441, 0.125600, 0.125600, 1000, 0.127900, 100, -4.490000, -0.005900
-1704599918, 0.125600, 0.125600, 1000, 0.127900, 100, -4.490000, -0.005900
-1704596946, 0.125600, 0.125600, 1000, 0.127900, 100, -4.490000, -0.005900
-1704594947, 0.125600, 0.125600, 1000, 0.127900, 100, -4.490000, -0.005900
-1704592951, 0.125600, 0.125600, 1000, 0.127900, 100, -4.490000, -0.005900
-1704591445, 0.125600, 0.125600, 1000, 0.127900, 100, -4.490000, -0.005900
-1704589439, 0.127900, 0.125600, 1000, 0.127900, 100, -2.740000, -0.003600
-1704587417, 0.127900, 0.125600, 1000, 0.127900, 100, -2.740000, -0.003600
-1704584938, 0.127900, 0.125600, 1000, 0.127900, 100, -2.740000, -0.003600
-1704582935, 0.127900, 0.125600, 1000, 0.127900, 100, -2.740000, -0.003600
-1704581434, 0.127900, 0.125600, 1000, 0.127900, 100, -2.740000, -0.003600
-1704578940, 0.127900, 0.125600, 1000, 0.127900, 100, -2.740000, -0.003600
-1704576943, 0.127900, 0.125600, 1000, 0.127900, 100, -2.740000, -0.003600
-1704575436, 0.127900, 0.125600, 1000, 0.127900, 100, -2.740000, -0.003600
-1704572943, 0.125500, 0.125500, 2600, 0.127900, 200, -4.560000, -0.006000
-1704570944, 0.125500, 0.125500, 2600, 0.127900, 200, -4.560000, -0.006000
-1704568930, 0.125500, 0.125500, 2600, 0.127900, 200, -4.560000, -0.006000
-1704566893, 0.127900, 0.125500, 2900, 0.128000, 9300, -2.740000, -0.003600
-1704564940, 0.127900, 0.125500, 2900, 0.128000, 9300, -2.740000, -0.003600
-1704562933, 0.127900, 0.125500, 2900, 0.128000, 9300, -2.740000, -0.003600
-1704560933, 0.127900, 0.125500, 2900, 0.128000, 9300, -2.740000, -0.003600
-1704558937, 0.127000, 0.125500, 2600, 0.127000, 2200, -3.420000, -0.004500
-1704556905, 0.127000, 0.125500, 2600, 0.127000, 2200, -3.420000, -0.004500
-1704555435, 0.127000, 0.125500, 2600, 0.127000, 2200, -3.420000, -0.004500
-1704552932, 0.127000, 0.125500, 7900, 0.127000, 1900, -3.420000, -0.004500
-1704551930, 0.125500, 0.125500, 7900, 0.127000, 1900, -4.560000, -0.006000
-1704548933, 0.125500, 0.125500, 7900, 0.127000, 1900, -4.560000, -0.006000
-1704546935, 0.125500, 0.125500, 7600, 0.127000, 1900, -4.560000, -0.006000
-1704545932, 0.125500, 0.125500, 7600, 0.127000, 1900, -4.560000, -0.006000
-1704542931, 0.125500, 0.125500, 7600, 0.127000, 1900, -4.560000, -0.006000
-1704541381, 0.125500, 0.125500, 7600, 0.127000, 1900, -4.560000, -0.006000
-1704538919, 0.125500, 0.125500, 7600, 0.127000, 1900, -4.560000, -0.006000
-1704536926, 0.125500, 0.125500, 7600, 0.127000, 1900, -4.560000, -0.006000
-1704534924, 0.125500, 0.125500, 7600, 0.127000, 1900, -4.560000, -0.006000
-1704532922, 0.125500, 0.125500, 7600, 0.127000, 1900, -4.560000, -0.006000
-1704530925, 0.125500, 0.125500, 2600, 0.127000, 1900, -4.560000, -0.006000
-1704528909, 0.125500, 0.125500, 2600, 0.127000, 1900, -4.560000, -0.006000
-1704526924, 0.127000, 0.125600, 10000, 0.127000, 1700, -3.420000, -0.004500
-1704524922, 0.127000, 0.125600, 10000, 0.127000, 1700, -3.420000, -0.004500
-1704523369, 0.127000, 0.125600, 10000, 0.127000, 1700, -3.420000, -0.004500
-1704520931, 0.127000, 0.125600, 10000, 0.127000, 1700, -3.420000, -0.004500
-1704518925, 0.127000, 0.125600, 10000, 0.127000, 1700, -3.420000, -0.004500
-1704516911, 0.127000, 0.125600, 10000, 0.127000, 1700, -3.420000, -0.004500
-1704514918, 0.125600, 0.125600, 10000, 0.127000, 1700, -4.490000, -0.005900
-1704513385, 0.125600, 0.125600, 10000, 0.127000, 1700, -4.490000, -0.005900
-1704511416, 0.125600, 0.125600, 10000, 0.127000, 2700, -4.490000, -0.005900
-1704508911, 0.127000, 0.125600, 10000, 0.127000, 2700, -3.420000, -0.004500
-1704506865, 0.127000, 0.125600, 10000, 0.127000, 2700, -3.420000, -0.004500
-1704504906, 0.127000, 0.125600, 10000, 0.127000, 2700, -3.420000, -0.004500
-1704502911, 0.127000, 0.125600, 10000, 0.127000, 2700, -3.420000, -0.004500
-1704500906, 0.127000, 0.125600, 10000, 0.127000, 2700, -3.420000, -0.004500
-1704498923, 0.127000, 0.125600, 10000, 0.127000, 2700, -3.420000, -0.004500
-1704497847, 0.127000, 0.125600, 10000, 0.127000, 2700, -3.420000, -0.004500
-1704494904, 0.125600, 0.125600, 10000, 0.127000, 2700, -4.490000, -0.005900
-1704492904, 0.125600, 0.125600, 10000, 0.127000, 2700, -4.490000, -0.005900
-1704490900, 0.125600, 0.125600, 10000, 0.127000, 2700, -4.490000, -0.005900
-1704488907, 0.125600, 0.125600, 10000, 0.127000, 2700, -4.490000, -0.005900
-1704486877, 0.125600, 0.125600, 10000, 0.127000, 2700, -4.490000, -0.005900
-1704484880, 0.125600, 0.125600, 10000, 0.127000, 2700, -4.490000, -0.005900
