time,price,bid,bidQty,offer,offerQty,percent,change
-1704890767, 2.200100, 2.200000, 5000, 2.230000, 200, 0.000000, 0.000100
-1704888795, 2.200100, 2.200000, 5000, 2.230000, 200, 0.000000, 0.000100
-1704886784, 2.200100, 2.200000, 5000, 2.230000, 200, 0.000000, 0.000100
-1704884795, 2.200100, 2.200000, 5000, 2.230000, 200, 0.000000, 0.000100
-1704882793, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704880792, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704878792, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704876753, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704874742, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704872787, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704870781, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704868784, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704866784, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704864782, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704862713, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704860775, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704858780, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704856775, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704854779, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704853277, 2.209600, 2.200000, 400, 2.230000, 200, 0.440000, 0.009600
-1704850787, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704848748, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704846763, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704844770, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704843279, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704840789, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704838768, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704836757, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704834755, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704832761, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704830722, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704828767, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704826771, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704824770, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704822761, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704820757, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704818759, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704816735, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704814761, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704812759, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704810760, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704808756, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704806749, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704804756, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704802763, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704800756, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704798750, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704796745, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704794741, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704792747, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704790743, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704788718, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704786735, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704784745, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704782745, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704780743, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704778745, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
-1704776735, 2.209600, 2.200000, 300, 2.230000, 200, 0.440000, 0.009600
