time,price,bid,bidQty,offer,offerQty,percent,change
-1704890760, 10.410000, 10.410000, 10200, 10.420000, 8100, -2.440000, -0.260000
-1704888798, 10.414000, 10.410000, 10200, 10.420000, 8100, -2.400000, -0.256000
-1704886790, 10.414000, 10.410000, 10100, 10.420000, 8100, -2.400000, -0.256000
-1704884784, 10.420000, 10.410000, 12500, 10.420000, 2600, -2.340000, -0.250000
-1704882786, 10.420000, 10.410000, 12300, 10.420000, 2500, -2.340000, -0.250000
-1704880791, 10.425000, 10.420000, 12600, 10.430000, 6200, -2.300000, -0.245000
-1704879271, 10.430000, 10.420000, 3000, 10.430000, 10000, -2.250000, -0.240000
-1704876747, 10.430000, 10.420000, 3000, 10.430000, 9900, -2.250000, -0.240000
-1704874766, 10.430000, 10.420000, 3000, 10.430000, 9500, -2.250000, -0.240000
-1704872781, 10.430000, 10.420000, 3000, 10.430000, 9500, -2.250000, -0.240000
-1704872279, 10.430000, 10.420000, 3000, 10.430000, 9500, -2.250000, -0.240000
-1704868785, 10.430000, 10.420000, 11100, 10.430000, 1200, -2.250000, -0.240000
-1704866780, 10.430000, 10.420000, 12100, 10.430000, 1000, -2.250000, -0.240000
-1704864780, 10.430000, 10.430000, 4800, 10.440000, 9200, -2.250000, -0.240000
-1704862759, 10.425000, 10.420000, 4900, 10.430000, 9800, -2.300000, -0.245000
-1704860779, 10.425000, 10.420000, 5000, 10.430000, 8900, -2.300000, -0.245000
-1704858781, 10.425000, 10.420000, 4900, 10.430000, 9000, -2.300000, -0.245000
-1704856771, 10.425000, 10.420000, 1100, 10.430000, 11400, -2.300000, -0.245000
-1704854771, 10.420000, 10.420000, 1600, 10.430000, 11400, -2.340000, -0.250000
-1704852776, 10.420000, 10.420000, 700, 10.420000, 4800, -2.340000, -0.250000
-1704850767, 10.420000, 10.410000, 6700, 10.420000, 13200, -2.340000, -0.250000
-1704848730, 10.420000, 10.410000, 16100, 10.420000, 3400, -2.340000, -0.250000
-1704846742, 10.420000, 10.410000, 17800, 10.420000, 2400, -2.340000, -0.250000
-1704844770, 10.420000, 10.410000, 15800, 10.420000, 3300, -2.340000, -0.250000
-1704842742, 10.420000, 10.410000, 14200, 10.420000, 1900, -2.340000, -0.250000
-1704840756, 10.420000, 10.410000, 13700, 10.420000, 2000, -2.340000, -0.250000
-1704838770, 10.410000, 10.410000, 9100, 10.420000, 7400, -2.440000, -0.260000
-1704836775, 10.410000, 10.410000, 9100, 10.420000, 6800, -2.440000, -0.260000
-1704834761, 10.410000, 10.410000, 9300, 10.420000, 6700, -2.440000, -0.260000
-1704832767, 10.419900, 10.410000, 16000, 10.420000, 1000, -2.340000, -0.250100
-1704830729, 10.410000, 10.410000, 5800, 10.420000, 9400, -2.440000, -0.260000
-1704828757, 10.410000, 10.410000, 7400, 10.420000, 7900, -2.440000, -0.260000
-1704826759, 10.420000, 10.410000, 15100, 10.420000, 1400, -2.340000, -0.250000
-1704824746, 10.415000, 10.410000, 15100, 10.420000, 2100, -2.390000, -0.255000
-1704822753, 10.415000, 10.410000, 10300, 10.420000, 6700, -2.390000, -0.255000
-1704820762, 10.415000, 10.410000, 7500, 10.420000, 8800, -2.390000, -0.255000
-1704818755, 10.420000, 10.410000, 7500, 10.420000, 8800, -2.340000, -0.250000
-1704816742, 10.420000, 10.410000, 12100, 10.420000, 5600, -2.340000, -0.250000
-1704814755, 10.420000, 10.410000, 10900, 10.420000, 5500, -2.340000, -0.250000
-1704812754, 10.420000, 10.410000, 10700, 10.420000, 5500, -2.340000, -0.250000
-1704811259, 10.420000, 10.410000, 10700, 10.420000, 5500, -2.340000, -0.250000
-1704808715, 10.420000, 10.410000, 11300, 10.420000, 5300, -2.340000, -0.250000
-1704806755, 10.410000, 10.410000, 700, 10.420000, 13800, -2.440000, -0.260000
-1704804743, 10.400000, 10.400000, 18500, 10.410000, 13200, -2.530000, -0.270000
-1704802733, 10.400000, 10.400000, 18500, 10.410000, 13000, -2.530000, -0.270000
-1704800735, 10.400000, 10.400000, 18500, 10.410000, 13200, -2.530000, -0.270000
-1704798738, 10.400000, 10.400000, 18400, 10.410000, 12800, -2.530000, -0.270000
-1704796751, 10.400000, 10.400000, 18600, 10.410000, 12700, -2.530000, -0.270000
-1704794739, 10.400000, 10.400000, 18600, 10.410000, 12900, -2.530000, -0.270000
-1704792746, 10.400000, 10.400000, 18700, 10.410000, 12200, -2.530000, -0.270000
-1704790745, 10.405800, 10.400000, 18800, 10.410000, 10600, -2.480000, -0.264200
-1704788709, 10.410000, 10.400000, 18700, 10.410000, 4800, -2.440000, -0.260000
-1704786736, 10.400000, 10.400000, 17900, 10.410000, 15900, -2.530000, -0.270000
