time,price,bid,bidQty,offer,offerQty,percent,change
-1704890692, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704888697, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704886683, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704884703, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704882713, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704880671, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704878710, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704876704, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704874657, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704872698, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704870698, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704868704, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704866690, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704864698, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704863696, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704860696, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704858704, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704857200, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704854695, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704852692, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704850695, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704848678, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704846693, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
-1704844686, 2.710100, 2.710000, 200, 2.720000, 200, 1.120000, 0.030100
