time,price,bid,bidQty,offer,offerQty,percent,change
-1704890414, 2.450000, 2.450000, 100, 2.490000, 600, -1.680000, -0.041800
-1704888911, 2.450000, 2.450000, 100, 2.490000, 600, -1.680000, -0.041800
-1704886903, 2.450000, 2.450000, 100, 2.490000, 600, -1.680000, -0.041800
-1704884879, 2.450000, 2.450000, 100, 2.490000, 600, -1.680000, -0.041800
-1704883906, 2.450000, 2.450000, 100, 2.490000, 600, -1.680000, -0.041800
-1704880903, 2.450000, 2.450000, 100, 2.490000, 600, -1.680000, -0.041800
-1704878913, 2.450000, 2.450000, 100, 2.490000, 600, -1.680000, -0.041800
-1704876899, 2.450000, 2.450000, 100, 2.490000, 600, -1.680000, -0.041800
-1704874901, 2.450000, 2.450000, 100, 2.490000, 600, -1.680000, -0.041800
-1704872898, 2.450000, 2.450000, 100, 2.490000, 600, -1.680000, -0.041800
-1704870891, 2.450000, 2.450000, 100, 2.460000, 600, -1.680000, -0.041800
-1704869361, 2.450000, 2.450000, 100, 2.460000, 600, -1.680000, -0.041800
-1704866911, 2.450000, 2.450000, 100, 2.460000, 600, -1.680000, -0.041800
-1704864891, 2.450000, 2.450000, 100, 2.460000, 600, -1.680000, -0.041800
-1704862899, 2.450000, 2.450000, 100, 2.460000, 600, -1.680000, -0.041800
-1704860895, 2.450000, 2.450000, 100, 2.460000, 600, -1.680000, -0.041800
-1704858919, 2.450000, 2.450000, 100, 2.460000, 600, -1.680000, -0.041800
-1704856881, 2.450000, 2.450000, 100, 2.460000, 600, -1.680000, -0.041800
-1704855376, 2.450000, 2.440000, 400, 2.450000, 400, -1.680000, -0.041800
-1704852892, 2.450000, 2.440000, 400, 2.450000, 400, -1.680000, -0.041800
-1704850889, 2.450000, 2.440000, 400, 2.450000, 400, -1.680000, -0.041800
-1704848895, 2.450000, 2.440000, 400, 2.450000, 400, -1.680000, -0.041800
-1704846882, 2.450000, 2.440000, 400, 2.450000, 400, -1.680000, -0.041800
-1704844893, 2.450000, 2.440000, 400, 2.450000, 400, -1.680000, -0.041800
-1704842875, 2.450000, 2.440000, 400, 2.450000, 400, -1.680000, -0.041800
-1704841391, 2.450000, 2.440000, 400, 2.450000, 400, -1.680000, -0.041800
-1704838881, 2.450000, 2.440000, 400, 2.450000, 400, -1.680000, -0.041800
