time,price,bid,bidQty,offer,offerQty,percent,change
-1704890381, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704888900, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704886904, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704884915, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704882916, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704880898, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704878898, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704876910, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704875398, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704872894, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704870900, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704868893, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704866891, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704864900, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704862871, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704860894, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704858900, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704856888, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704855404, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704852892, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704850895, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704848882, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704846880, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704844808, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704843864, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
-1704841462, 1.167600, 1.160000, 800, 1.180000, 1000, -1.880000, -0.022400
