time,price,bid,bidQty,offer,offerQty,percent,change
-1704890758, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704888793, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704887291, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704885289, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704882789, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704880790, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704878777, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704876790, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704874771, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704872785, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704871280, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704868783, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704866779, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704864776, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704862758, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704860782, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704859273, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704856780, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704854776, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704852770, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704850763, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704848745, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704846717, 1.359900, 1.350000, 8000, 1.360000, 3200, 0.730000, 0.009900
-1704844766, 1.360000, 1.350000, 8000, 1.360000, 3200, 0.740000, 0.010000
-1704842725, 1.360000, 1.350000, 8000, 1.360000, 3200, 0.740000, 0.010000
-1704840757, 1.360000, 1.350000, 8000, 1.360000, 3200, 0.740000, 0.010000
-1704838762, 1.360000, 1.350000, 8000, 1.360000, 3200, 0.740000, 0.010000
-1704836760, 1.360000, 1.350000, 8000, 1.360000, 3200, 0.740000, 0.010000
-1704834775, 1.360000, 1.350000, 8000, 1.360000, 3200, 0.740000, 0.010000
