time,price,bid,bidQty,offer,offerQty,percent,change
-1704890413, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704888910, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704886902, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704884878, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704882877, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704880902, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704878912, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704876897, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704874900, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704872897, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704870890, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704868855, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704866910, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704864890, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704862898, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704860894, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704859400, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704856880, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704855375, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704852891, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704850888, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704848894, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704847390, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704844892, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704842874, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704841390, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704838880, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704836872, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704834882, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704832879, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704831382, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704828854, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704826872, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704824758, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704822864, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
-1704820834, 0.700000, 0.688000, 300, 0.709100, 1100, -1.410000, -0.010000
