time,price,bid,bidQty,offer,offerQty,percent,change
-1704890416, 9.350000, 9.350000, 500, 9.360000, 10000, -0.850000, -0.080000
-1704889490, 9.350000, 9.350000, 500, 9.360000, 10000, -0.850000, -0.080000
-1704886982, 9.350000, 9.350000, 500, 9.360000, 10000, -0.850000, -0.080000
-1704885481, 9.350000, 9.350000, 500, 9.360000, 10000, -0.850000, -0.080000
-1704883478, 9.350000, 9.350000, 500, 9.360000, 10000, -0.850000, -0.080000
-1704881465, 9.350000, 9.350000, 500, 9.360000, 10000, -0.850000, -0.080000
-1704879466, 9.350000, 9.350000, 500, 9.360000, 10000, -0.850000, -0.080000
-1704876983, 9.350000, 9.350000, 300, 9.360000, 10000, -0.850000, -0.080000
-1704874943, 9.350000, 9.350000, 300, 9.360000, 10000, -0.850000, -0.080000
-1704872984, 9.350000, 9.350000, 300, 9.360000, 10000, -0.850000, -0.080000
-1704870982, 9.350000, 9.350000, 300, 9.360000, 10000, -0.850000, -0.080000
-1704868977, 9.350000, 9.350000, 300, 9.360000, 10000, -0.850000, -0.080000
-1704866980, 9.350000, 9.350000, 300, 9.360000, 10000, -0.850000, -0.080000
-1704865480, 9.350000, 9.350000, 300, 9.360000, 10000, -0.850000, -0.080000
-1704862943, 9.350000, 9.350000, 300, 9.360000, 10000, -0.850000, -0.080000
-1704860972, 9.350000, 9.350000, 300, 9.360000, 10000, -0.850000, -0.080000
-1704858968, 9.350000, 9.350000, 300, 9.360000, 10000, -0.850000, -0.080000
-1704856944, 9.350000, 9.350000, 300, 9.360000, 10000, -0.850000, -0.080000
-1704854973, 9.350000, 9.350000, 300, 9.360000, 10000, -0.850000, -0.080000
-1704852957, 9.350000, 9.350000, 300, 9.360000, 10000, -0.850000, -0.080000
-1704850927, 9.360000, 9.360000, 300, 9.370000, 300, -0.740000, -0.070000
-1704849468, 9.360000, 9.360000, 300, 9.370000, 300, -0.740000, -0.070000
-1704846965, 9.360000, 9.360000, 300, 9.370000, 400, -0.740000, -0.070000
-1704844928, 9.360000, 9.360000, 300, 9.370000, 400, -0.740000, -0.070000
-1704842973, 9.360000, 9.360000, 300, 9.370000, 400, -0.740000, -0.070000
-1704841467, 9.360000, 9.360000, 300, 9.370000, 400, -0.740000, -0.070000
-1704838965, 9.360000, 9.360000, 300, 9.370000, 400, -0.740000, -0.070000
-1704837963, 9.360000, 9.360000, 300, 9.370000, 400, -0.740000, -0.070000
-1704834966, 9.360000, 9.360000, 300, 9.370000, 400, -0.740000, -0.070000
-1704833461, 9.360000, 9.360000, 300, 9.370000, 400, -0.740000, -0.070000
-1704831465, 9.360000, 9.360000, 300, 9.370000, 400, -0.740000, -0.070000
-1704829463, 9.360000, 9.360000, 300, 9.370000, 400, -0.740000, -0.070000
-1704826961, 9.360000, 9.360000, 300, 9.370000, 400, -0.740000, -0.070000
-1704824966, 9.360000, 9.360000, 300, 9.370000, 400, -0.740000, -0.070000
-1704823425, 9.360000, 9.360000, 300, 9.370000, 400, -0.740000, -0.070000
-1704821969, 9.360000, 9.360000, 300, 9.370000, 400, -0.740000, -0.070000
-1704818963, 9.360000, 9.360000, 300, 9.370000, 500, -0.740000, -0.070000
-1704816959, 9.360000, 9.360000, 200, 9.370000, 400, -0.740000, -0.070000
-1704815967, 9.360000, 9.360000, 200, 9.370000, 400, -0.740000, -0.070000
-1704812952, 9.360000, 9.360000, 200, 9.370000, 400, -0.740000, -0.070000
-1704810956, 9.360000, 9.360000, 200, 9.370000, 400, -0.740000, -0.070000
-1704808933, 9.360000, 9.360000, 200, 9.370000, 400, -0.740000, -0.070000
-1704807959, 9.360000, 9.360000, 200, 9.370000, 400, -0.740000, -0.070000
-1704804955, 9.360000, 9.360000, 200, 9.370000, 400, -0.740000, -0.070000
-1704803450, 9.360000, 9.360000, 200, 9.370000, 400, -0.740000, -0.070000
-1704800952, 9.360000, 9.360000, 200, 9.370000, 300, -0.740000, -0.070000
-1704798948, 9.360000, 9.360000, 200, 9.370000, 300, -0.740000, -0.070000
-1704796946, 9.360000, 9.360000, 200, 9.370000, 300, -0.740000, -0.070000
-1704794952, 9.360000, 9.360000, 200, 9.370000, 300, -0.740000, -0.070000
-1704792917, 9.360000, 9.360000, 600, 9.370000, 100, -0.740000, -0.070000
-1704790951, 9.360000, 9.360000, 600, 9.370000, 100, -0.740000, -0.070000
-1704789451, 9.360000, 9.360000, 500, 9.370000, 200, -0.740000, -0.070000
-1704787451, 9.360100, 9.360000, 200, 9.370000, 300, -0.740000, -0.069900
-1704784953, 9.360100, 9.360000, 200, 9.370000, 300, -0.740000, -0.069900
-1704782940, 9.360100, 9.360000, 200, 9.370000, 600, -0.740000, -0.069900
-1704780898, 9.362600, 9.360000, 200, 9.370000, 600, -0.710000, -0.067400
-1704779445, 9.362600, 9.360000, 200, 9.370000, 600, -0.710000, -0.067400
-1704776937, 9.362600, 9.360000, 200, 9.370000, 500, -0.710000, -0.067400
-1704774951, 9.362600, 9.360000, 200, 9.370000, 500, -0.710000, -0.067400
-1704772947, 9.360000, 9.350000, 300, 9.360000, 300, -0.740000, -0.070000
-1704770941, 9.360000, 9.350000, 300, 9.360000, 600, -0.740000, -0.070000
-1704768914, 9.360000, 9.350000, 300, 9.360000, 200, -0.740000, -0.070000
-1704766934, 9.360000, 9.350000, 300, 9.360000, 200, -0.740000, -0.070000
-1704764942, 9.360000, 9.350000, 300, 9.360000, 200, -0.740000, -0.070000
-1704762887, 9.360000, 9.350000, 300, 9.360000, 200, -0.740000, -0.070000
-1704761437, 9.360000, 9.350000, 300, 9.360000, 200, -0.740000, -0.070000
-1704758943, 9.360000, 9.350000, 300, 9.360000, 200, -0.740000, -0.070000
-1704756893, 9.360000, 9.350000, 300, 9.360000, 200, -0.740000, -0.070000
-1704754930, 9.360000, 9.350000, 500, 9.360000, 200, -0.740000, -0.070000
-1704754930, 9.360000, 9.350000, 500, 9.360000, 200, -0.740000, -0.070000
