time,price,bid,bidQty,offer,offerQty,percent,change
-1704890760, 36.770000, 36.720001, 200, 36.790001, 400, 12.100000, 3.970000
-1704888798, 36.770000, 36.720001, 100, 36.799999, 700, 12.100000, 3.970000
-1704886790, 36.720100, 36.720001, 400, 36.799999, 400, 11.950000, 3.920100
-1704884784, 36.720100, 36.730000, 400, 36.799999, 700, 11.950000, 3.920100
-1704882786, 36.720100, 36.750000, 200, 36.799999, 200, 11.950000, 3.920100
-1704880791, 36.720100, 36.750000, 200, 36.799999, 200, 11.950000, 3.920100
-1704879271, 36.720100, 36.720001, 400, 36.799999, 800, 11.950000, 3.920100
-1704876747, 36.720100, 36.720001, 200, 36.799999, 700, 11.950000, 3.920100
-1704874766, 36.720100, 36.720001, 100, 36.799999, 900, 11.950000, 3.920100
-1704872781, 36.720100, 36.750000, 100, 36.799999, 700, 11.950000, 3.920100
-1704871285, 36.770000, 36.720001, 500, 36.790001, 300, 12.100000, 3.970000
-1704868785, 36.770000, 36.669998, 100, 36.750000, 600, 12.100000, 3.970000
-1704866781, 36.770000, 36.669998, 600, 36.750000, 400, 12.100000, 3.970000
-1704864780, 36.770000, 36.669998, 500, 36.750000, 400, 12.100000, 3.970000
-1704862760, 36.770000, 36.669998, 600, 36.770000, 400, 12.100000, 3.970000
-1704860779, 36.770000, 36.669998, 200, 36.750000, 500, 12.100000, 3.970000
-1704859277, 36.770000, 36.700001, 200, 36.770000, 300, 12.100000, 3.970000
-1704856771, 36.770000, 36.700001, 400, 36.759998, 300, 12.100000, 3.970000
-1704854771, 36.700001, 36.700001, 400, 36.770000, 200, 11.890000, 3.900000
-1704852776, 36.700001, 36.700001, 200, 36.770000, 400, 11.890000, 3.900000
-1704850768, 36.700001, 36.700001, 200, 36.770000, 300, 11.890000, 3.900000
-1704848730, 36.730301, 36.720001, 500, 36.770000, 100, 11.980000, 3.930300
-1704846742, 36.799999, 36.750000, 500, 36.820000, 200, 12.200000, 4.000000
-1704844770, 36.770000, 36.750000, 300, 36.820000, 300, 12.100000, 3.970000
-1704843273, 36.770000, 36.730000, 400, 36.759998, 200, 12.100000, 3.970000
-1704840756, 36.849998, 36.799999, 400, 36.849998, 200, 12.350000, 4.050000
-1704838770, 36.842499, 36.779999, 500, 36.849998, 200, 12.320000, 4.042500
-1704836775, 36.842499, 36.779999, 400, 36.849998, 400, 12.320000, 4.042500
-1704834762, 36.770000, 36.750000, 400, 36.810001, 300, 12.100000, 3.970000
-1704832767, 36.770000, 36.770000, 500, 36.840000, 300, 12.100000, 3.970000
-1704830729, 36.770000, 36.770000, 200, 36.840000, 300, 12.100000, 3.970000
-1704828757, 36.770000, 36.770000, 200, 36.840000, 500, 12.100000, 3.970000
-1704826759, 36.840000, 36.770000, 100, 36.840000, 600, 12.320000, 4.040000
-1704824746, 36.802502, 36.770000, 400, 36.849998, 500, 12.200000, 4.002500
-1704822753, 36.840000, 36.810001, 300, 36.869999, 400, 12.320000, 4.040000
-1704820762, 36.869999, 36.820000, 400, 36.880001, 5300, 12.410000, 4.070000
-1704818756, 36.889999, 36.849998, 500, 36.910000, 300, 12.470000, 4.090000
-1704816742, 36.889999, 36.849998, 300, 36.910000, 300, 12.470000, 4.090000
-1704814755, 36.939999, 36.869999, 500, 36.939999, 500, 12.620000, 4.140000
-1704812754, 36.869999, 36.869999, 400, 36.939999, 400, 12.410000, 4.070000
-1704811259, 36.869999, 36.869999, 200, 36.939999, 400, 12.410000, 4.070000
-1704808715, 36.869999, 36.869999, 500, 36.939999, 300, 12.410000, 4.070000
-1704806755, 36.950001, 36.900002, 200, 36.959999, 300, 12.650000, 4.150000
-1704804743, 36.919998, 36.889999, 100, 36.950001, 700, 12.560000, 4.120000
-1704802733, 36.919998, 36.900002, 1700, 36.970001, 400, 12.560000, 4.120000
-1704800735, 36.969601, 36.930000, 100, 36.970001, 200, 12.710000, 4.169600
-1704798738, 36.970001, 36.930000, 100, 36.970001, 200, 12.710000, 4.170000
-1704796752, 36.970001, 36.930000, 100, 36.980000, 500, 12.710000, 4.170000
-1704794739, 36.970001, 36.930000, 300, 36.990002, 300, 12.710000, 4.170000
-1704792746, 37.000000, 36.930000, 400, 37.000000, 7300, 12.800000, 4.200000
-1704790745, 37.000000, 36.950001, 1000, 37.000000, 7300, 12.800000, 4.200000
-1704788709, 36.950001, 36.900002, 300, 36.970001, 500, 12.650000, 4.150000
-1704786736, 36.962002, 36.869999, 600, 36.950001, 200, 12.690000, 4.162000
-1704784726, 36.901199, 36.900002, 200, 36.970001, 500, 12.500000, 4.101200
-1704782741, 36.970001, 36.939999, 300, 36.970001, 500, 12.710000, 4.170000
-1704780745, 36.939999, 36.900002, 300, 36.970001, 500, 12.620000, 4.140000
-1704778732, 36.889999, 36.860001, 800, 36.919998, 200, 12.470000, 4.090000
-1704776750, 36.939999, 36.869999, 300, 36.950001, 400, 12.620000, 4.140000
-1704774738, 36.919998, 36.900002, 300, 36.959999, 400, 12.560000, 4.120000
-1704772737, 36.919998, 36.900002, 800, 36.980000, 100, 12.560000, 4.120000
-1704770735, 36.919998, 36.900002, 600, 36.970001, 200, 12.560000, 4.120000
-1704768731, 36.919998, 36.900002, 1000, 36.980000, 100, 12.560000, 4.120000
-1704766731, 36.919998, 36.900002, 600, 36.970001, 200, 12.560000, 4.120000
-1704764737, 36.919998, 36.910000, 300, 36.959999, 500, 12.560000, 4.120000
-1704762689, 36.952499, 36.910000, 500, 36.959999, 500, 12.660000, 4.152500
-1704761237, 36.952499, 36.910000, 300, 36.959999, 500, 12.660000, 4.152500
-1704758729, 36.952499, 36.919998, 2100, 36.970001, 700, 12.660000, 4.152500
-1704756726, 36.959999, 36.919998, 2500, 37.000000, 7500, 12.680000, 4.160000
-1704754711, 36.959999, 36.919998, 2500, 37.000000, 7400, 12.680000, 4.160000
-1704752734, 37.000000, 36.919998, 2400, 37.000000, 7400, 12.800000, 4.200000
