time,price,bid,bidQty,offer,offerQty,percent,change
-1704890414, 9.999900, 9.990000, 300, 10.000000, 1700, -11.900000, -1.350100
-1704888911, 9.998700, 9.990000, 300, 10.000000, 3100, -11.910000, -1.351300
-1704886903, 9.995000, 9.990000, 300, 10.000000, 2000, -11.940000, -1.355000
-1704884878, 9.995000, 9.990000, 300, 10.000000, 2000, -11.940000, -1.355000
-1704882878, 9.995000, 9.990000, 300, 10.000000, 3400, -11.940000, -1.355000
-1704880903, 9.995000, 9.990000, 300, 10.000000, 3400, -11.940000, -1.355000
-1704878913, 9.996000, 9.990000, 300, 10.000000, 3000, -11.930000, -1.354000
-1704876898, 9.995000, 9.990000, 300, 10.000000, 2000, -11.940000, -1.355000
-1704875404, 9.995000, 9.990000, 300, 10.000000, 1900, -11.940000, -1.355000
-1704872897, 9.991000, 9.990000, 300, 10.000000, 1900, -11.970000, -1.359000
-1704870891, 9.990000, 9.990000, 100, 10.000000, 1900, -11.980000, -1.360000
-1704868855, 10.010000, 10.010000, 100, 10.020000, 1400, -11.810000, -1.340000
-1704866910, 10.000000, 10.000000, 100, 10.010000, 1100, -11.890000, -1.350000
-1704864891, 10.005000, 10.000000, 400, 10.010000, 1400, -11.850000, -1.345000
-1704862899, 9.990100, 9.990000, 1100, 10.000000, 500, -11.980000, -1.359900
-1704860894, 10.000000, 9.990000, 1800, 10.010000, 500, -11.890000, -1.350000
-1704858919, 10.000000, 9.990000, 1100, 10.000000, 800, -11.890000, -1.350000
-1704856881, 9.990000, 9.990000, 200, 10.000000, 1600, -11.980000, -1.360000
-1704855376, 9.995000, 9.990000, 200, 10.000000, 1000, -11.940000, -1.355000
-1704852892, 9.995000, 9.990000, 200, 10.000000, 800, -11.940000, -1.355000
-1704850889, 9.995000, 9.990000, 200, 10.000000, 600, -11.940000, -1.355000
-1704848894, 9.995000, 9.990000, 200, 10.000000, 1600, -11.940000, -1.355000
-1704846882, 9.970000, 9.970000, 200, 9.980000, 1400, -12.160000, -1.380000
-1704844893, 9.980000, 9.970000, 200, 9.980000, 500, -12.070000, -1.370000
-1704842874, 9.980000, 9.980000, 700, 9.990000, 4600, -12.070000, -1.370000
-1704841871, 9.990000, 9.980000, 100, 9.990000, 2700, -11.980000, -1.360000
-1704838881, 9.968700, 9.960000, 1700, 9.970000, 1600, -12.170000, -1.381300
-1704836872, 9.969900, 9.960000, 1700, 9.970000, 1200, -12.160000, -1.380100
-1704834882, 9.969000, 9.960000, 1700, 9.970000, 1000, -12.170000, -1.381000
-1704832880, 9.970000, 9.960000, 1700, 9.970000, 1000, -12.160000, -1.380000
-1704830873, 9.970000, 9.960000, 2000, 9.970000, 1000, -12.160000, -1.380000
-1704828854, 9.980000, 9.960000, 2000, 9.970000, 600, -12.070000, -1.370000
-1704826873, 9.969600, 9.960000, 2000, 9.970000, 300, -12.160000, -1.380400
-1704824758, 9.964700, 9.960000, 2000, 9.970000, 900, -12.210000, -1.385300
-1704822864, 9.965000, 9.960000, 3100, 9.970000, 2100, -12.200000, -1.385000
-1704820835, 9.960000, 9.960000, 3100, 9.970000, 2700, -12.250000, -1.390000
-1704818872, 9.960000, 9.960000, 3100, 9.970000, 2700, -12.250000, -1.390000
-1704816887, 9.960000, 9.960000, 2000, 9.970000, 4400, -12.250000, -1.390000
-1704814879, 9.950000, 9.950000, 8500, 9.960000, 5400, -12.330000, -1.400000
-1704812831, 9.955500, 9.950000, 7400, 9.960000, 5400, -12.290000, -1.394500
-1704810874, 9.955500, 9.950000, 7400, 9.960000, 6600, -12.290000, -1.394500
-1704808864, 9.957000, 9.950000, 7500, 9.960000, 6600, -12.270000, -1.393000
-1704806873, 9.955800, 9.950000, 7500, 9.960000, 6600, -12.280000, -1.394200
-1704804853, 9.940000, 9.940000, 600, 9.950000, 3600, -12.420000, -1.410000
-1704802864, 9.920000, 9.910000, 9600, 9.920000, 6300, -12.600000, -1.430000
-1704800865, 9.920000, 9.910000, 9000, 9.920000, 6100, -12.600000, -1.430000
-1704799354, 9.910000, 9.910000, 9300, 9.920000, 5800, -12.690000, -1.440000
-1704796852, 9.911000, 9.910000, 9000, 9.920000, 6900, -12.680000, -1.439000
-1704794860, 9.915000, 9.910000, 9000, 9.920000, 6900, -12.640000, -1.435000
-1704792861, 9.915700, 9.910000, 9000, 9.920000, 7000, -12.640000, -1.434300
-1704790859, 9.916000, 9.910000, 8600, 9.920000, 7500, -12.630000, -1.434000
-1704788867, 9.920000, 9.920000, 200, 9.930000, 600, -12.600000, -1.430000
-1704786857, 9.920000, 9.920000, 200, 9.930000, 1000, -12.600000, -1.430000
-1704784849, 9.920000, 9.920000, 200, 9.930000, 400, -12.600000, -1.430000
-1704782858, 9.920000, 9.910000, 8600, 9.920000, 1100, -12.600000, -1.430000
-1704780821, 9.929900, 9.910000, 8900, 9.930000, 6700, -12.510000, -1.420100
-1704778869, 9.931600, 9.930000, 500, 9.940000, 100, -12.500000, -1.418400
-1704776849, 9.937000, 9.920000, 1400, 9.940000, 600, -12.450000, -1.413000
-1704774853, 9.920000, 9.910000, 8600, 9.920000, 500, -12.600000, -1.430000
-1704772858, 9.923300, 9.910000, 8900, 9.930000, 900, -12.570000, -1.426700
-1704770792, 9.923300, 9.920000, 200, 9.930000, 700, -12.570000, -1.426700
-1704768855, 9.924400, 9.920000, 200, 9.930000, 600, -12.560000, -1.425600
-1704766788, 9.919600, 9.910000, 8600, 9.930000, 2600, -12.600000, -1.430400
-1704764852, 9.912000, 9.910000, 9200, 9.930000, 2000, -12.670000, -1.438000
-1704762851, 9.925000, 9.920000, 100, 9.930000, 1300, -12.560000, -1.425000
-1704760860, 9.929900, 9.920000, 200, 9.930000, 1200, -12.510000, -1.420100
-1704758844, 9.930000, 9.920000, 100, 9.930000, 7000, -12.510000, -1.420000
-1704756857, 9.929900, 9.910000, 8600, 9.920000, 2800, -12.510000, -1.420100
-1704754846, 9.910100, 9.910000, 8600, 9.920000, 600, -12.690000, -1.439900
-1704752811, 9.920000, 9.910000, 8100, 9.920000, 900, -12.600000, -1.430000
-1704750842, 9.910000, 9.910000, 8100, 9.920000, 800, -12.690000, -1.440000
-1704749345, 9.910000, 9.910000, 6100, 9.920000, 4000, -12.690000, -1.440000
-1704747336, 9.900000, 9.900000, 6700, 9.910000, 4600, -12.780000, -1.450000
-1704744935, 9.900000, 9.890000, 6200, 9.900000, 2400, -12.780000, -1.450000
-1704743433, 9.890000, 9.890000, 1200, 9.900000, 4300, -12.860000, -1.460000
-1704740935, 9.880000, 9.880000, 3900, 9.890000, 2600, -12.950000, -1.470000
-1704738931, 9.881000, 9.880000, 3900, 9.890000, 3000, -12.940000, -1.469000
-1704736934, 9.886200, 9.880000, 3900, 9.890000, 4100, -12.900000, -1.463800
-1704734887, 9.880000, 9.880000, 3600, 9.890000, 3100, -12.950000, -1.470000
-1704732930, 9.890000, 9.880000, 3300, 9.890000, 6900, -12.860000, -1.460000
-1704731391, 9.880000, 9.880000, 1700, 9.890000, 11200, -12.950000, -1.470000
-1704728924, 9.890000, 9.880000, 200, 9.890000, 13600, -12.860000, -1.460000
-1704726928, 9.880400, 9.880000, 200, 9.890000, 13500, -12.950000, -1.469600
-1704726427, 9.870000, 9.860000, 5500, 9.870000, 4500, -13.040000, -1.480000
-1704722928, 9.860000, 9.860000, 3700, 9.870000, 7700, -13.130000, -1.490000
-1704720921, 9.860000, 9.860000, 500, 9.870000, 11100, -13.130000, -1.490000
-1704718925, 9.860000, 9.860000, 500, 9.870000, 10400, -13.130000, -1.490000
-1704716923, 9.866100, 9.860000, 500, 9.870000, 10600, -13.070000, -1.483900
-1704714925, 9.860000, 9.860000, 500, 9.870000, 10000, -13.130000, -1.490000
-1704712922, 9.860000, 9.860000, 500, 9.870000, 10000, -13.130000, -1.490000
-1704710885, 9.840100, 9.840000, 1500, 9.850000, 1600, -13.300000, -1.509900
-1704708901, 9.850000, 9.840000, 1500, 9.850000, 1000, -13.220000, -1.500000
-1704706909, 9.855300, 9.850000, 400, 9.860000, 9900, -13.170000, -1.494700
-1704704921, 9.849900, 9.840000, 700, 9.850000, 800, -13.220000, -1.500100
-1704702910, 9.840700, 9.840000, 700, 9.850000, 600, -13.300000, -1.509300
-1704700913, 9.850000, 9.840000, 700, 9.850000, 400, -13.220000, -1.500000
-1704698901, 9.850000, 9.840000, 700, 9.850000, 2100, -13.220000, -1.500000
-1704696903, 9.838800, 9.830000, 2000, 9.850000, 900, -13.310000, -1.511200
-1704694900, 9.838800, 9.830000, 2000, 9.850000, 2000, -13.310000, -1.511200
-1704692903, 9.840000, 9.840000, 1000, 9.850000, 2400, -13.300000, -1.510000
-1704690905, 9.845000, 9.840000, 1000, 9.850000, 2900, -13.260000, -1.505000
-1704688916, 9.840000, 9.830000, 700, 9.840000, 1700, -13.300000, -1.510000
-1704686845, 9.850700, 9.840000, 1200, 9.860000, 8900, -13.210000, -1.499300
-1704684891, 9.871500, 9.860000, 2000, 9.880000, 1800, -13.030000, -1.478500
-1704682810, 9.862600, 9.860000, 1300, 9.880000, 2500, -13.100000, -1.487400
-1704680906, 9.879900, 9.860000, 2100, 9.880000, 2400, -12.950000, -1.470100
-1704678853, 9.870400, 9.860000, 2800, 9.880000, 1800, -13.040000, -1.479600
-1704676903, 9.866000, 9.860000, 2100, 9.880000, 2900, -13.070000, -1.484000
-1704674851, 9.880000, 9.870000, 200, 9.890000, 3100, -12.950000, -1.470000
-1704672899, 9.875000, 9.860000, 1300, 9.870000, 200, -13.000000, -1.475000
-1704671393, 9.870000, 9.860000, 800, 9.870000, 400, -13.040000, -1.480000
-1704668856, 9.880000, 9.870000, 200, 9.880000, 200, -12.950000, -1.470000
-1704666830, 9.870000, 9.860000, 800, 9.870000, 900, -13.040000, -1.480000
-1704665404, 9.860100, 9.860000, 800, 9.870000, 900, -13.130000, -1.489900
-1704662894, 9.860000, 9.860000, 2800, 9.870000, 4500, -13.130000, -1.490000
-1704660888, 9.870000, 9.870000, 400, 9.880000, 400, -13.040000, -1.480000
-1704658837, 9.880000, 9.870000, 200, 9.880000, 400, -12.950000, -1.470000
-1704656892, 9.870000, 9.870000, 100, 9.880000, 1500, -13.040000, -1.480000
-1704654871, 9.870000, 9.860000, 3000, 9.870000, 1500, -13.040000, -1.480000
-1704652887, 9.870000, 9.860000, 3000, 9.870000, 1000, -13.040000, -1.480000
-1704650844, 9.859900, 9.840000, 100, 9.850000, 2200, -13.130000, -1.490100
-1704648893, 9.840000, 9.830000, 1500, 9.850000, 1100, -13.300000, -1.510000
-1704646842, 9.840000, 9.830000, 700, 9.840000, 1600, -13.300000, -1.510000
-1704644886, 9.830000, 9.830000, 1100, 9.840000, 2500, -13.390000, -1.520000
-1704642848, 9.831000, 9.830000, 1000, 9.840000, 4000, -13.380000, -1.519000
-1704640841, 9.835000, 9.830000, 1000, 9.840000, 4000, -13.350000, -1.515000
-1704638853, 9.840000, 9.830000, 1000, 9.840000, 400, -13.300000, -1.510000
-1704636876, 9.834800, 9.830000, 1000, 9.840000, 1000, -13.350000, -1.515200
-1704634886, 9.820000, 9.820000, 600, 9.830000, 400, -13.480000, -1.530000
-1704632875, 9.830000, 9.830000, 100, 9.840000, 1000, -13.390000, -1.520000
-1704630866, 9.850000, 9.850000, 1000, 9.870000, 1200, -13.220000, -1.500000
-1704628880, 9.870000, 9.860000, 800, 9.880000, 5600, -13.040000, -1.480000
-1704626875, 9.870000, 9.850000, 2000, 9.860000, 300, -13.040000, -1.480000
-1704624858, 9.850100, 9.850000, 2200, 9.860000, 300, -13.210000, -1.499900
-1704622867, 9.850100, 9.850000, 3700, 9.870000, 1200, -13.210000, -1.499900
-1704620870, 9.833400, 9.830000, 1600, 9.850000, 1200, -13.360000, -1.516600
-1704618877, 9.856300, 9.850000, 200, 9.860000, 2800, -13.160000, -1.493700
-1704616867, 9.841900, 9.830000, 500, 9.850000, 1600, -13.290000, -1.508100
-1704614873, 9.840000, 9.830000, 100, 9.840000, 500, -13.300000, -1.510000
-1704612872, 9.840000, 9.840000, 100, 9.850000, 1000, -13.300000, -1.510000
-1704610859, 9.850000, 9.840000, 100, 9.850000, 1500, -13.220000, -1.500000
