time,price,bid,bidQty,offer,offerQty,percent,change
-1704890418, 18.420000, 18.400000, 1000, 18.440001, 700, 9.120000, 1.540000
-1704888917, 18.400999, 18.400000, 1200, 18.440001, 700, 9.010000, 1.521000
-1704886919, 18.400999, 18.400000, 1200, 18.440001, 700, 9.010000, 1.521000
-1704884909, 18.400999, 18.400000, 1000, 18.440001, 700, 9.010000, 1.521000
-1704882908, 18.400999, 18.400000, 1000, 18.440001, 700, 9.010000, 1.521000
-1704880917, 18.400999, 18.400000, 1000, 18.440001, 700, 9.010000, 1.521000
-1704878918, 18.400999, 18.400000, 1000, 18.440001, 700, 9.010000, 1.521000
-1704876907, 18.402800, 18.400000, 1000, 18.440001, 700, 9.020000, 1.522800
-1704874912, 18.400101, 18.400000, 1000, 18.440001, 700, 9.010000, 1.520100
-1704872914, 18.430000, 18.400000, 1200, 18.440001, 700, 9.180000, 1.550000
-1704871400, 18.430000, 18.410000, 800, 18.440001, 700, 9.180000, 1.550000
-1704868902, 18.410101, 18.410000, 800, 18.430000, 1200, 9.060000, 1.530100
-1704866906, 18.410000, 18.400000, 1000, 18.430000, 1200, 9.060000, 1.530000
-1704864913, 18.400000, 18.389999, 1900, 18.420000, 700, 9.000000, 1.520000
-1704862913, 18.400000, 18.389999, 800, 18.420000, 900, 9.000000, 1.520000
-1704860916, 18.400000, 18.400000, 100, 18.420000, 700, 9.000000, 1.520000
-1704858894, 18.400000, 18.400000, 100, 18.420000, 700, 9.000000, 1.520000
-1704856886, 18.400000, 18.400000, 800, 18.420000, 700, 9.000000, 1.520000
-1704854901, 18.400000, 18.400000, 800, 18.420000, 700, 9.000000, 1.520000
-1704852909, 18.401400, 18.400000, 100, 18.420000, 700, 9.010000, 1.521400
-1704850905, 18.389999, 18.389999, 700, 18.410000, 700, 8.950000, 1.510000
-1704848896, 18.389999, 18.389999, 700, 18.410000, 700, 8.950000, 1.510000
-1704846903, 18.389999, 18.389999, 700, 18.410000, 700, 8.950000, 1.510000
-1704844898, 18.389999, 18.389999, 700, 18.410000, 700, 8.950000, 1.510000
-1704842904, 18.389999, 18.389999, 700, 18.410000, 700, 8.950000, 1.510000
-1704840899, 18.391001, 18.389999, 700, 18.410000, 700, 8.950000, 1.511000
-1704838905, 18.400101, 18.400000, 700, 18.430000, 1200, 9.010000, 1.520100
-1704836892, 18.400101, 18.400000, 700, 18.430000, 2400, 9.010000, 1.520100
-1704834900, 18.400101, 18.400000, 700, 18.430000, 2400, 9.010000, 1.520100
-1704832905, 18.400101, 18.389999, 700, 18.420000, 1100, 9.010000, 1.520100
-1704830888, 18.414101, 18.389999, 700, 18.420000, 1100, 9.090000, 1.534100
-1704828881, 18.392099, 18.389999, 500, 18.410000, 1100, 8.960000, 1.512100
-1704826884, 18.389999, 18.379999, 700, 18.400000, 1200, 8.950000, 1.510000
-1704824834, 18.389999, 18.379999, 700, 18.400000, 1200, 8.950000, 1.510000
-1704822899, 18.389999, 18.379999, 1000, 18.400000, 1200, 8.950000, 1.510000
-1704820844, 18.389999, 18.389999, 700, 18.400000, 1200, 8.950000, 1.510000
-1704818886, 18.389999, 18.389999, 700, 18.400000, 1200, 8.950000, 1.510000
-1704816874, 18.389999, 18.379999, 900, 18.400000, 1200, 8.950000, 1.510000
-1704814895, 18.389999, 18.379999, 700, 18.400000, 1200, 8.950000, 1.510000
-1704812879, 18.389999, 18.379999, 700, 18.400000, 1200, 8.950000, 1.510000
-1704810881, 18.389099, 18.379999, 700, 18.400000, 1200, 8.940000, 1.509100
-1704808882, 18.389099, 18.379999, 200, 18.400000, 1200, 8.940000, 1.509100
-1704806887, 18.391701, 18.370001, 2400, 18.400000, 1200, 8.960000, 1.511700
-1704804904, 18.391701, 18.370001, 2500, 18.400000, 1200, 8.960000, 1.511700
-1704802881, 18.385000, 18.370001, 1900, 18.400000, 1200, 8.920000, 1.505000
-1704800891, 18.385000, 18.370001, 1000, 18.400000, 5200, 8.920000, 1.505000
-1704798886, 18.385000, 18.370001, 1000, 18.389999, 2200, 8.920000, 1.505000
-1704796892, 18.340000, 18.340000, 700, 18.360001, 700, 8.650000, 1.460000
-1704794880, 18.359800, 18.330000, 3300, 18.360001, 700, 8.770000, 1.479800
-1704792884, 18.330000, 18.320000, 900, 18.350000, 1100, 8.590000, 1.450000
-1704790888, 18.320000, 18.320000, 1500, 18.350000, 1100, 8.530000, 1.440000
-1704788884, 18.331400, 18.320000, 900, 18.350000, 1100, 8.600000, 1.451400
-1704786881, 18.331400, 18.320000, 1400, 18.350000, 1100, 8.600000, 1.451400
-1704784853, 18.331400, 18.320000, 900, 18.350000, 700, 8.600000, 1.451400
-1704782890, 18.330000, 18.320000, 500, 18.330000, 4000, 8.590000, 1.450000
-1704780871, 18.330000, 18.309999, 900, 18.330000, 4000, 8.590000, 1.450000
-1704778876, 18.317600, 18.309999, 700, 18.330000, 4000, 8.520000, 1.437600
-1704776865, 18.317600, 18.309999, 700, 18.330000, 4000, 8.520000, 1.437600
-1704774872, 18.300100, 18.299999, 1500, 18.330000, 4000, 8.410000, 1.420100
-1704772875, 18.313200, 18.299999, 8100, 18.330000, 4000, 8.490000, 1.433200
-1704770834, 18.320000, 18.309999, 700, 18.330000, 4000, 8.530000, 1.440000
-1704768879, 18.339899, 18.330000, 1100, 18.350000, 700, 8.650000, 1.459900
-1704766874, 18.350000, 18.330000, 700, 18.350000, 500, 8.710000, 1.470000
-1704764868, 18.330999, 18.330000, 700, 18.350000, 500, 8.600000, 1.451000
-1704763373, 18.330999, 18.330000, 700, 18.350000, 500, 8.600000, 1.451000
-1704760869, 18.330999, 18.330000, 700, 18.350000, 500, 8.600000, 1.451000
-1704758872, 18.331400, 18.330000, 700, 18.350000, 500, 8.600000, 1.451400
-1704756876, 18.331400, 18.330000, 700, 18.350000, 700, 8.600000, 1.451400
-1704754866, 18.331400, 18.330000, 700, 18.350000, 700, 8.600000, 1.451400
-1704752856, 18.330000, 18.330000, 700, 18.350000, 700, 8.590000, 1.450000
-1704750868, 18.330000, 18.330000, 1300, 18.370001, 900, 8.590000, 1.450000
-1704748883, 18.340000, 18.330000, 1300, 18.350000, 700, 8.650000, 1.460000
-1704746782, 18.340900, 18.330000, 700, 18.350000, 700, 8.650000, 1.460900
-1704744939, 18.340900, 18.330000, 900, 18.350000, 700, 8.650000, 1.460900
-1704743440, 18.340900, 18.350000, 400, 18.370001, 1300, 8.650000, 1.460900
-1704740933, 18.340900, 18.350000, 400, 18.370001, 900, 8.650000, 1.460900
-1704738916, 18.350000, 18.350000, 800, 18.370001, 900, 8.710000, 1.470000
-1704736939, 18.350000, 18.350000, 800, 18.370001, 900, 8.710000, 1.470000
-1704734939, 18.332100, 18.330000, 4200, 18.360001, 700, 8.600000, 1.452100
-1704732936, 18.355600, 18.340000, 700, 18.370001, 700, 8.740000, 1.475600
-1704730935, 18.355600, 18.340000, 700, 18.370001, 700, 8.740000, 1.475600
-1704728932, 18.369900, 18.340000, 700, 18.379999, 900, 8.830000, 1.489900
-1704726934, 18.354000, 18.340000, 2000, 18.379999, 900, 8.730000, 1.474000
-1704724930, 18.354000, 18.340000, 1700, 18.379999, 900, 8.730000, 1.474000
-1704722934, 18.354000, 18.340000, 1200, 18.379999, 900, 8.730000, 1.474000
-1704720933, 18.354000, 18.340000, 2000, 18.379999, 900, 8.730000, 1.474000
-1704718933, 18.389999, 18.360001, 700, 18.389999, 100, 8.950000, 1.510000
-1704716934, 18.389999, 18.360001, 700, 18.389999, 100, 8.950000, 1.510000
-1704714931, 18.389999, 18.360001, 700, 18.389999, 100, 8.950000, 1.510000
-1704712933, 18.389999, 18.360001, 700, 18.389999, 100, 8.950000, 1.510000
-1704711420, 18.379999, 18.360001, 700, 18.389999, 800, 8.890000, 1.500000
-1704708920, 18.379999, 18.360001, 700, 18.379999, 1500, 8.890000, 1.500000
-1704706921, 18.379999, 18.350000, 1100, 18.379999, 1500, 8.890000, 1.500000
-1704704928, 18.379999, 18.350000, 1100, 18.379999, 1500, 8.890000, 1.500000
-1704702928, 18.379999, 18.350000, 1100, 18.379999, 1500, 8.890000, 1.500000
-1704700923, 18.379999, 18.350000, 700, 18.379999, 1500, 8.890000, 1.500000
-1704698930, 18.365000, 18.350000, 700, 18.379999, 2000, 8.800000, 1.485000
-1704696928, 18.365000, 18.350000, 700, 18.379999, 2000, 8.800000, 1.485000
-1704694915, 18.365000, 18.350000, 700, 18.379999, 2000, 8.800000, 1.485000
-1704692926, 18.363001, 18.350000, 700, 18.379999, 1500, 8.790000, 1.483000
-1704690918, 18.363001, 18.340000, 2300, 18.370001, 800, 8.790000, 1.483000
-1704688913, 18.370001, 18.340000, 2000, 18.370001, 800, 8.830000, 1.490000
-1704686892, 18.340000, 18.340000, 700, 18.370001, 800, 8.650000, 1.460000
-1704684931, 18.340000, 18.330000, 2000, 18.370001, 800, 8.650000, 1.460000
-1704683395, 18.340000, 18.330000, 2000, 18.360001, 2000, 8.650000, 1.460000
-1704680919, 18.340000, 18.330000, 1100, 18.360001, 2000, 8.650000, 1.460000
-1704679421, 18.334999, 18.330000, 1100, 18.360001, 2000, 8.620000, 1.455000
-1704676919, 18.334999, 18.330000, 2900, 18.360001, 1800, 8.620000, 1.455000
-1704674918, 18.340000, 18.330000, 2000, 18.350000, 800, 8.650000, 1.460000
-1704673420, 18.330000, 18.330000, 1500, 18.350000, 800, 8.590000, 1.450000
-1704670819, 18.330000, 18.330000, 500, 18.350000, 800, 8.590000, 1.450000
-1704668899, 18.330000, 18.330000, 200, 18.350000, 800, 8.590000, 1.450000
-1704667912, 18.330000, 18.320000, 3500, 18.350000, 800, 8.590000, 1.450000
-1704664909, 18.330000, 18.330000, 700, 18.350000, 800, 8.590000, 1.450000
-1704662911, 18.330000, 18.330000, 700, 18.350000, 800, 8.590000, 1.450000
-1704660911, 18.330000, 18.330000, 700, 18.350000, 800, 8.590000, 1.450000
-1704658898, 18.330000, 18.330000, 700, 18.350000, 800, 8.590000, 1.450000
-1704656907, 18.330000, 18.320000, 1000, 18.350000, 800, 8.590000, 1.450000
-1704654910, 18.330000, 18.330000, 700, 18.350000, 800, 8.590000, 1.450000
-1704652904, 18.330000, 18.320000, 2000, 18.350000, 800, 8.590000, 1.450000
-1704650869, 18.330000, 18.320000, 1000, 18.340000, 1100, 8.590000, 1.450000
-1704648907, 18.299999, 18.280001, 300, 18.299999, 1000, 8.410000, 1.420000
-1704646862, 18.290001, 18.280001, 1100, 18.299999, 400, 8.350000, 1.410000
-1704644895, 18.290001, 18.280001, 800, 18.299999, 400, 8.350000, 1.410000
-1704642903, 18.290001, 18.280001, 700, 18.299999, 400, 8.350000, 1.410000
-1704640878, 18.290001, 18.280001, 300, 18.299999, 400, 8.350000, 1.410000
-1704639390, 18.270000, 18.270000, 10400, 18.299999, 400, 8.230000, 1.390000
-1704636901, 18.270000, 18.270000, 8300, 18.299999, 400, 8.230000, 1.390000
-1704634903, 18.270000, 18.280001, 200, 18.299999, 400, 8.230000, 1.390000
-1704632900, 18.270000, 18.280001, 700, 18.299999, 400, 8.230000, 1.390000
-1704630898, 18.270000, 18.280001, 700, 18.299999, 400, 8.230000, 1.390000
-1704628906, 18.270000, 18.280001, 700, 18.299999, 400, 8.230000, 1.390000
-1704626899, 18.270000, 18.280001, 200, 18.299999, 400, 8.230000, 1.390000
-1704624895, 18.294001, 18.280001, 200, 18.299999, 400, 8.380000, 1.414000
-1704623383, 18.294001, 18.280001, 200, 18.299999, 400, 8.380000, 1.414000
-1704620894, 18.219999, 18.200001, 1700, 18.230000, 900, 7.940000, 1.340000
-1704618890, 18.209999, 18.209999, 100, 18.230000, 900, 7.880000, 1.330000
-1704616892, 18.209999, 18.209999, 400, 18.230000, 900, 7.880000, 1.330000
-1704614891, 18.213499, 18.200001, 900, 18.230000, 700, 7.900000, 1.333500
-1704612902, 18.200001, 18.200001, 700, 18.219999, 900, 7.820000, 1.320000
-1704610890, 18.200001, 18.190001, 5000, 18.209999, 700, 7.820000, 1.320000
-1704608888, 18.205000, 18.190001, 3900, 18.209999, 700, 7.850000, 1.325000
-1704606887, 18.205000, 18.200001, 200, 18.209999, 900, 7.850000, 1.325000
-1704604885, 18.200001, 18.190001, 700, 18.209999, 900, 7.820000, 1.320000
-1704602887, 18.200001, 18.180000, 700, 18.200001, 800, 7.820000, 1.320000
-1704600891, 18.180000, 18.180000, 700, 18.209999, 700, 7.700000, 1.300000
-1704598872, 18.180000, 18.180000, 700, 18.200001, 700, 7.700000, 1.300000
-1704596874, 18.160000, 18.160000, 1800, 18.180000, 1700, 7.580000, 1.280000
-1704594873, 18.140100, 18.139999, 300, 18.160000, 700, 7.470000, 1.260100
-1704593386, 18.140100, 18.139999, 300, 18.160000, 700, 7.470000, 1.260100
-1704590889, 18.160000, 18.129999, 1100, 18.160000, 700, 7.580000, 1.280000
