time,price,bid,bidQty,offer,offerQty,percent,change
-1704890417, 45.230000, 45.180000, 100, 45.299999, 100, -9.320000, -4.650000
-1704890417, 45.230000, 45.180000, 100, 45.299999, 100, -9.320000, -4.650000
-1704886918, 45.289001, 45.180000, 200, 45.279999, 200, -9.200000, -4.591000
-1704884909, 45.289001, 45.180000, 200, 45.290001, 100, -9.200000, -4.591000
-1704882907, 45.287601, 45.180000, 200, 45.290001, 100, -9.210000, -4.592400
-1704880917, 45.289902, 45.180000, 200, 45.290001, 100, -9.200000, -4.590100
-1704878918, 45.289902, 45.180000, 200, 45.290001, 100, -9.200000, -4.590100
-1704876906, 45.289902, 45.200001, 100, 45.299999, 100, -9.200000, -4.590100
-1704874911, 45.255001, 45.200001, 100, 45.299999, 100, -9.270000, -4.625000
-1704873404, 45.255001, 45.200001, 100, 45.290001, 100, -9.270000, -4.625000
-1704870909, 45.289902, 45.200001, 100, 45.279999, 200, -9.200000, -4.590100
-1704868902, 45.289902, 45.200001, 100, 45.279999, 500, -9.200000, -4.590100
-1704866906, 45.289902, 45.200001, 100, 45.299999, 100, -9.200000, -4.590100
-1704864912, 45.299999, 45.270000, 100, 45.299999, 100, -9.180000, -4.580000
-1704862912, 45.279999, 45.259998, 100, 45.299999, 100, -9.220000, -4.600000
-1704860915, 45.299900, 45.259998, 100, 45.299999, 100, -9.180000, -4.580100
-1704858894, 45.299900, 45.240002, 100, 45.299999, 100, -9.180000, -4.580100
-1704856886, 45.299999, 45.240002, 100, 45.299999, 100, -9.180000, -4.580000
-1704854900, 45.299999, 45.220001, 100, 45.299999, 100, -9.180000, -4.580000
-1704852908, 45.299999, 45.220001, 100, 45.299999, 100, -9.180000, -4.580000
-1704850904, 45.299999, 45.250000, 100, 45.330002, 200, -9.180000, -4.580000
-1704848896, 45.285301, 45.250000, 100, 45.320000, 100, -9.210000, -4.594700
-1704846902, 45.314999, 45.250000, 100, 45.310001, 100, -9.150000, -4.565000
-1704845355, 45.314999, 45.259998, 100, 45.310001, 100, -9.150000, -4.565000
-1704842904, 45.314999, 45.259998, 100, 45.310001, 100, -9.150000, -4.565000
-1704840898, 45.290401, 45.259998, 100, 45.330002, 100, -9.200000, -4.589600
-1704838904, 45.285000, 45.279999, 1000, 45.320000, 600, -9.210000, -4.595000
-1704836891, 45.285000, 45.279999, 1000, 45.320000, 600, -9.210000, -4.595000
-1704834899, 45.319000, 45.279999, 1000, 45.330002, 600, -9.140000, -4.561000
-1704832904, 45.282001, 45.279999, 1000, 45.330002, 100, -9.220000, -4.598000
-1704830887, 45.282001, 45.279999, 1000, 45.320000, 200, -9.220000, -4.598000
-1704828880, 45.300098, 45.299999, 1000, 45.320000, 200, -9.180000, -4.579900
-1704826884, 45.310001, 45.299999, 500, 45.349998, 200, -9.160000, -4.570000
-1704824833, 45.334000, 45.299999, 500, 45.360001, 200, -9.110000, -4.546000
-1704822898, 45.299999, 45.299999, 100, 45.340000, 300, -9.180000, -4.580000
-1704820844, 45.280102, 45.279999, 200, 45.340000, 500, -9.220000, -4.599900
-1704818885, 45.339001, 45.279999, 200, 45.340000, 500, -9.100000, -4.541000
-1704816874, 45.339001, 45.279999, 200, 45.340000, 300, -9.100000, -4.541000
-1704814894, 45.339001, 45.279999, 200, 45.340000, 200, -9.100000, -4.541000
-1704812878, 45.286999, 45.279999, 100, 45.349998, 200, -9.210000, -4.593000
-1704810881, 45.280102, 45.279999, 100, 45.349998, 100, -9.220000, -4.599900
-1704808881, 45.319698, 45.279999, 100, 45.360001, 300, -9.140000, -4.560300
-1704806886, 45.319698, 45.279999, 100, 45.360001, 300, -9.140000, -4.560300
-1704804903, 45.319698, 45.279999, 100, 45.360001, 300, -9.140000, -4.560300
-1704802880, 45.319698, 45.290001, 100, 45.369999, 300, -9.140000, -4.560300
-1704800890, 45.319698, 45.299999, 100, 45.380001, 200, -9.140000, -4.560300
-1704799333, 45.319698, 45.310001, 100, 45.380001, 100, -9.140000, -4.560300
-1704796891, 45.430000, 45.400002, 100, 45.480000, 500, -8.920000, -4.450000
-1704795372, 45.450001, 45.400002, 100, 45.459999, 200, -8.880000, -4.430000
-1704792883, 45.500000, 45.439999, 100, 45.509998, 200, -8.780000, -4.380000
-1704790887, 45.500000, 45.439999, 100, 45.500000, 200, -8.780000, -4.380000
-1704788883, 45.500000, 45.439999, 100, 45.509998, 200, -8.780000, -4.380000
-1704786880, 45.500000, 45.439999, 100, 45.500000, 200, -8.780000, -4.380000
-1704784853, 45.500000, 45.430000, 100, 45.509998, 200, -8.780000, -4.380000
-1704782890, 45.509998, 45.500000, 1000, 45.520000, 200, -8.760000, -4.370000
-1704780870, 45.540001, 45.500000, 1100, 45.549999, 100, -8.700000, -4.340000
-1704778876, 45.540001, 45.500000, 1100, 45.540001, 200, -8.700000, -4.340000
-1704776864, 45.540001, 45.500000, 1100, 45.570000, 200, -8.700000, -4.340000
-1704774871, 45.540001, 45.540001, 100, 45.570000, 200, -8.700000, -4.340000
-1704772875, 45.540001, 45.520000, 300, 45.549999, 200, -8.700000, -4.340000
-1704770834, 45.520000, 45.500000, 1000, 45.549999, 200, -8.740000, -4.360000
-1704768878, 45.442402, 45.419998, 100, 45.500000, 400, -8.900000, -4.437600
-1704766873, 45.442402, 45.419998, 100, 45.500000, 200, -8.900000, -4.437600
-1704764867, 45.520000, 45.419998, 100, 45.520000, 500, -8.740000, -4.360000
-1704762875, 45.520000, 45.419998, 100, 45.520000, 400, -8.740000, -4.360000
-1704760868, 45.520000, 45.419998, 100, 45.520000, 300, -8.740000, -4.360000
-1704758871, 45.520000, 45.419998, 300, 45.520000, 400, -8.740000, -4.360000
-1704756875, 45.520000, 45.419998, 400, 45.500000, 100, -8.740000, -4.360000
-1704754866, 45.499001, 45.419998, 400, 45.509998, 200, -8.780000, -4.381000
-1704753327, 45.499001, 45.419998, 400, 45.509998, 200, -8.780000, -4.381000
-1704750868, 45.499001, 45.419998, 400, 45.490002, 200, -8.780000, -4.381000
-1704748882, 45.480000, 45.419998, 400, 45.490002, 200, -8.820000, -4.400000
-1704746781, 45.443501, 45.419998, 400, 45.490002, 100, -8.890000, -4.436500
-1704744939, 45.441002, 45.419998, 400, 45.490002, 100, -8.900000, -4.439000
-1704743440, 45.421001, 45.419998, 200, 45.459999, 100, -8.940000, -4.459000
