time,price,bid,bidQty,offer,offerQty,percent,change
-1704890412, 34.759998, 34.709999, 100, 34.759998, 200, -2.190000, -0.780000
-1704888904, 34.759998, 34.720001, 100, 34.759998, 100, -2.190000, -0.780000
-1704886923, 34.759998, 34.720001, 100, 34.759998, 100, -2.190000, -0.780000
-1704884916, 34.750000, 34.720001, 100, 34.770000, 100, -2.220000, -0.790000
-1704882911, 34.750000, 34.700001, 100, 34.770000, 100, -2.220000, -0.790000
-1704880924, 34.750000, 34.700001, 100, 34.770000, 100, -2.220000, -0.790000
-1704878919, 34.750000, 34.709999, 100, 34.770000, 100, -2.220000, -0.790000
-1704877913, 34.750000, 34.709999, 100, 34.770000, 100, -2.220000, -0.790000
-1704874910, 34.750000, 34.709999, 100, 34.770000, 100, -2.220000, -0.790000
-1704872920, 34.750000, 34.709999, 100, 34.770000, 100, -2.220000, -0.790000
-1704870909, 34.730000, 34.709999, 100, 34.770000, 100, -2.280000, -0.810000
-1704868909, 34.730000, 34.709999, 100, 34.770000, 100, -2.280000, -0.810000
-1704866909, 34.730000, 34.709999, 100, 34.770000, 100, -2.280000, -0.810000
-1704864911, 34.730000, 34.709999, 200, 34.770000, 100, -2.280000, -0.810000
-1704862881, 34.740002, 34.720001, 100, 34.770000, 100, -2.250000, -0.800000
-1704860908, 34.737999, 34.720001, 100, 34.770000, 100, -2.260000, -0.802000
-1704859422, 34.737999, 34.720001, 100, 34.770000, 100, -2.260000, -0.802000
-1704857346, 34.737999, 34.720001, 100, 34.770000, 100, -2.260000, -0.802000
-1704855411, 34.720001, 34.720001, 100, 34.770000, 100, -2.310000, -0.820000
-1704853396, 34.720001, 34.720001, 100, 34.770000, 100, -2.310000, -0.820000
-1704850916, 34.720001, 34.720001, 100, 34.770000, 100, -2.310000, -0.820000
-1704849407, 34.720001, 34.720001, 100, 34.770000, 100, -2.310000, -0.820000
-1704848401, 34.720001, 34.720001, 100, 34.770000, 100, -2.310000, -0.820000
-1704844883, 34.720001, 34.720001, 100, 34.770000, 100, -2.310000, -0.820000
-1704844883, 34.720001, 34.720001, 100, 34.770000, 100, -2.310000, -0.820000
-1704840964, 34.720001, 34.700001, 100, 34.759998, 200, -2.310000, -0.820000
-1704838962, 34.720001, 34.700001, 100, 34.759998, 200, -2.310000, -0.820000
-1704837966, 34.720001, 34.700001, 100, 34.759998, 200, -2.310000, -0.820000
-1704835461, 34.720001, 34.700001, 100, 34.759998, 200, -2.310000, -0.820000
-1704834960, 34.720001, 34.700001, 100, 34.759998, 200, -2.310000, -0.820000
-1704830961, 34.720001, 34.700001, 100, 34.759998, 200, -2.310000, -0.820000
-1704828958, 34.726398, 34.700001, 100, 34.759998, 200, -2.290000, -0.813600
-1704826962, 34.726398, 34.700001, 200, 34.759998, 200, -2.290000, -0.813600
-1704825457, 34.726398, 34.700001, 100, 34.759998, 200, -2.290000, -0.813600
-1704822956, 34.726398, 34.700001, 100, 34.759998, 200, -2.290000, -0.813600
-1704820960, 34.726398, 34.700001, 100, 34.759998, 200, -2.290000, -0.813600
-1704818930, 34.726398, 34.700001, 100, 34.759998, 200, -2.290000, -0.813600
-1704816940, 34.726398, 34.700001, 100, 34.759998, 200, -2.290000, -0.813600
-1704815459, 34.689999, 34.669998, 100, 34.740002, 100, -2.390000, -0.850000
-1704812949, 34.720001, 34.669998, 100, 34.730000, 200, -2.310000, -0.820000
-1704810957, 34.720001, 34.650002, 100, 34.720001, 100, -2.310000, -0.820000
-1704808951, 34.720001, 34.650002, 100, 34.720001, 100, -2.310000, -0.820000
-1704808452, 34.720001, 34.650002, 100, 34.720001, 100, -2.310000, -0.820000
-1704806451, 34.660000, 34.630001, 100, 34.700001, 100, -2.480000, -0.880000
-1704804422, 34.660000, 34.630001, 100, 34.700001, 200, -2.480000, -0.880000
-1704800948, 34.660000, 34.630001, 100, 34.700001, 200, -2.480000, -0.880000
-1704798950, 34.660000, 34.619999, 100, 34.700001, 200, -2.480000, -0.880000
-1704796920, 34.660000, 34.619999, 100, 34.700001, 200, -2.480000, -0.880000
-1704794949, 34.660000, 34.619999, 100, 34.700001, 200, -2.480000, -0.880000
-1704792947, 34.660000, 34.619999, 100, 34.689999, 300, -2.480000, -0.880000
-1704790948, 34.660000, 34.619999, 100, 34.669998, 100, -2.480000, -0.880000
-1704788951, 34.660000, 34.619999, 100, 34.669998, 200, -2.480000, -0.880000
-1704786906, 34.660000, 34.619999, 100, 34.669998, 300, -2.480000, -0.880000
-1704784945, 34.660000, 34.619999, 100, 34.669998, 300, -2.480000, -0.880000
-1704782942, 34.660000, 34.619999, 100, 34.669998, 200, -2.480000, -0.880000
-1704780935, 34.660000, 34.619999, 100, 34.669998, 200, -2.480000, -0.880000
-1704778949, 34.660000, 34.619999, 100, 34.669998, 100, -2.480000, -0.880000
-1704778444, 34.660000, 34.630001, 100, 34.669998, 100, -2.480000, -0.880000
-1704778444, 34.660000, 34.630001, 100, 34.669998, 100, -2.480000, -0.880000
-1704772943, 34.648300, 34.619999, 100, 34.689999, 300, -2.510000, -0.891700
-1704771441, 34.648300, 34.619999, 100, 34.689999, 300, -2.510000, -0.891700
-1704768936, 34.648300, 34.619999, 100, 34.689999, 300, -2.510000, -0.891700
-1704766939, 34.648300, 34.619999, 100, 34.689999, 300, -2.510000, -0.891700
-1704765447, 34.648300, 34.619999, 100, 34.689999, 300, -2.510000, -0.891700
-1704762936, 34.648300, 34.619999, 100, 34.689999, 300, -2.510000, -0.891700
-1704761428, 34.648300, 34.619999, 100, 34.689999, 300, -2.510000, -0.891700
-1704759420, 34.648300, 34.619999, 100, 34.689999, 200, -2.510000, -0.891700
-1704756918, 34.648300, 34.619999, 100, 34.689999, 300, -2.510000, -0.891700
-1704754931, 34.648300, 34.619999, 100, 34.689999, 300, -2.510000, -0.891700
