time,price,bid,bidQty,offer,offerQty,percent,change
-1704890412, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704888910, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704886902, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704884878, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704882877, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704880902, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704878912, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704876897, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704875403, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704872896, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704871349, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704868854, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704866909, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704864890, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704862898, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704860893, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704858918, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704856880, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704854880, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704852891, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704850888, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704848893, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704846881, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
-1704844892, 0.518000, 0.510900, 200, 0.530000, 200, -5.820000, -0.032000
