time,price,bid,bidQty,offer,offerQty,percent,change
-1704890413, 17.719999, 17.719999, 2800, 17.730000, 2500, 0.110000, 0.020000
-1704888910, 17.719999, 17.719999, 2800, 17.730000, 2500, 0.110000, 0.020000
-1704886902, 17.719999, 17.719999, 2900, 17.730000, 2300, 0.110000, 0.020000
-1704884878, 17.727501, 17.719999, 2900, 17.730000, 2200, 0.160000, 0.027500
-1704882877, 17.725000, 17.719999, 3400, 17.730000, 2200, 0.140000, 0.025000
-1704880902, 17.725000, 17.719999, 2800, 17.730000, 2300, 0.140000, 0.025000
-1704878912, 17.725000, 17.719999, 3400, 17.730000, 2000, 0.140000, 0.025000
-1704876898, 17.712700, 17.709999, 4700, 17.719999, 3700, 0.070000, 0.012700
-1704875404, 17.712700, 17.709999, 4800, 17.719999, 3700, 0.070000, 0.012700
-1704872897, 17.712700, 17.709999, 4800, 17.719999, 3700, 0.070000, 0.012700
-1704870890, 17.712700, 17.709999, 4800, 17.719999, 3700, 0.070000, 0.012700
-1704868855, 17.712700, 17.709999, 3900, 17.719999, 4200, 0.070000, 0.012700
-1704866910, 17.712700, 17.709999, 4600, 17.719999, 3600, 0.070000, 0.012700
-1704864890, 17.719999, 17.709999, 5700, 17.719999, 2300, 0.110000, 0.020000
-1704862898, 17.719999, 17.709999, 5700, 17.719999, 2400, 0.110000, 0.020000
-1704860894, 17.719999, 17.709999, 5700, 17.719999, 2400, 0.110000, 0.020000
-1704858919, 17.719999, 17.709999, 5700, 17.719999, 2400, 0.110000, 0.020000
-1704856880, 17.725000, 17.719999, 800, 17.730000, 6700, 0.140000, 0.025000
-1704854881, 17.725000, 17.719999, 1200, 17.730000, 6700, 0.140000, 0.025000
-1704852891, 17.725000, 17.719999, 1200, 17.730000, 6700, 0.140000, 0.025000
-1704850888, 17.725000, 17.719999, 2200, 17.730000, 5600, 0.140000, 0.025000
-1704848894, 17.725000, 17.719999, 2200, 17.730000, 5600, 0.140000, 0.025000
-1704846881, 17.719999, 17.719999, 1200, 17.730000, 6500, 0.110000, 0.020000
-1704844892, 17.719999, 17.719999, 1300, 17.730000, 6700, 0.110000, 0.020000
-1704842874, 17.725000, 17.719999, 1300, 17.730000, 6500, 0.140000, 0.025000
-1704841390, 17.725000, 17.719999, 1200, 17.730000, 6800, 0.140000, 0.025000
-1704839389, 17.725000, 17.719999, 1300, 17.730000, 6800, 0.140000, 0.025000
-1704836872, 17.729900, 17.719999, 1500, 17.730000, 6800, 0.170000, 0.029900
-1704834882, 17.729900, 17.719999, 1500, 17.730000, 6800, 0.170000, 0.029900
-1704832879, 17.725000, 17.719999, 2400, 17.730000, 5400, 0.140000, 0.025000
-1704830872, 17.719999, 17.719999, 1300, 17.730000, 6300, 0.110000, 0.020000
