time,price,bid,bidQty,offer,offerQty,percent,change
-1704890757, 0.076000, 0.075500, 4000, 0.076000, 300, -7.880000, -0.006500
-1704888792, 0.076000, 0.075500, 4000, 0.076000, 300, -7.880000, -0.006500
-1704887290, 0.076000, 0.075500, 4000, 0.076000, 300, -7.880000, -0.006500
-1704885776, 0.076000, 0.075500, 4000, 0.076000, 300, -7.880000, -0.006500
-1704882788, 0.076000, 0.075500, 4000, 0.076000, 300, -7.880000, -0.006500
-1704880789, 0.076000, 0.075500, 4000, 0.076000, 300, -7.880000, -0.006500
-1704878776, 0.076000, 0.075500, 4000, 0.076000, 300, -7.880000, -0.006500
-1704876789, 0.076000, 0.075500, 4000, 0.076000, 300, -7.880000, -0.006500
-1704874769, 0.076000, 0.075500, 4000, 0.076000, 300, -7.880000, -0.006500
-1704872784, 0.076000, 0.075500, 4000, 0.076000, 300, -7.880000, -0.006500
-1704871244, 0.076000, 0.075500, 4000, 0.076000, 300, -7.880000, -0.006500
-1704868781, 0.076000, 0.075500, 4000, 0.076000, 300, -7.880000, -0.006500
-1704866778, 0.076000, 0.075500, 4000, 0.076000, 300, -7.880000, -0.006500
-1704864775, 0.076000, 0.075500, 4000, 0.076000, 300, -7.880000, -0.006500
-1704863259, 0.076000, 0.075500, 4000, 0.076000, 1400, -7.880000, -0.006500
-1704860781, 0.076000, 0.075500, 4000, 0.076000, 1400, -7.880000, -0.006500
-1704859273, 0.076000, 0.075500, 4000, 0.076000, 1400, -7.880000, -0.006500
-1704856779, 0.076000, 0.075500, 4000, 0.076000, 1400, -7.880000, -0.006500
-1704854775, 0.076000, 0.075500, 4000, 0.076000, 1400, -7.880000, -0.006500
-1704852768, 0.076000, 0.075500, 4000, 0.076000, 1400, -7.880000, -0.006500
-1704850762, 0.076000, 0.075500, 4000, 0.076000, 1100, -7.880000, -0.006500
-1704849255, 0.075800, 0.075500, 4000, 0.076000, 1100, -8.120000, -0.006700
-1704846716, 0.076000, 0.075500, 4000, 0.076000, 1100, -7.880000, -0.006500
-1704844765, 0.076000, 0.075500, 4000, 0.076000, 1100, -7.880000, -0.006500
-1704843259, 0.076000, 0.075500, 4000, 0.076000, 1100, -7.880000, -0.006500
-1704840756, 0.076000, 0.075500, 4000, 0.076000, 1100, -7.880000, -0.006500
-1704838761, 0.076000, 0.075500, 4000, 0.076000, 1100, -7.880000, -0.006500
