time,price,bid,bidQty,offer,offerQty,percent,change
-1704890762, 36.910000, 36.799999, 5000, 36.939999, 100, 2.020000, 0.730000
-1704888800, 36.939999, 36.820000, 100, 36.950001, 9300, 2.100000, 0.760000
-1704887291, 36.939999, 36.799999, 5000, 36.950001, 9300, 2.100000, 0.760000
-1704884786, 36.875000, 36.799999, 5000, 36.950001, 9300, 1.920000, 0.695000
-1704882789, 36.875000, 36.799999, 5000, 36.889999, 500, 1.920000, 0.695000
-1704880793, 36.875000, 36.799999, 5000, 36.889999, 400, 1.920000, 0.695000
-1704879272, 36.875000, 36.799999, 5000, 36.889999, 400, 1.920000, 0.695000
-1704876749, 36.875000, 36.799999, 5000, 36.889999, 400, 1.920000, 0.695000
-1704874770, 36.812599, 36.799999, 5000, 36.889999, 300, 1.750000, 0.632600
-1704872784, 36.812599, 36.799999, 5000, 36.889999, 300, 1.750000, 0.632600
-1704871780, 36.812599, 36.799999, 5000, 36.889999, 300, 1.750000, 0.632600
-1704868787, 36.889999, 36.799999, 5000, 36.889999, 400, 1.960000, 0.710000
-1704866783, 36.889999, 36.799999, 5000, 36.889999, 400, 1.960000, 0.710000
-1704864783, 36.889999, 36.799999, 5000, 36.880001, 100, 1.960000, 0.710000
-1704862761, 36.869999, 36.799999, 5000, 36.919998, 200, 1.910000, 0.690000
-1704860781, 36.849998, 36.799999, 5000, 36.849998, 300, 1.850000, 0.670000
-1704858783, 36.800999, 36.799999, 5000, 36.849998, 100, 1.720000, 0.621000
-1704856772, 36.889000, 36.799999, 5000, 36.919998, 200, 1.960000, 0.709000
-1704854773, 36.889000, 36.799999, 5000, 36.919998, 400, 1.960000, 0.709000
-1704852777, 36.865601, 36.799999, 5000, 36.919998, 400, 1.890000, 0.685600
-1704850769, 36.865601, 36.799999, 200, 36.919998, 400, 1.890000, 0.685600
-1704848731, 36.884998, 36.860001, 100, 36.919998, 400, 1.950000, 0.705000
-1704846744, 36.884998, 36.860001, 100, 36.919998, 400, 1.950000, 0.705000
-1704844772, 36.919998, 36.869999, 100, 36.950001, 1400, 2.050000, 0.740000
-1704842744, 36.895100, 36.880001, 200, 36.950001, 1400, 1.980000, 0.715100
-1704840758, 36.915001, 36.880001, 200, 36.950001, 1400, 2.030000, 0.735000
-1704838772, 36.919998, 36.889999, 400, 36.950001, 1400, 2.050000, 0.740000
-1704836777, 36.999901, 36.889999, 400, 37.000000, 2200, 2.270000, 0.819900
-1704834763, 37.080002, 37.009998, 600, 37.090000, 2000, 2.490000, 0.900000
-1704832769, 37.090000, 37.049999, 100, 37.090000, 400, 2.520000, 0.910000
-1704830732, 37.130001, 37.099998, 5100, 37.189999, 200, 2.630000, 0.950000
-1704828760, 37.154999, 37.009998, 600, 37.189999, 200, 2.690000, 0.975000
-1704826761, 37.189999, 37.009998, 600, 37.200001, 800, 2.790000, 1.010000
-1704824748, 37.180000, 37.009998, 600, 37.200001, 800, 2.760000, 1.000000
-1704822755, 37.110001, 37.099998, 200, 37.150002, 100, 2.570000, 0.930000
-1704820764, 37.075001, 37.049999, 1000, 37.200001, 5100, 2.470000, 0.895000
-1704818758, 37.116699, 37.029999, 100, 37.180000, 100, 2.590000, 0.936700
-1704816744, 37.020000, 37.009998, 2100, 37.180000, 100, 2.320000, 0.840000
-1704814757, 37.009998, 37.009998, 2100, 37.180000, 300, 2.290000, 0.830000
-1704812756, 37.109001, 37.049999, 3100, 37.110001, 100, 2.570000, 0.929000
-1704810748, 37.180000, 37.099998, 2000, 37.139999, 100, 2.760000, 1.000000
-1704808717, 37.196602, 37.139999, 1000, 37.200001, 5300, 2.810000, 1.016600
-1704806757, 37.200001, 37.139999, 1000, 37.200001, 5200, 2.820000, 1.020000
-1704804746, 37.200001, 37.139999, 1000, 37.200001, 5200, 2.820000, 1.020000
-1704802735, 37.200001, 37.139999, 1000, 37.200001, 5200, 2.820000, 1.020000
-1704800737, 37.150002, 37.150002, 9600, 37.200001, 5200, 2.680000, 0.970000
-1704798740, 37.174999, 37.150002, 9600, 37.209999, 100, 2.750000, 0.995000
-1704796753, 37.200100, 37.200001, 4800, 37.320000, 100, 2.820000, 1.020100
-1704794741, 37.220001, 37.220001, 2500, 37.279999, 100, 2.870000, 1.040000
-1704792749, 37.230000, 37.220001, 2700, 37.320000, 100, 2.900000, 1.050000
-1704790747, 37.200001, 37.139999, 1000, 37.200001, 1900, 2.820000, 1.020000
-1704788711, 37.009998, 37.009998, 500, 37.169998, 100, 2.290000, 0.830000
-1704787213, 37.080002, 37.000000, 6200, 37.160000, 100, 2.490000, 0.900000
-1704784728, 36.849998, 36.790001, 100, 36.900002, 2700, 1.850000, 0.670000
-1704782743, 36.900002, 36.849998, 1000, 36.900002, 1600, 1.990000, 0.720000
-1704780747, 37.150002, 37.000000, 400, 37.150002, 100, 2.680000, 0.970000
-1704778734, 37.000000, 37.009998, 600, 37.150002, 100, 2.270000, 0.820000
-1704776752, 37.139999, 37.009998, 600, 37.139999, 100, 2.650000, 0.960000
-1704774739, 37.083500, 37.009998, 600, 37.099998, 6800, 2.500000, 0.903500
-1704772739, 36.880001, 36.889999, 100, 37.090000, 100, 1.930000, 0.700000
-1704770737, 37.070000, 36.880001, 500, 37.080002, 2500, 2.460000, 0.890000
-1704768733, 37.070000, 36.880001, 500, 37.080002, 2600, 2.460000, 0.890000
-1704766733, 37.070000, 36.880001, 500, 37.070000, 100, 2.460000, 0.890000
-1704764739, 37.070000, 36.880001, 500, 37.070000, 100, 2.460000, 0.890000
-1704762691, 36.950001, 36.950001, 100, 37.060001, 300, 2.130000, 0.770000
-1704760713, 36.950001, 36.830002, 1500, 36.950001, 100, 2.130000, 0.770000
-1704758731, 36.991001, 36.830002, 1500, 37.000000, 400, 2.240000, 0.811000
-1704756727, 36.991001, 36.830002, 1500, 37.000000, 400, 2.240000, 0.811000
-1704754713, 36.991001, 36.830002, 1500, 37.000000, 400, 2.240000, 0.811000
-1704752736, 36.991001, 36.840000, 100, 37.000000, 400, 2.240000, 0.811000
-1704750720, 37.080002, 36.880001, 100, 37.080002, 100, 2.490000, 0.900000
-1704748665, 37.001099, 37.000000, 500, 37.080002, 100, 2.270000, 0.821100
-1704746724, 37.160000, 37.040001, 2000, 37.189999, 200, 2.710000, 0.980000
-1704744715, 37.160000, 37.040001, 2000, 37.189999, 200, 2.710000, 0.980000
