time,price,bid,bidQty,offer,offerQty,percent,change
-1704890380, 11.629900, 11.620000, 46100, 11.630000, 5900, -9.140000, -1.170100
-1704888903, 11.624500, 11.620000, 46100, 11.630000, 5900, -9.180000, -1.175500
-1704886907, 11.624800, 11.620000, 46100, 11.630000, 5900, -9.180000, -1.175200
-1704884899, 11.624800, 11.620000, 46300, 11.630000, 5900, -9.180000, -1.175200
-1704882906, 11.624800, 11.620000, 46300, 11.630000, 9000, -9.180000, -1.175200
-1704880902, 11.620000, 11.620000, 46200, 11.630000, 9200, -9.220000, -1.180000
-1704878902, 11.620100, 11.620000, 46200, 11.630000, 9200, -9.220000, -1.179900
-1704876901, 11.625800, 11.620000, 46200, 11.630000, 9200, -9.170000, -1.174200
-1704874905, 11.620100, 11.620000, 46200, 11.630000, 6200, -9.220000, -1.179900
-1704872898, 11.625000, 11.620000, 46200, 11.630000, 9000, -9.180000, -1.175000
-1704870898, 11.620100, 11.620000, 46200, 11.630000, 6900, -9.220000, -1.179900
-1704868904, 11.640000, 11.640000, 200, 11.650000, 900, -9.060000, -1.160000
-1704866907, 11.630100, 11.630000, 400, 11.640000, 3700, -9.140000, -1.169900
-1704864896, 11.622500, 11.620000, 46900, 11.630000, 500, -9.200000, -1.177500
-1704862872, 11.625000, 11.620000, 47100, 11.630000, 800, -9.180000, -1.175000
-1704860896, 11.622500, 11.620000, 47300, 11.640000, 3300, -9.200000, -1.177500
-1704858883, 11.630000, 11.620000, 47100, 11.630000, 300, -9.140000, -1.170000
-1704857348, 11.620000, 11.620000, 31000, 11.630000, 6500, -9.220000, -1.180000
-1704855384, 11.621100, 11.620000, 31100, 11.630000, 600, -9.210000, -1.178900
-1704852888, 11.620000, 11.620000, 30900, 11.630000, 400, -9.220000, -1.180000
-1704850885, 11.630000, 11.620000, 30900, 11.630000, 400, -9.140000, -1.170000
-1704849378, 11.630000, 11.620000, 30900, 11.630000, 1000, -9.140000, -1.170000
-1704847884, 11.620100, 11.620000, 30900, 11.630000, 1000, -9.220000, -1.179900
-1704844876, 11.620000, 11.620000, 5700, 11.630000, 3200, -9.220000, -1.180000
-1704843384, 11.625000, 11.620000, 4100, 11.630000, 2700, -9.180000, -1.175000
-1704840963, 11.620000, 11.620000, 3900, 11.630000, 2200, -9.220000, -1.180000
-1704839457, 11.620000, 11.620000, 3900, 11.630000, 1700, -9.220000, -1.180000
-1704836961, 11.620000, 11.620000, 3900, 11.630000, 1400, -9.220000, -1.180000
-1704834958, 11.620000, 11.620000, 3900, 11.630000, 1400, -9.220000, -1.180000
-1704832927, 11.620000, 11.620000, 4200, 11.630000, 1800, -9.220000, -1.180000
-1704830931, 11.630000, 11.620000, 5900, 11.630000, 300, -9.140000, -1.170000
-1704828956, 11.622500, 11.620000, 5300, 11.630000, 1300, -9.200000, -1.177500
-1704827457, 11.630000, 11.620000, 5400, 11.630000, 800, -9.140000, -1.170000
-1704825452, 11.628000, 11.620000, 5300, 11.630000, 200, -9.160000, -1.172000
-1704822954, 11.620000, 11.620000, 2600, 11.630000, 11500, -9.220000, -1.180000
-1704820953, 11.629900, 11.620000, 2600, 11.630000, 11200, -9.140000, -1.170100
-1704818955, 11.629900, 11.620000, 2600, 11.630000, 11200, -9.140000, -1.170100
-1704816937, 11.620000, 11.620000, 1400, 11.630000, 11200, -9.220000, -1.180000
-1704814954, 11.578500, 11.570000, 5300, 11.580000, 300, -9.540000, -1.221500
-1704812948, 11.579000, 11.570000, 5000, 11.580000, 21900, -9.540000, -1.221000
-1704810950, 11.563300, 11.560000, 1300, 11.570000, 900, -9.660000, -1.236700
-1704808943, 11.560000, 11.550000, 21100, 11.560000, 500, -9.690000, -1.240000
-1704806949, 11.554300, 11.550000, 20900, 11.560000, 2200, -9.730000, -1.245700
-1704804949, 11.560000, 11.550000, 18900, 11.560000, 8600, -9.690000, -1.240000
-1704802910, 11.550000, 11.550000, 15400, 11.560000, 8600, -9.770000, -1.250000
-1704800941, 11.550000, 11.550000, 14900, 11.560000, 8600, -9.770000, -1.250000
-1704799947, 11.550000, 11.550000, 12900, 11.560000, 8600, -9.770000, -1.250000
-1704796906, 11.550000, 11.550000, 12300, 11.560000, 8600, -9.770000, -1.250000
-1704794946, 11.550000, 11.550000, 12300, 11.560000, 8800, -9.770000, -1.250000
-1704792946, 11.550000, 11.550000, 12600, 11.560000, 8700, -9.770000, -1.250000
-1704790917, 11.550000, 11.550000, 11800, 11.560000, 8700, -9.770000, -1.250000
-1704788937, 11.555000, 11.550000, 11800, 11.560000, 10000, -9.730000, -1.245000
-1704786897, 11.554800, 11.550000, 11800, 11.560000, 10000, -9.730000, -1.245200
-1704784934, 11.550000, 11.550000, 10600, 11.560000, 6700, -9.770000, -1.250000
-1704782941, 11.550000, 11.550000, 5200, 11.560000, 9700, -9.770000, -1.250000
-1704780944, 11.553500, 11.550000, 400, 11.560000, 5600, -9.740000, -1.246500
-1704778925, 11.570000, 11.560000, 400, 11.570000, 700, -9.610000, -1.230000
-1704776887, 11.564100, 11.560000, 300, 11.570000, 700, -9.660000, -1.235900
-1704774935, 11.550000, 11.550000, 400, 11.560000, 2800, -9.770000, -1.250000
-1704772937, 11.550000, 11.550000, 100, 11.560000, 3100, -9.770000, -1.250000
-1704770933, 11.570000, 11.550000, 1300, 11.560000, 200, -9.610000, -1.230000
-1704768938, 11.550000, 11.550000, 100, 11.550000, 300, -9.770000, -1.250000
-1704768431, 11.550000, 11.550000, 100, 11.560000, 6000, -9.770000, -1.250000
-1704764930, 11.548700, 11.540000, 9700, 11.550000, 400, -9.780000, -1.251300
-1704762924, 11.548400, 11.540000, 9700, 11.550000, 1200, -9.780000, -1.251600
-1704761422, 11.540000, 11.540000, 8700, 11.560000, 5600, -9.840000, -1.260000
-1704758932, 11.540100, 11.540000, 8700, 11.550000, 100, -9.840000, -1.259900
-1704756894, 11.540100, 11.540000, 8700, 11.550000, 300, -9.840000, -1.259900
-1704754930, 11.544500, 11.540000, 5200, 11.550000, 2500, -9.810000, -1.255500
-1704752939, 11.540700, 11.540000, 5200, 11.550000, 1600, -9.840000, -1.259300
-1704750889, 11.540100, 11.540000, 5200, 11.550000, 1600, -9.840000, -1.259900
-1704748924, 11.545000, 11.540000, 2500, 11.550000, 6800, -9.800000, -1.255000
-1704746877, 11.530000, 11.530000, 100, 11.540000, 8500, -9.920000, -1.270000
-1704744930, 11.520000, 11.520000, 8300, 11.530000, 1800, -10.000000, -1.280000
-1704742921, 11.520200, 11.520000, 8300, 11.530000, 200, -10.000000, -1.279800
-1704740929, 11.530000, 11.520000, 8100, 11.530000, 200, -9.920000, -1.270000
-1704739923, 11.521000, 11.520000, 8000, 11.530000, 300, -9.990000, -1.279000
-1704736920, 11.520100, 11.520000, 8200, 11.530000, 400, -10.000000, -1.279900
-1704734928, 11.520100, 11.520000, 8200, 11.530000, 400, -10.000000, -1.279900
-1704733402, 11.523800, 11.520000, 8200, 11.530000, 400, -9.970000, -1.276200
-1704730923, 11.510000, 11.510000, 10400, 11.520000, 1900, -10.080000, -1.290000
-1704728921, 11.510000, 11.510000, 7800, 11.520000, 1600, -10.080000, -1.290000
-1704727424, 11.510100, 11.510000, 7800, 11.520000, 1500, -10.080000, -1.289900
-1704724913, 11.515000, 11.510000, 7800, 11.520000, 2600, -10.040000, -1.285000
-1704722923, 11.510100, 11.510000, 7600, 11.520000, 9600, -10.080000, -1.289900
-1704721417, 11.515000, 11.510000, 7600, 11.520000, 6500, -10.040000, -1.285000
-1704718910, 11.510100, 11.510000, 7700, 11.520000, 7100, -10.080000, -1.289900
-1704717417, 11.510000, 11.500000, 62000, 11.510000, 1500, -10.080000, -1.290000
-1704714897, 11.505000, 11.500000, 61700, 11.510000, 2000, -10.120000, -1.295000
-1704712914, 11.500100, 11.500000, 61700, 11.510000, 3000, -10.160000, -1.299900
-1704710915, 11.510000, 11.500000, 61700, 11.510000, 2500, -10.080000, -1.290000
-1704708917, 11.510000, 11.510000, 8300, 11.520000, 25300, -10.080000, -1.290000
-1704706907, 11.510100, 11.510000, 8500, 11.520000, 25300, -10.080000, -1.289900
-1704705373, 11.514500, 11.510000, 8300, 11.520000, 26500, -10.040000, -1.285500
-1704703402, 11.520000, 11.510000, 8400, 11.520000, 22600, -10.000000, -1.280000
-1704700868, 11.510100, 11.510000, 8400, 11.520000, 22500, -10.080000, -1.289900
-1704698898, 11.510100, 11.510000, 8400, 11.520000, 23700, -10.080000, -1.289900
-1704696906, 11.518700, 11.510000, 7800, 11.520000, 24600, -10.010000, -1.281300
-1704694908, 11.515200, 11.510000, 7800, 11.520000, 24000, -10.040000, -1.284800
-1704693403, 11.510100, 11.510000, 2500, 11.520000, 24800, -10.080000, -1.289900
-1704690898, 11.517000, 11.510000, 2500, 11.520000, 24800, -10.020000, -1.283000
-1704688903, 11.515000, 11.510000, 2300, 11.520000, 24600, -10.040000, -1.285000
-1704686886, 11.530000, 11.520000, 2900, 11.530000, 100, -9.920000, -1.270000
-1704684900, 11.532100, 11.520000, 3900, 11.540000, 3600, -9.910000, -1.267900
-1704682910, 11.539800, 11.530000, 300, 11.540000, 5600, -9.850000, -1.260200
-1704680903, 11.540000, 11.530000, 1800, 11.540000, 2700, -9.840000, -1.260000
-1704678904, 11.548000, 11.540000, 300, 11.550000, 2100, -9.780000, -1.252000
-1704676907, 11.542500, 11.540000, 300, 11.550000, 1700, -9.820000, -1.257500
