time,price,bid,bidQty,offer,offerQty,percent,change
-1704891362, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704888985, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704886984, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704884981, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704883477, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704880924, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704879468, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704877478, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704874945, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704872977, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704870974, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704868975, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704867473, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704864972, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704862936, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704860968, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704858967, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704856933, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704855466, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704852937, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704851460, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704849465, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704846965, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704844924, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704842963, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704840959, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704838960, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704836959, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704835459, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704832960, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704830955, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704829955, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704826954, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704824959, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704822903, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704820929, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704818952, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704816958, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704814950, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704812952, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
-1704811413, 7.430000, 7.430000, 100, 7.440000, 100, -0.400000, -0.030000
