time,price,bid,bidQty,offer,offerQty,percent,change
-1704890762, 6.500000, 6.480000, 100, 6.640000, 100, -2.260000, -0.150000
-1704888800, 6.500000, 6.480000, 100, 6.640000, 100, -2.260000, -0.150000
-1704886792, 6.500000, 6.480000, 100, 6.640000, 100, -2.260000, -0.150000
-1704884787, 6.500000, 6.480000, 100, 6.640000, 100, -2.260000, -0.150000
-1704882789, 6.500000, 6.480000, 100, 6.640000, 100, -2.260000, -0.150000
-1704880794, 6.500000, 6.480000, 100, 6.640000, 100, -2.260000, -0.150000
-1704879273, 6.500000, 6.480000, 100, 6.640000, 100, -2.260000, -0.150000
-1704876749, 6.500000, 6.480000, 100, 6.640000, 100, -2.260000, -0.150000
-1704874771, 6.500000, 6.480000, 100, 6.620000, 100, -2.260000, -0.150000
-1704872784, 6.500000, 6.480000, 100, 6.620000, 100, -2.260000, -0.150000
-1704871288, 6.500000, 6.480000, 100, 6.620000, 100, -2.260000, -0.150000
-1704868787, 6.500000, 6.480000, 100, 6.620000, 100, -2.260000, -0.150000
-1704866783, 6.500000, 6.480000, 100, 6.620000, 100, -2.260000, -0.150000
-1704864783, 6.500000, 6.480000, 100, 6.620000, 100, -2.260000, -0.150000
-1704862761, 6.500000, 6.480000, 100, 6.620000, 100, -2.260000, -0.150000
-1704860781, 6.500000, 6.480000, 100, 6.620000, 100, -2.260000, -0.150000
-1704858784, 6.500000, 6.480000, 100, 6.620000, 100, -2.260000, -0.150000
-1704856773, 6.500000, 6.480000, 100, 6.620000, 100, -2.260000, -0.150000
-1704854773, 6.500000, 6.480000, 100, 6.620000, 100, -2.260000, -0.150000
-1704852777, 6.500000, 6.480000, 100, 6.620000, 100, -2.260000, -0.150000
-1704850770, 6.500000, 6.480000, 100, 6.620000, 100, -2.260000, -0.150000
-1704848731, 6.500000, 6.480000, 100, 6.640000, 100, -2.260000, -0.150000
-1704846744, 6.500000, 6.480000, 100, 6.640000, 100, -2.260000, -0.150000
-1704844772, 6.500000, 6.480000, 100, 6.640000, 100, -2.260000, -0.150000
-1704842744, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704840759, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704838772, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704836777, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704834764, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704832769, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704830732, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704828760, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704826761, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704824748, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704822756, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704820764, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704818758, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704816744, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704814758, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704812756, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704810749, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704808717, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704806757, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704804746, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704802735, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704800737, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704798740, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704796754, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704794741, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704792749, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704790747, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704788712, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704787213, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704784728, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704782743, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
-1704780747, 6.620000, 6.480000, 100, 6.640000, 100, -0.450000, -0.030000
