time,price,bid,bidQty,offer,offerQty,percent,change
-1704891213, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704888696, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704887211, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704884702, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704882712, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704880670, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704878709, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704876703, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704874657, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704872697, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704871207, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704868671, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704866689, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704864698, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704863696, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704860695, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704858703, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704857199, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704854694, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704852691, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704850694, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704848677, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704846692, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704844686, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704842697, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704840690, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704838680, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704836686, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704835176, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704832687, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704830690, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704828699, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704826684, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704824690, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704822687, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704820684, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704818672, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704816677, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704814676, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704812683, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704810676, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704808679, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
-1704806673, 3.210000, 3.200000, 1600, 3.220000, 300, -1.230000, -0.040000
