time,price,bid,bidQty,offer,offerQty,percent,change
-1704890414, 9.620000, 9.610000, 100, 9.630000, 100, -4.180000, -0.420000
-1704888911, 9.620000, 9.610000, 100, 9.630000, 100, -4.180000, -0.420000
-1704886903, 9.620000, 9.610000, 100, 9.630000, 100, -4.180000, -0.420000
-1704884878, 9.620000, 9.610000, 100, 9.630000, 100, -4.180000, -0.420000
-1704882878, 9.620000, 9.610000, 100, 9.630000, 100, -4.180000, -0.420000
-1704880903, 9.620000, 9.610000, 100, 9.630000, 100, -4.180000, -0.420000
-1704878913, 9.620000, 9.610000, 100, 9.630000, 100, -4.180000, -0.420000
-1704876898, 9.620000, 9.610000, 100, 9.630000, 100, -4.180000, -0.420000
-1704874901, 9.620000, 9.610000, 100, 9.640000, 100, -4.180000, -0.420000
-1704872897, 9.620000, 9.610000, 100, 9.640000, 100, -4.180000, -0.420000
-1704870891, 9.620000, 9.610000, 100, 9.640000, 100, -4.180000, -0.420000
-1704869361, 9.620000, 9.610000, 200, 9.640000, 200, -4.180000, -0.420000
-1704866910, 9.620000, 9.610000, 200, 9.640000, 100, -4.180000, -0.420000
-1704864891, 9.620000, 9.610000, 200, 9.640000, 100, -4.180000, -0.420000
-1704862899, 9.620000, 9.610000, 200, 9.640000, 100, -4.180000, -0.420000
-1704860894, 9.620000, 9.610000, 200, 9.640000, 100, -4.180000, -0.420000
-1704858919, 9.610100, 9.610000, 200, 9.640000, 100, -4.280000, -0.429900
-1704856881, 9.610100, 9.610000, 100, 9.640000, 100, -4.280000, -0.429900
-1704854881, 9.610100, 9.610000, 100, 9.640000, 100, -4.280000, -0.429900
-1704852892, 9.610100, 9.610000, 100, 9.640000, 100, -4.280000, -0.429900
-1704850889, 9.610100, 9.610000, 100, 9.640000, 100, -4.280000, -0.429900
-1704848894, 9.610100, 9.610000, 100, 9.640000, 100, -4.280000, -0.429900
-1704846882, 9.640000, 9.610000, 200, 9.640000, 100, -3.980000, -0.400000
-1704844892, 9.640000, 9.610000, 200, 9.640000, 100, -3.980000, -0.400000
-1704842874, 9.640000, 9.620000, 300, 9.660000, 200, -3.980000, -0.400000
-1704841871, 9.640000, 9.620000, 300, 9.660000, 200, -3.980000, -0.400000
-1704838881, 9.640000, 9.620000, 300, 9.660000, 200, -3.980000, -0.400000
-1704836872, 9.640000, 9.620000, 300, 9.660000, 200, -3.980000, -0.400000
-1704834882, 9.640000, 9.620000, 300, 9.660000, 200, -3.980000, -0.400000
-1704832879, 9.640000, 9.620000, 300, 9.660000, 200, -3.980000, -0.400000
-1704830873, 9.640000, 9.620000, 300, 9.660000, 200, -3.980000, -0.400000
-1704828854, 9.640000, 9.620000, 300, 9.660000, 200, -3.980000, -0.400000
-1704826873, 9.660000, 9.620000, 300, 9.660000, 100, -3.780000, -0.380000
-1704824758, 9.660000, 9.630000, 100, 9.660000, 100, -3.780000, -0.380000
-1704822864, 9.660000, 9.630000, 100, 9.660000, 100, -3.780000, -0.380000
-1704820834, 9.660000, 9.630000, 100, 9.660000, 100, -3.780000, -0.380000
-1704818871, 9.660000, 9.630000, 200, 9.660000, 100, -3.780000, -0.380000
-1704816887, 9.660000, 9.630000, 200, 9.660000, 100, -3.780000, -0.380000
-1704814879, 9.647000, 9.630000, 200, 9.660000, 100, -3.910000, -0.393000
-1704813358, 9.636000, 9.630000, 200, 9.660000, 200, -4.020000, -0.404000
-1704810873, 9.636000, 9.630000, 200, 9.660000, 200, -4.020000, -0.404000
-1704808864, 9.636000, 9.640000, 200, 9.660000, 300, -4.020000, -0.404000
-1704806873, 9.650000, 9.640000, 100, 9.650000, 100, -3.880000, -0.390000
-1704804853, 9.640000, 9.640000, 100, 9.650000, 100, -3.980000, -0.400000
-1704802864, 9.640000, 9.640000, 100, 9.650000, 100, -3.980000, -0.400000
-1704800864, 9.640000, 9.640000, 100, 9.650000, 100, -3.980000, -0.400000
-1704799354, 9.640000, 9.640000, 100, 9.650000, 100, -3.980000, -0.400000
-1704796852, 9.640000, 9.640000, 100, 9.650000, 100, -3.980000, -0.400000
-1704794860, 9.640000, 9.640000, 100, 9.650000, 100, -3.980000, -0.400000
-1704792861, 9.640000, 9.640000, 200, 9.650000, 100, -3.980000, -0.400000
-1704790859, 9.640000, 9.640000, 200, 9.650000, 100, -3.980000, -0.400000
-1704788867, 9.650000, 9.640000, 200, 9.650000, 100, -3.880000, -0.390000
-1704786857, 9.650000, 9.640000, 200, 9.650000, 100, -3.880000, -0.390000
-1704784849, 9.650000, 9.640000, 100, 9.650000, 100, -3.880000, -0.390000
-1704782858, 9.650000, 9.640000, 100, 9.650000, 100, -3.880000, -0.390000
-1704780821, 9.650000, 9.640000, 100, 9.660000, 200, -3.880000, -0.390000
-1704778869, 9.650000, 9.640000, 100, 9.660000, 200, -3.880000, -0.390000
-1704776849, 9.650000, 9.640000, 100, 9.660000, 100, -3.880000, -0.390000
-1704774853, 9.650000, 9.640000, 100, 9.660000, 100, -3.880000, -0.390000
-1704772858, 9.650000, 9.640000, 100, 9.660000, 100, -3.880000, -0.390000
-1704770792, 9.650000, 9.640000, 100, 9.660000, 100, -3.880000, -0.390000
-1704768855, 9.650000, 9.640000, 100, 9.660000, 100, -3.880000, -0.390000
-1704766787, 9.650000, 9.640000, 200, 9.660000, 100, -3.880000, -0.390000
-1704764852, 9.660000, 9.650000, 100, 9.660000, 100, -3.780000, -0.380000
-1704762851, 9.660000, 9.650000, 300, 9.660000, 100, -3.780000, -0.380000
-1704760860, 9.660000, 9.650000, 300, 9.660000, 100, -3.780000, -0.380000
-1704758844, 9.660000, 9.650000, 300, 9.660000, 100, -3.780000, -0.380000
-1704756857, 9.660000, 9.650000, 300, 9.660000, 200, -3.780000, -0.380000
-1704754846, 9.660000, 9.650000, 300, 9.660000, 200, -3.780000, -0.380000
-1704752811, 9.660000, 9.650000, 300, 9.660000, 200, -3.780000, -0.380000
-1704750842, 9.640000, 9.640000, 100, 9.650000, 200, -3.980000, -0.400000
-1704749345, 9.640000, 9.640000, 100, 9.650000, 200, -3.980000, -0.400000
-1704747336, 9.640000, 9.640000, 100, 9.650000, 100, -3.980000, -0.400000
-1704744935, 9.640000, 9.640000, 100, 9.650000, 100, -3.980000, -0.400000
-1704743433, 9.640000, 9.640000, 100, 9.650000, 100, -3.980000, -0.400000
-1704740935, 9.640000, 9.640000, 100, 9.650000, 100, -3.980000, -0.400000
-1704738931, 9.640000, 9.640000, 100, 9.650000, 100, -3.980000, -0.400000
-1704736934, 9.640000, 9.640000, 100, 9.650000, 100, -3.980000, -0.400000
-1704734887, 9.640000, 9.640000, 100, 9.650000, 100, -3.980000, -0.400000
-1704732930, 9.640000, 9.640000, 200, 9.650000, 100, -3.980000, -0.400000
-1704731391, 9.640000, 9.640000, 200, 9.650000, 100, -3.980000, -0.400000
-1704728924, 9.640000, 9.640000, 200, 9.650000, 200, -3.980000, -0.400000
-1704726928, 9.640000, 9.640000, 200, 9.650000, 200, -3.980000, -0.400000
-1704724901, 9.640000, 9.620000, 200, 9.640000, 100, -3.980000, -0.400000
-1704722928, 9.640000, 9.620000, 200, 9.650000, 100, -3.980000, -0.400000
-1704720921, 9.640000, 9.620000, 200, 9.650000, 100, -3.980000, -0.400000
-1704718925, 9.640000, 9.620000, 200, 9.650000, 100, -3.980000, -0.400000
-1704716923, 9.640000, 9.620000, 200, 9.640000, 100, -3.980000, -0.400000
-1704714925, 9.640000, 9.620000, 100, 9.640000, 100, -3.980000, -0.400000
-1704712922, 9.640000, 9.620000, 100, 9.640000, 100, -3.980000, -0.400000
-1704710885, 9.640000, 9.620000, 100, 9.640000, 100, -3.980000, -0.400000
-1704708900, 9.640000, 9.620000, 100, 9.640000, 100, -3.980000, -0.400000
-1704706909, 9.640000, 9.620000, 100, 9.640000, 100, -3.980000, -0.400000
-1704704921, 9.640000, 9.620000, 100, 9.640000, 100, -3.980000, -0.400000
-1704702910, 9.640000, 9.630000, 200, 9.650000, 100, -3.980000, -0.400000
-1704700913, 9.640000, 9.630000, 200, 9.650000, 100, -3.980000, -0.400000
-1704698901, 9.640000, 9.630000, 200, 9.650000, 200, -3.980000, -0.400000
-1704696903, 9.640000, 9.630000, 200, 9.650000, 200, -3.980000, -0.400000
-1704694900, 9.640000, 9.630000, 200, 9.650000, 200, -3.980000, -0.400000
-1704692903, 9.640000, 9.630000, 200, 9.650000, 400, -3.980000, -0.400000
-1704690905, 9.640000, 9.630000, 200, 9.650000, 400, -3.980000, -0.400000
-1704688916, 9.640000, 9.630000, 200, 9.640000, 100, -3.980000, -0.400000
-1704687408, 9.640000, 9.630000, 200, 9.640000, 100, -3.980000, -0.400000
-1704684891, 9.640000, 9.630000, 100, 9.650000, 100, -3.980000, -0.400000
-1704682810, 9.640000, 9.630000, 100, 9.650000, 100, -3.980000, -0.400000
-1704680906, 9.640000, 9.620000, 200, 9.650000, 100, -3.980000, -0.400000
-1704678853, 9.640000, 9.620000, 200, 9.650000, 100, -3.980000, -0.400000
-1704676903, 9.640000, 9.620000, 300, 9.650000, 100, -3.980000, -0.400000
-1704674851, 9.640000, 9.620000, 300, 9.650000, 100, -3.980000, -0.400000
-1704672899, 9.635000, 9.620000, 200, 9.650000, 100, -4.030000, -0.405000
-1704671393, 9.635000, 9.620000, 200, 9.650000, 100, -4.030000, -0.405000
-1704669398, 9.635000, 9.620000, 300, 9.650000, 100, -4.030000, -0.405000
-1704666830, 9.635000, 9.620000, 300, 9.650000, 100, -4.030000, -0.405000
-1704664903, 9.650000, 9.620000, 300, 9.650000, 100, -3.880000, -0.390000
-1704662894, 9.650000, 9.620000, 300, 9.650000, 100, -3.880000, -0.390000
-1704660888, 9.650000, 9.630000, 300, 9.660000, 100, -3.880000, -0.390000
-1704658837, 9.650000, 9.630000, 300, 9.660000, 100, -3.880000, -0.390000
-1704656892, 9.650000, 9.630000, 300, 9.660000, 100, -3.880000, -0.390000
-1704654871, 9.650000, 9.630000, 300, 9.660000, 100, -3.880000, -0.390000
-1704652887, 9.650000, 9.630000, 300, 9.660000, 100, -3.880000, -0.390000
-1704650844, 9.650000, 9.630000, 300, 9.660000, 100, -3.880000, -0.390000
-1704648893, 9.650000, 9.630000, 300, 9.660000, 100, -3.880000, -0.390000
