time,price,bid,bidQty,offer,offerQty,percent,change
-1704890707, 2.850000, 2.830000, 200, 2.870000, 400, -3.060000, -0.090000
-1704888692, 2.850000, 2.830000, 200, 2.870000, 400, -3.060000, -0.090000
-1704886665, 2.850000, 2.830000, 200, 2.870000, 400, -3.060000, -0.090000
-1704884697, 2.850000, 2.830000, 200, 2.870000, 400, -3.060000, -0.090000
-1704882701, 2.850000, 2.830000, 200, 2.870000, 400, -3.060000, -0.090000
-1704880671, 2.850000, 2.830000, 200, 2.870000, 400, -3.060000, -0.090000
-1704879203, 2.850000, 2.830000, 200, 2.870000, 400, -3.060000, -0.090000
-1704876700, 2.850000, 2.830000, 200, 2.870000, 400, -3.060000, -0.090000
-1704874658, 2.850000, 2.830000, 200, 2.870000, 400, -3.060000, -0.090000
-1704872687, 2.850000, 2.830000, 200, 2.870000, 400, -3.060000, -0.090000
-1704871187, 2.850000, 2.830000, 200, 2.870000, 400, -3.060000, -0.090000
-1704868662, 2.850000, 2.830000, 200, 2.870000, 400, -3.060000, -0.090000
-1704866701, 2.850000, 2.830000, 200, 2.870000, 400, -3.060000, -0.090000
-1704864691, 2.850000, 2.830000, 200, 2.870000, 400, -3.060000, -0.090000
-1704862687, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704860693, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704859668, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704856689, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704854690, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704852692, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704851190, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704848653, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704846685, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704844676, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704842684, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704840672, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704838691, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704836676, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704835180, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704832654, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704830676, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704828666, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704826676, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704824680, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704822676, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704820675, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704818663, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704816634, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704814673, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704812662, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704810670, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704808671, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704806665, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704804627, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704803131, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704800655, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704798628, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704796663, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704794669, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704792658, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704791669, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704788619, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704786659, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704784652, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704782663, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704780660, 2.830000, 2.830000, 200, 2.870000, 300, -3.740000, -0.110000
-1704778661, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704776653, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704774651, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704772631, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704770658, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704768618, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704766654, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704764650, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704762652, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704760657, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704758620, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704756649, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704754654, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704752641, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704750649, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704748638, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704747125, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704744647, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704742647, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704741092, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704738642, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704736643, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704734643, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704732594, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704730644, 2.830000, 2.830000, 200, 2.870000, 400, -3.740000, -0.110000
-1704728601, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704727144, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
-1704724627, 2.830000, 2.830000, 300, 2.870000, 400, -3.740000, -0.110000
