time,price,bid,bidQty,offer,offerQty,percent,change
-1704890766, 0.572400, 0.570400, 800, 0.574300, 200, -0.450000, -0.002600
-1704888794, 0.572400, 0.570400, 800, 0.574300, 200, -0.450000, -0.002600
-1704886783, 0.572400, 0.570400, 800, 0.574300, 200, -0.450000, -0.002600
-1704884795, 0.572300, 0.570400, 800, 0.573900, 200, -0.470000, -0.002700
-1704882792, 0.572300, 0.570400, 800, 0.572100, 100, -0.470000, -0.002700
-1704880791, 0.572300, 0.570400, 800, 0.572100, 100, -0.470000, -0.002700
-1704878792, 0.571200, 0.570400, 800, 0.572100, 100, -0.660000, -0.003800
-1704876752, 0.571200, 0.570400, 800, 0.572100, 100, -0.660000, -0.003800
-1704874741, 0.570400, 0.570400, 800, 0.572100, 100, -0.800000, -0.004600
-1704872786, 0.570400, 0.570400, 800, 0.573900, 200, -0.800000, -0.004600
-1704870780, 0.570500, 0.570400, 800, 0.573500, 200, -0.780000, -0.004500
-1704868783, 0.570500, 0.570400, 800, 0.573500, 200, -0.780000, -0.004500
-1704866783, 0.570500, 0.570400, 800, 0.573500, 200, -0.780000, -0.004500
-1704864781, 0.571900, 0.570400, 800, 0.573100, 200, -0.540000, -0.003100
-1704862712, 0.571900, 0.570400, 800, 0.573100, 200, -0.540000, -0.003100
-1704860775, 0.571900, 0.570400, 800, 0.573100, 200, -0.540000, -0.003100
-1704858779, 0.571900, 0.570400, 800, 0.573100, 200, -0.540000, -0.003100
-1704856774, 0.571900, 0.570400, 800, 0.573100, 200, -0.540000, -0.003100
-1704854778, 0.571900, 0.570400, 800, 0.573100, 200, -0.540000, -0.003100
-1704852773, 0.571900, 0.570400, 800, 0.572700, 200, -0.540000, -0.003100
-1704850787, 0.571900, 0.570400, 800, 0.572700, 200, -0.540000, -0.003100
-1704848748, 0.571900, 0.570400, 800, 0.572700, 200, -0.540000, -0.003100
-1704846762, 0.571900, 0.570400, 800, 0.572700, 200, -0.540000, -0.003100
-1704844769, 0.571500, 0.570400, 800, 0.572300, 200, -0.610000, -0.003500
-1704842734, 0.571500, 0.570400, 800, 0.572300, 200, -0.610000, -0.003500
-1704840788, 0.571500, 0.570400, 800, 0.572300, 200, -0.610000, -0.003500
-1704838767, 0.571900, 0.570400, 800, 0.571900, 200, -0.540000, -0.003100
-1704836756, 0.571900, 0.570400, 800, 0.571900, 200, -0.540000, -0.003100
-1704834755, 0.571900, 0.570400, 800, 0.571900, 200, -0.540000, -0.003100
