time,price,bid,bidQty,offer,offerQty,percent,change
-1704888696, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704886668, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704884699, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704882704, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704880674, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704878706, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704876702, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704874661, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704872689, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704870696, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704868664, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704866704, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704864693, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704862689, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704860695, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704859670, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704857191, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704854692, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704852694, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704850686, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704848655, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704847182, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704844678, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704842686, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704840674, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704838693, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704836678, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704835181, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704832656, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704830678, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704828668, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704826678, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704824682, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704822678, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704820677, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704818665, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704816635, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704814675, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704812664, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704810672, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704808673, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704806666, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704804629, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704802619, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704800657, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704798630, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704796665, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704794671, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704792660, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704790649, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704788621, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704786661, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704784654, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704782664, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704780662, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704778663, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704776654, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704774653, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704772633, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704770660, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704768619, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704766656, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704764652, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704762654, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704760658, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704758622, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704756650, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704754656, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704752643, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704750651, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704748641, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704746658, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704744648, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704743150, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704740639, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704738643, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704736644, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704734645, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704732597, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704730645, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704728603, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704726638, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704724629, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704722632, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704720615, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704718613, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704716631, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704714628, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704712627, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704710628, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704708640, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704706631, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704704587, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704702622, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704700564, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704698626, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704696717, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704694716, 1.760000, 1.730000, 100, 1.760000, 400, 4.140000, 0.070000
-1704692719, 1.730100, 1.710000, 100, 1.760000, 400, 2.370000, 0.040100
-1704690716, 1.730100, 1.710000, 100, 1.760000, 400, 2.370000, 0.040100
-1704688674, 1.730100, 1.710000, 100, 1.760000, 400, 2.370000, 0.040100
-1704686712, 1.730100, 1.710000, 100, 1.760000, 400, 2.370000, 0.040100
-1704684709, 1.730100, 1.710000, 100, 1.760000, 400, 2.370000, 0.040100
-1704682717, 1.730100, 1.710000, 100, 1.760000, 400, 2.370000, 0.040100
-1704680711, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704678710, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704676707, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704674692, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704672703, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704671204, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704668706, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704666700, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704664699, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704662705, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704660657, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704658701, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704656702, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704654699, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704652699, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704650701, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704648702, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704647170, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704644700, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704642691, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704641196, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704639193, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704637204, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704634702, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704632692, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704630685, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704628699, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704626697, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704625179, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
-1704622688, 1.730100, 1.720000, 100, 1.760000, 400, 2.370000, 0.040100
