time,price,bid,bidQty,offer,offerQty,percent,change
-1704890416, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704889489, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704886982, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704885481, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704883478, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704880922, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704879466, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704876982, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704874943, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704873476, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704871477, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704868976, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704866979, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704865480, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704862943, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704861475, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704858968, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704856944, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704854973, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704852956, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704850926, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704849468, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704846965, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704844928, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704843966, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704840960, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704838964, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704837963, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704834965, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704833461, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704831465, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704829463, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704826961, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704824966, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704823425, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704821429, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704818963, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704816959, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704815453, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704813454, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704810956, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704808933, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704807457, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704804955, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704803450, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704800951, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704798948, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704796946, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704794952, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704792917, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704791445, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704788955, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704787451, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704784953, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704782939, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704780898, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704779445, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704776936, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704774951, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704772947, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704770940, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704768913, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704766933, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704764942, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704762887, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704760929, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
-1704758943, 2.340000, 2.340000, 2500, 2.360000, 700, -0.850000, -0.020000
