time,price,bid,bidQty,offer,offerQty,percent,change
-1704890765, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704888793, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704886782, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704885293, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704882791, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704880790, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704878791, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704876751, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704874740, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704872785, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704871785, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704868783, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704866782, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704864780, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704862711, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704860774, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704859281, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704856773, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704854777, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704852772, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704850786, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704848746, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704848250, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704844768, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704842733, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704840788, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704838766, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704836755, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704834754, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704832759, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704830721, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704829205, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704826769, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704824768, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704822760, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704820756, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704818757, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704816734, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704814759, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704812757, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704810758, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704809260, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704806747, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704804754, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704802761, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704801250, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704799751, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704796743, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704794739, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704792745, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704790741, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704788716, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704786733, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704784744, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704782743, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704780742, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704779237, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704776733, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704774734, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704772719, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704770736, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704768738, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704766733, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704764737, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704763236, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704760718, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704758740, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704756738, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704754731, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704752723, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704750729, 7.930000, 7.930000, 100, 8.000000, 300, 0.380000, 0.030000
-1704748669, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704746724, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704744722, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704742708, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704741198, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704738734, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704736720, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704734657, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704734312, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704730798, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704728804, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704726797, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704724805, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704722803, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704720805, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704718800, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704716790, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704714777, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704712778, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704711297, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704708803, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704706792, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704704791, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704703298, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704700760, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704698779, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704696791, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704694795, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704692791, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704690788, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704688786, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704686769, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704685785, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704683265, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704680784, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704678777, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704676780, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704674788, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704672780, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704670769, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704668758, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704666776, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704664781, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704662779, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704660780, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704659275, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704656759, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704655248, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704652780, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704651278, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704648766, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704646744, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704644763, 7.930000, 7.930000, 100, 8.000000, 200, 0.380000, 0.030000
-1704642739, 7.930000, 7.930000, 300, 8.000000, 200, 0.380000, 0.030000
-1704640767, 7.930000, 7.930000, 300, 8.000000, 200, 0.380000, 0.030000
-1704638730, 7.930000, 7.930000, 300, 8.000000, 200, 0.380000, 0.030000
-1704636766, 7.930000, 7.930000, 300, 8.000000, 200, 0.380000, 0.030000
-1704634754, 7.930000, 7.930000, 300, 8.000000, 200, 0.380000, 0.030000
-1704632760, 7.930000, 7.930000, 300, 8.000000, 200, 0.380000, 0.030000
-1704630763, 7.930000, 7.930000, 300, 8.000000, 200, 0.380000, 0.030000
-1704628714, 7.930000, 7.930000, 300, 8.000000, 200, 0.380000, 0.030000
-1704627722, 7.930000, 7.930000, 300, 8.000000, 200, 0.380000, 0.030000
-1704625262, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704622750, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704620750, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704619254, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704616751, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704614721, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704613158, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704610738, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704608740, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704606740, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704604756, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704602758, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704601225, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704598740, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704596758, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704594740, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704592737, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704590747, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704588737, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704586729, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704585252, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704582751, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704580727, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704578728, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704576741, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704574728, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704572722, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704570728, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704568724, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704566731, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704564738, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704562734, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704560732, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704559227, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704557723, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704554718, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704552700, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704550728, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704548813, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704546813, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704544812, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704542812, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704541797, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704538793, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704536806, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704534806, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704532805, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704530799, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704528804, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704526805, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704524796, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704522804, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704520801, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704518804, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704516799, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704514800, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704512771, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704510785, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704508793, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704506791, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704504786, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704502789, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704501287, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704498791, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704497258, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704494790, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704492789, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704490782, 7.930000, 7.950000, 100, 8.000000, 200, 0.380000, 0.030000
-1704488781, 8.000000, 7.930000, 200, 8.000000, 200, 1.270000, 0.100000
-1704486779, 8.000000, 7.930000, 200, 8.000000, 200, 1.270000, 0.100000
-1704484783, 8.000000, 7.930000, 200, 8.000000, 200, 1.270000, 0.100000
-1704482785, 8.000000, 7.940000, 100, 8.000000, 200, 1.270000, 0.100000
-1704480789, 8.000000, 7.940000, 100, 8.000000, 200, 1.270000, 0.100000
-1704478787, 8.000000, 7.940000, 100, 8.000000, 200, 1.270000, 0.100000
-1704476777, 8.000000, 7.940000, 100, 8.000000, 200, 1.270000, 0.100000
-1704474774, 8.000000, 7.940000, 100, 8.000000, 200, 1.270000, 0.100000
-1704472778, 8.000000, 7.940000, 100, 8.060000, 100, 1.270000, 0.100000
-1704470782, 8.000000, 7.940000, 100, 8.060000, 100, 1.270000, 0.100000
-1704468773, 8.000000, 7.940000, 100, 8.060000, 100, 1.270000, 0.100000
-1704466772, 8.000000, 7.940000, 100, 8.060000, 100, 1.270000, 0.100000
-1704464772, 8.000000, 7.940000, 100, 8.060000, 100, 1.270000, 0.100000
-1704462773, 8.000000, 7.940000, 100, 8.060000, 100, 1.270000, 0.100000
-1704460775, 8.000000, 7.950000, 200, 8.070000, 1000, 1.270000, 0.100000
-1704458772, 8.000000, 7.950000, 200, 8.070000, 1000, 1.270000, 0.100000
-1704456774, 8.000000, 7.950000, 200, 8.060000, 100, 1.270000, 0.100000
-1704454770, 8.000000, 7.940000, 100, 8.060000, 100, 1.270000, 0.100000
-1704452744, 8.000000, 7.950000, 700, 8.070000, 1000, 1.270000, 0.100000
-1704450765, 8.000000, 7.950000, 700, 8.070000, 1000, 1.270000, 0.100000
-1704448771, 8.000000, 7.950000, 700, 8.070000, 1000, 1.270000, 0.100000
-1704446758, 8.000000, 7.950000, 700, 8.070000, 1000, 1.270000, 0.100000
-1704444764, 8.000000, 7.950000, 700, 8.070000, 1000, 1.270000, 0.100000
-1704442755, 8.000000, 7.950000, 700, 8.070000, 1000, 1.270000, 0.100000
-1704440761, 8.000000, 7.940000, 100, 8.050000, 100, 1.270000, 0.100000
-1704438759, 8.000000, 7.940000, 100, 8.050000, 100, 1.270000, 0.100000
-1704436760, 7.980000, 7.960000, 100, 8.060000, 100, 1.010000, 0.080000
-1704434759, 7.980000, 7.960000, 100, 8.060000, 100, 1.010000, 0.080000
-1704432760, 7.980000, 7.960000, 100, 8.060000, 100, 1.010000, 0.080000
-1704430761, 7.980000, 7.960000, 100, 8.060000, 100, 1.010000, 0.080000
-1704428766, 7.980000, 7.970000, 200, 8.050000, 100, 1.010000, 0.080000
-1704426760, 7.980000, 7.970000, 200, 8.050000, 100, 1.010000, 0.080000
-1704424747, 7.980000, 7.970000, 200, 8.050000, 100, 1.010000, 0.080000
-1704422746, 7.980000, 7.970000, 200, 8.050000, 100, 1.010000, 0.080000
-1704420750, 7.980000, 7.970000, 200, 8.050000, 100, 1.010000, 0.080000
-1704418755, 7.980000, 7.930000, 200, 8.050000, 100, 1.010000, 0.080000
-1704416752, 7.980000, 7.930000, 200, 8.050000, 100, 1.010000, 0.080000
-1704415257, 7.980000, 7.950000, 100, 8.050000, 100, 1.010000, 0.080000
-1704412749, 7.980000, 7.950000, 100, 8.050000, 100, 1.010000, 0.080000
-1704411259, 7.980000, 7.950000, 100, 8.050000, 100, 1.010000, 0.080000
-1704408740, 7.980000, 7.950000, 100, 8.000000, 1000, 1.010000, 0.080000
-1704407251, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704404751, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704402741, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704400747, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704398742, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704396738, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704394657, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704392721, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704390744, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704388741, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704386748, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704384733, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704382737, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704381222, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704378736, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704377227, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704374687, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704372735, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704370725, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704368721, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704367199, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704364726, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
-1704363725, 7.980000, 7.930000, 200, 8.000000, 1000, 1.010000, 0.080000
