time,price,bid,bidQty,offer,offerQty,percent,change
-1704890414, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704888906, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704886925, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704884918, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704882913, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704880925, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704878921, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704876906, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704874912, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704872921, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704870911, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704868910, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704866910, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704864912, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704862883, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704860909, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704858905, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704856903, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704854907, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704852895, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704850917, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704848908, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704846912, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704844884, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704842798, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704840966, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704838964, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704836966, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704834962, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704832951, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704830963, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704828960, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704826964, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704824966, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704823456, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704820961, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704819459, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704816941, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704814960, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704812951, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704810958, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704808952, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704806954, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704805443, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704803444, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704800950, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704798951, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704796956, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704794950, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704792948, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704790949, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704788952, 2.610000, 2.610000, 400, 2.640000, 200, -2.610000, -0.070000
-1704786907, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704784946, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704782944, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704780937, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704778950, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704776914, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704774941, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704772945, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704770949, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704768938, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704766941, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704764940, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704762938, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704760931, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704758939, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704756919, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704754933, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704752929, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704750935, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704749443, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704746919, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704744934, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704742934, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704740926, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704738934, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704736938, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704734928, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704732927, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704730935, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704728930, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704727428, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704724932, 2.640000, 2.610000, 400, 2.640000, 200, -1.490000, -0.040000
-1704722935, 2.625000, 2.610000, 400, 2.640000, 200, -2.050000, -0.055000
-1704720931, 2.625000, 2.610000, 400, 2.640000, 200, -2.050000, -0.055000
