time,price,bid,bidQty,offer,offerQty,percent,change
-1704890345, 0.139800, 0.139700, 3500, 0.139800, 1000, -9.400000, -0.014500
-1704888832, 0.139800, 0.139700, 3500, 0.139800, 1000, -9.400000, -0.014500
-1704886872, 0.139800, 0.139700, 3500, 0.139800, 1000, -9.400000, -0.014500
-1704884874, 0.139800, 0.139700, 3500, 0.139800, 1000, -9.400000, -0.014500
-1704883373, 0.139800, 0.139700, 3500, 0.139800, 1000, -9.400000, -0.014500
-1704880868, 0.139800, 0.139700, 3500, 0.139800, 1000, -9.400000, -0.014500
-1704878861, 0.139800, 0.139700, 3500, 0.139800, 1000, -9.400000, -0.014500
-1704876874, 0.139800, 0.139700, 3500, 0.139800, 1000, -9.400000, -0.014500
-1704874862, 0.139800, 0.139700, 3500, 0.139800, 1000, -9.400000, -0.014500
-1704872869, 0.139800, 0.139700, 3500, 0.139800, 1000, -9.400000, -0.014500
-1704870878, 0.139800, 0.139700, 3500, 0.139800, 1000, -9.400000, -0.014500
-1704869358, 0.139800, 0.139700, 3500, 0.139800, 1000, -9.400000, -0.014500
-1704866866, 0.139800, 0.139700, 3500, 0.139800, 1000, -9.400000, -0.014500
-1704864869, 0.139800, 0.139700, 3500, 0.139800, 1000, -9.400000, -0.014500
-1704862844, 0.140000, 0.139800, 5600, 0.142500, 13700, -9.270000, -0.014300
-1704860859, 0.140000, 0.139900, 5000, 0.142500, 13700, -9.270000, -0.014300
-1704858869, 0.140000, 0.140000, 3000, 0.142400, 5400, -9.270000, -0.014300
-1704856870, 0.140000, 0.140000, 8000, 0.142400, 5400, -9.270000, -0.014300
-1704854870, 0.140000, 0.140100, 2000, 0.142400, 5400, -9.270000, -0.014300
-1704852878, 0.140000, 0.140100, 2000, 0.142400, 5400, -9.270000, -0.014300
-1704850864, 0.140000, 0.140100, 5000, 0.142400, 5400, -9.270000, -0.014300
-1704848856, 0.140000, 0.140000, 4700, 0.142400, 5400, -9.270000, -0.014300
-1704846848, 0.140000, 0.140000, 4700, 0.142400, 5400, -9.270000, -0.014300
-1704844879, 0.140000, 0.140000, 4700, 0.142400, 5400, -9.270000, -0.014300
-1704843340, 0.140000, 0.140000, 4700, 0.142400, 5400, -9.270000, -0.014300
-1704841952, 0.140000, 0.140000, 4700, 0.142400, 5400, -9.270000, -0.014300
-1704838955, 0.140000, 0.140100, 1000, 0.142000, 5400, -9.270000, -0.014300
-1704837950, 0.140000, 0.140100, 1000, 0.142000, 5400, -9.270000, -0.014300
-1704834952, 0.140000, 0.140100, 1000, 0.142000, 5400, -9.270000, -0.014300
-1704832923, 0.140000, 0.140100, 1000, 0.142000, 5400, -9.270000, -0.014300
-1704831443, 0.140000, 0.140100, 1000, 0.142000, 5400, -9.270000, -0.014300
-1704828946, 0.140000, 0.140100, 1000, 0.142000, 5400, -9.270000, -0.014300
-1704826942, 0.140000, 0.140100, 1000, 0.142000, 5400, -9.270000, -0.014300
-1704824943, 0.140000, 0.140100, 1000, 0.142000, 5400, -9.270000, -0.014300
-1704822938, 0.140000, 0.140100, 1000, 0.141800, 2000, -9.270000, -0.014300
-1704820943, 0.140100, 0.140100, 1000, 0.141800, 2000, -9.200000, -0.014200
-1704818941, 0.140100, 0.140100, 1000, 0.141800, 2000, -9.200000, -0.014200
-1704816941, 0.140100, 0.140100, 1000, 0.141800, 2000, -9.200000, -0.014200
-1704814940, 0.140100, 0.140100, 1000, 0.142000, 5400, -9.200000, -0.014200
-1704813402, 0.140100, 0.140100, 1000, 0.142000, 5400, -9.200000, -0.014200
-1704810940, 0.140100, 0.140100, 1000, 0.142000, 5400, -9.200000, -0.014200
-1704808926, 0.140100, 0.140100, 1000, 0.140800, 2000, -9.200000, -0.014200
-1704806904, 0.140100, 0.140100, 1000, 0.140800, 2000, -9.200000, -0.014200
-1704806441, 0.140100, 0.140100, 1000, 0.140800, 2000, -9.200000, -0.014200
-1704802944, 0.140100, 0.140100, 1000, 0.140800, 2000, -9.200000, -0.014200
-1704800931, 0.140100, 0.140100, 1000, 0.142000, 5400, -9.200000, -0.014200
-1704799431, 0.140100, 0.140100, 1000, 0.142000, 5400, -9.200000, -0.014200
-1704796897, 0.142000, 0.140100, 1000, 0.142000, 5400, -7.970000, -0.012300
-1704794930, 0.142000, 0.140100, 1000, 0.140500, 2000, -7.970000, -0.012300
-1704792933, 0.142000, 0.140100, 1000, 0.140500, 2000, -7.970000, -0.012300
-1704790922, 0.142000, 0.140100, 1000, 0.140500, 2000, -7.970000, -0.012300
-1704788907, 0.142000, 0.140100, 1000, 0.140500, 2000, -7.970000, -0.012300
-1704787424, 0.142000, 0.140100, 1000, 0.140500, 2000, -7.970000, -0.012300
-1704785432, 0.142000, 0.140100, 1000, 0.140500, 2000, -7.970000, -0.012300
-1704782922, 0.142000, 0.140100, 1000, 0.140500, 2000, -7.970000, -0.012300
-1704780925, 0.142000, 0.140100, 1000, 0.140500, 2000, -7.970000, -0.012300
-1704779430, 0.142000, 0.140100, 1000, 0.140500, 2000, -7.970000, -0.012300
-1704776878, 0.142000, 0.140100, 1000, 0.142000, 5400, -7.970000, -0.012300
-1704774910, 0.142000, 0.140100, 1000, 0.142000, 5400, -7.970000, -0.012300
-1704772923, 0.142000, 0.140100, 1000, 0.142000, 5400, -7.970000, -0.012300
-1704771422, 0.142000, 0.140100, 1000, 0.142000, 5400, -7.970000, -0.012300
-1704768924, 0.142000, 0.140100, 1000, 0.142000, 5400, -7.970000, -0.012300
-1704766916, 0.142000, 0.140100, 1000, 0.142000, 5400, -7.970000, -0.012300
-1704764916, 0.140300, 0.140100, 1000, 0.142000, 5400, -9.070000, -0.014000
-1704762918, 0.140300, 0.140100, 1000, 0.142000, 5400, -9.070000, -0.014000
-1704761916, 0.140300, 0.140100, 1000, 0.142000, 5400, -9.070000, -0.014000
-1704759402, 0.140300, 0.140100, 1000, 0.142000, 5400, -9.070000, -0.014000
-1704756874, 0.140300, 0.140200, 2000, 0.142000, 5400, -9.070000, -0.014000
-1704754915, 0.140300, 0.140200, 2000, 0.142000, 5400, -9.070000, -0.014000
-1704754915, 0.140300, 0.140200, 2000, 0.142000, 5400, -9.070000, -0.014000
-1704751408, 0.140300, 0.140200, 2000, 0.142000, 5400, -9.070000, -0.014000
-1704748915, 0.140300, 0.140200, 2000, 0.142000, 5400, -9.070000, -0.014000
-1704747368, 0.140300, 0.140200, 2000, 0.142000, 5400, -9.070000, -0.014000
-1704745363, 0.140300, 0.140200, 2000, 0.142000, 5400, -9.070000, -0.014000
-1704742910, 0.140300, 0.140200, 2000, 0.142000, 5400, -9.070000, -0.014000
-1704740905, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704738912, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704736900, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704734912, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704733416, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704730905, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704729911, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704726905, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704724905, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704722892, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704720898, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704718852, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704716878, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704714895, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704712898, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704710898, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704708899, 0.140300, 0.141000, 1700, 0.142000, 5400, -9.070000, -0.014000
-1704706895, 0.141300, 0.141000, 1700, 0.142000, 5400, -8.430000, -0.013000
-1704704827, 0.141300, 0.141000, 2000, 0.142000, 5400, -8.430000, -0.013000
-1704703399, 0.141300, 0.141000, 2000, 0.142000, 5400, -8.430000, -0.013000
-1704700878, 0.141300, 0.141000, 2000, 0.142000, 5400, -8.430000, -0.013000
-1704698895, 0.141300, 0.141000, 2000, 0.142000, 5400, -8.430000, -0.013000
-1704696881, 0.141300, 0.141000, 3000, 0.142000, 5400, -8.430000, -0.013000
-1704694888, 0.141300, 0.141000, 3000, 0.142000, 5400, -8.430000, -0.013000
-1704692885, 0.141300, 0.141000, 2000, 0.142000, 5400, -8.430000, -0.013000
-1704690879, 0.141300, 0.141000, 2000, 0.142000, 5400, -8.430000, -0.013000
-1704688887, 0.141300, 0.141000, 2000, 0.142000, 5400, -8.430000, -0.013000
-1704687370, 0.141300, 0.141000, 2000, 0.142000, 5400, -8.430000, -0.013000
-1704684881, 0.142000, 0.141000, 2000, 0.142000, 5400, -7.970000, -0.012300
-1704683387, 0.142000, 0.141000, 2000, 0.142000, 5400, -7.970000, -0.012300
-1704680887, 0.142000, 0.141000, 2000, 0.142000, 5400, -7.970000, -0.012300
-1704678878, 0.142000, 0.141000, 2000, 0.142000, 5400, -7.970000, -0.012300
-1704676892, 0.142000, 0.141900, 10000, 0.142000, 5400, -7.970000, -0.012300
-1704674842, 0.142000, 0.141900, 10000, 0.142000, 5400, -7.970000, -0.012300
-1704672881, 0.142000, 0.141900, 10000, 0.142000, 5400, -7.970000, -0.012300
-1704670884, 0.142000, 0.141900, 10000, 0.142000, 5400, -7.970000, -0.012300
-1704668875, 0.142000, 0.141900, 10000, 0.142000, 5400, -7.970000, -0.012300
-1704666890, 0.142000, 0.141900, 10000, 0.142000, 5400, -7.970000, -0.012300
-1704664876, 0.142000, 0.141900, 10000, 0.142000, 5400, -7.970000, -0.012300
-1704662876, 0.142000, 0.141900, 10000, 0.142000, 5400, -7.970000, -0.012300
-1704661363, 0.142000, 0.141900, 10000, 0.142000, 5400, -7.970000, -0.012300
-1704658836, 0.142000, 0.141900, 10000, 0.142000, 5400, -7.970000, -0.012300
-1704656840, 0.142000, 0.141900, 10000, 0.142000, 5400, -7.970000, -0.012300
-1704654879, 0.142000, 0.141900, 10000, 0.142000, 5400, -7.970000, -0.012300
-1704652872, 0.142000, 0.141900, 10000, 0.142000, 5400, -7.970000, -0.012300
-1704650873, 0.142000, 0.141900, 10000, 0.142000, 5400, -7.970000, -0.012300
