time,price,bid,bidQty,offer,offerQty,percent,change
-1704891896, 8.730000, 8.730000, 100, 8.800000, 500, 11.210000, 0.880000
-1704888982, 8.730000, 8.730000, 100, 8.800000, 500, 11.210000, 0.880000
-1704887985, 8.730000, 8.730000, 100, 8.800000, 500, 11.210000, 0.880000
-1704884981, 8.734900, 8.730000, 100, 8.800000, 500, 11.270000, 0.884900
-1704882978, 8.734900, 8.730000, 100, 8.800000, 500, 11.270000, 0.884900
-1704880928, 8.734900, 8.730000, 100, 8.800000, 500, 11.270000, 0.884900
-1704878976, 8.734900, 8.730000, 100, 8.800000, 500, 11.270000, 0.884900
-1704876978, 8.734900, 8.730000, 100, 8.800000, 500, 11.270000, 0.884900
-1704875476, 8.734900, 8.730000, 100, 8.800000, 500, 11.270000, 0.884900
-1704872973, 8.734900, 8.730000, 100, 8.800000, 500, 11.270000, 0.884900
-1704870979, 8.734900, 8.730000, 100, 8.800000, 500, 11.270000, 0.884900
-1704868944, 8.734900, 8.730000, 100, 8.800000, 500, 11.270000, 0.884900
-1704866965, 8.734900, 8.730000, 100, 8.800000, 500, 11.270000, 0.884900
-1704864973, 8.734900, 8.730000, 100, 8.800000, 500, 11.270000, 0.884900
-1704862933, 8.734900, 8.750000, 500, 8.800000, 500, 11.270000, 0.884900
-1704860969, 8.734900, 8.750000, 500, 8.800000, 500, 11.270000, 0.884900
-1704858965, 8.734900, 8.750000, 500, 8.800000, 500, 11.270000, 0.884900
-1704856932, 8.734900, 8.750000, 500, 8.800000, 500, 11.270000, 0.884900
-1704855464, 8.734900, 8.750000, 500, 8.800000, 500, 11.270000, 0.884900
-1704853460, 8.734900, 8.750000, 500, 8.800000, 500, 11.270000, 0.884900
-1704850896, 8.734900, 8.750000, 500, 8.800000, 500, 11.270000, 0.884900
-1704849463, 8.768600, 8.750000, 500, 8.800000, 500, 11.700000, 0.918600
-1704846963, 8.768600, 8.750000, 500, 8.800000, 500, 11.700000, 0.918600
-1704844922, 8.768600, 8.750000, 500, 8.800000, 500, 11.700000, 0.918600
-1704842963, 8.768600, 8.750000, 500, 8.800000, 500, 11.700000, 0.918600
-1704841921, 8.768600, 8.750000, 500, 8.800000, 500, 11.700000, 0.918600
-1704838957, 8.768600, 8.750000, 500, 8.800000, 500, 11.700000, 0.918600
-1704837452, 8.768600, 8.750000, 500, 8.800000, 500, 11.700000, 0.918600
-1704835460, 8.768600, 8.750000, 500, 8.800000, 500, 11.700000, 0.918600
-1704832956, 8.768600, 8.750000, 500, 8.800000, 500, 11.700000, 0.918600
-1704831458, 8.768600, 8.750000, 500, 8.800000, 500, 11.700000, 0.918600
-1704828954, 8.768600, 8.750000, 500, 8.800000, 500, 11.700000, 0.918600
-1704826951, 8.768600, 8.750000, 500, 8.800000, 500, 11.700000, 0.918600
-1704825954, 8.768600, 8.750000, 500, 8.800000, 500, 11.700000, 0.918600
-1704823370, 8.768600, 8.770000, 200, 8.800000, 500, 11.700000, 0.918600
-1704820960, 8.768600, 8.770000, 200, 8.800000, 500, 11.700000, 0.918600
-1704818951, 8.768600, 8.770000, 200, 8.800000, 500, 11.700000, 0.918600
-1704816949, 8.768600, 8.770000, 200, 8.800000, 500, 11.700000, 0.918600
-1704814940, 8.768600, 8.770000, 200, 8.800000, 500, 11.700000, 0.918600
-1704812946, 8.779000, 8.750000, 500, 8.800000, 500, 11.830000, 0.929000
-1704810941, 8.779000, 8.750000, 500, 8.800000, 500, 11.830000, 0.929000
-1704808923, 8.779000, 8.750000, 500, 8.800000, 500, 11.830000, 0.929000
-1704806934, 8.779000, 8.750000, 500, 8.800000, 500, 11.830000, 0.929000
-1704804940, 8.779000, 8.750000, 500, 8.800000, 500, 11.830000, 0.929000
-1704802947, 8.779000, 8.750000, 500, 8.800000, 500, 11.830000, 0.929000
-1704800945, 8.779000, 8.750000, 500, 8.800000, 500, 11.830000, 0.929000
-1704798933, 8.779000, 8.750000, 500, 8.800000, 500, 11.830000, 0.929000
-1704796943, 8.779000, 8.750000, 500, 8.800000, 500, 11.830000, 0.929000
-1704794944, 8.779000, 8.750000, 500, 8.800000, 500, 11.830000, 0.929000
-1704792912, 8.779000, 8.750000, 500, 8.800000, 500, 11.830000, 0.929000
-1704790931, 8.779000, 8.750000, 500, 8.800000, 500, 11.830000, 0.929000
-1704788929, 8.779000, 8.730000, 100, 8.800000, 500, 11.830000, 0.929000
-1704786898, 8.779000, 8.730000, 100, 8.800000, 500, 11.830000, 0.929000
-1704784925, 8.779000, 8.730000, 100, 8.800000, 500, 11.830000, 0.929000
-1704783419, 8.779000, 8.730000, 100, 8.800000, 500, 11.830000, 0.929000
-1704780887, 8.779000, 8.730000, 100, 8.800000, 500, 11.830000, 0.929000
-1704779406, 8.779000, 8.730000, 100, 8.800000, 500, 11.830000, 0.929000
-1704776925, 8.779000, 8.730000, 100, 8.800000, 500, 11.830000, 0.929000
-1704774919, 8.779000, 8.730000, 100, 8.780000, 500, 11.830000, 0.929000
-1704773446, 8.779000, 8.760000, 500, 8.780000, 500, 11.830000, 0.929000
-1704770925, 8.779000, 8.760000, 500, 8.780000, 500, 11.830000, 0.929000
-1704768879, 8.779000, 8.760000, 500, 8.780000, 500, 11.830000, 0.929000
-1704767918, 8.779000, 8.760000, 500, 8.780000, 500, 11.830000, 0.929000
-1704764926, 8.779000, 8.760000, 500, 8.780000, 500, 11.830000, 0.929000
-1704762852, 8.779000, 8.760000, 500, 8.780000, 500, 11.830000, 0.929000
-1704760915, 8.779000, 8.760000, 500, 8.780000, 500, 11.830000, 0.929000
-1704758919, 8.779000, 8.760000, 500, 8.780000, 500, 11.830000, 0.929000
-1704756890, 8.779000, 8.760000, 500, 8.780000, 500, 11.830000, 0.929000
-1704754923, 8.779000, 8.760000, 500, 8.780000, 500, 11.830000, 0.929000
-1704752914, 8.779000, 8.760000, 500, 8.780000, 500, 11.830000, 0.929000
-1704750914, 8.779000, 8.760000, 500, 8.780000, 500, 11.830000, 0.929000
-1704748911, 8.779000, 8.770000, 100, 8.780000, 500, 11.830000, 0.929000
-1704746905, 8.779000, 8.770000, 100, 8.780000, 500, 11.830000, 0.929000
-1704744913, 8.779000, 8.770000, 100, 8.780000, 500, 11.830000, 0.929000
-1704742908, 8.779000, 8.770000, 100, 8.780000, 500, 11.830000, 0.929000
-1704740914, 8.779000, 8.770000, 100, 8.780000, 500, 11.830000, 0.929000
-1704739414, 8.779000, 8.770000, 100, 8.780000, 500, 11.830000, 0.929000
-1704736918, 8.779000, 8.770000, 100, 8.780000, 500, 11.830000, 0.929000
-1704735409, 8.779000, 8.770000, 100, 8.780000, 500, 11.830000, 0.929000
-1704732918, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704730874, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704728919, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704726910, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704724875, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704722874, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704720917, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704718866, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704716905, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704714901, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704712873, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704711407, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704708900, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704706822, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704704906, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704702878, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704700852, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704698898, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704696897, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704694834, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704693274, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704690485, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704688481, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704687486, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704684949, 8.770000, 8.760000, 500, 8.770000, 100, 11.720000, 0.920000
-1704682978, 8.760000, 8.730000, 100, 8.770000, 100, 11.590000, 0.910000
-1704680592, 8.760000, 8.730000, 100, 8.770000, 100, 11.590000, 0.910000
-1704678986, 8.760000, 8.730000, 100, 8.770000, 100, 11.590000, 0.910000
-1704676970, 8.760000, 8.730000, 100, 8.770000, 100, 11.590000, 0.910000
-1704674980, 8.720000, 8.720000, 700, 8.770000, 100, 11.080000, 0.870000
-1704672974, 8.720000, 8.720000, 700, 8.770000, 100, 11.080000, 0.870000
-1704670963, 8.720000, 8.720000, 700, 8.770000, 100, 11.080000, 0.870000
