time,price,bid,bidQty,offer,offerQty,percent,change
-1704890708, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704888693, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704886667, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704884698, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704882703, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704881193, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704879205, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704876701, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704874660, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704872688, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704870696, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704868664, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704866702, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704864692, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704862688, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704860694, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704859669, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704857190, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704854691, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704852693, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704850685, 1.110000, 1.110000, 20900, 1.120000, 6200, -9.020000, -0.110000
-1704848654, 1.119900, 1.110000, 20700, 1.120000, 6200, -8.200000, -0.100100
-1704846686, 1.119900, 1.110000, 20700, 1.120000, 6200, -8.200000, -0.100100
-1704844677, 1.119900, 1.110000, 20700, 1.120000, 6200, -8.200000, -0.100100
-1704842685, 1.119900, 1.110000, 20700, 1.120000, 6200, -8.200000, -0.100100
-1704840673, 1.119900, 1.110000, 20700, 1.120000, 6200, -8.200000, -0.100100
-1704838692, 1.110000, 1.110000, 20700, 1.120000, 6200, -9.020000, -0.110000
-1704836677, 1.110000, 1.110000, 20700, 1.120000, 6200, -9.020000, -0.110000
-1704835180, 1.110000, 1.110000, 20700, 1.120000, 6200, -9.020000, -0.110000
-1704832655, 1.110000, 1.110000, 20700, 1.120000, 6200, -9.020000, -0.110000
-1704830677, 1.110000, 1.110000, 20700, 1.120000, 6200, -9.020000, -0.110000
-1704828667, 1.110000, 1.110000, 20700, 1.120000, 6200, -9.020000, -0.110000
-1704826677, 1.110000, 1.110000, 20700, 1.120000, 6200, -9.020000, -0.110000
-1704824681, 1.110000, 1.110000, 20700, 1.120000, 6200, -9.020000, -0.110000
-1704822677, 1.110000, 1.110000, 20700, 1.120000, 6200, -9.020000, -0.110000
-1704820676, 1.110000, 1.110000, 20700, 1.120000, 6200, -9.020000, -0.110000
-1704818664, 1.110000, 1.110000, 20700, 1.120000, 6200, -9.020000, -0.110000
