time,price,bid,bidQty,offer,offerQty,percent,change
-1704888903, 0.309000, 0.305000, 3400, 0.309000, 200, 0.880000, 0.002700
-1704886907, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704884898, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704882905, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704880902, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704878901, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704876901, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704874905, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704872898, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704871403, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704868903, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704866906, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704864895, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704862872, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704860895, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704858882, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704857348, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704854898, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704852888, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704850885, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704849377, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704846896, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704844875, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704842789, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704840962, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704839960, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704836961, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704836423, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704832927, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704830930, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704829452, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704828455, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704825452, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704822954, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704820953, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704818955, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704816937, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704814954, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
-1704812948, 0.309000, 0.306000, 100, 0.309000, 200, 0.880000, 0.002700
