time,price,bid,bidQty,offer,offerQty,percent,change
-1704890413, 0.575200, 0.575100, 300, 0.576500, 400, -2.330000, -0.013700
-1704889381, 0.575200, 0.575100, 300, 0.576500, 400, -2.330000, -0.013700
-1704886924, 0.575200, 0.575000, 3300, 0.576500, 200, -2.330000, -0.013700
-1704884917, 0.575200, 0.575000, 3300, 0.576500, 200, -2.330000, -0.013700
-1704882912, 0.575200, 0.575000, 3300, 0.576500, 200, -2.330000, -0.013700
-1704881413, 0.575200, 0.575000, 3300, 0.576400, 400, -2.330000, -0.013700
-1704878920, 0.575200, 0.575000, 3300, 0.576400, 400, -2.330000, -0.013700
-1704876906, 0.575200, 0.575000, 3300, 0.576400, 400, -2.330000, -0.013700
-1704876402, 0.575200, 0.575000, 3300, 0.576400, 400, -2.330000, -0.013700
-1704872921, 0.575200, 0.575000, 3300, 0.576500, 200, -2.330000, -0.013700
-1704870910, 0.575200, 0.575000, 3300, 0.576500, 200, -2.330000, -0.013700
-1704868910, 0.575200, 0.575000, 3300, 0.576500, 200, -2.330000, -0.013700
-1704866909, 0.575200, 0.575000, 3300, 0.576400, 400, -2.330000, -0.013700
-1704864912, 0.575200, 0.575000, 3300, 0.576400, 400, -2.330000, -0.013700
-1704862882, 0.575200, 0.575000, 3300, 0.576400, 400, -2.330000, -0.013700
-1704860909, 0.575200, 0.575000, 3300, 0.576400, 400, -2.330000, -0.013700
-1704859909, 0.575200, 0.575000, 3300, 0.576400, 400, -2.330000, -0.013700
-1704856902, 0.575200, 0.575000, 3300, 0.576400, 400, -2.330000, -0.013700
-1704854906, 0.575200, 0.575000, 3300, 0.576500, 200, -2.330000, -0.013700
-1704852895, 0.575200, 0.575000, 3300, 0.576500, 200, -2.330000, -0.013700
-1704851404, 0.575200, 0.575000, 3300, 0.576500, 200, -2.330000, -0.013700
-1704848907, 0.575200, 0.575000, 3300, 0.576500, 200, -2.330000, -0.013700
-1704846911, 0.575200, 0.575000, 3300, 0.576500, 200, -2.330000, -0.013700
-1704844884, 0.575200, 0.575000, 3300, 0.576500, 200, -2.330000, -0.013700
-1704843393, 0.575800, 0.575000, 3300, 0.576400, 400, -2.220000, -0.013100
-1704840965, 0.575800, 0.575000, 3300, 0.576400, 400, -2.220000, -0.013100
-1704838963, 0.575800, 0.575000, 3300, 0.576400, 400, -2.220000, -0.013100
-1704836965, 0.575800, 0.575000, 3300, 0.576400, 400, -2.220000, -0.013100
