time,price,bid,bidQty,offer,offerQty,percent,change
-1704890897, 1.540000, 1.540000, 14500, 1.550000, 700, -4.350000, -0.070000
-1704888985, 1.540000, 1.540000, 14500, 1.550000, 700, -4.350000, -0.070000
-1704886983, 1.540000, 1.540000, 14500, 1.550000, 700, -4.350000, -0.070000
-1704884980, 1.540000, 1.540000, 14500, 1.550000, 700, -4.350000, -0.070000
-1704882981, 1.540000, 1.540000, 14500, 1.550000, 700, -4.350000, -0.070000
-1704880923, 1.540000, 1.540000, 14500, 1.550000, 700, -4.350000, -0.070000
-1704879468, 1.540000, 1.540000, 14500, 1.550000, 700, -4.350000, -0.070000
-1704877478, 1.540000, 1.540000, 14500, 1.550000, 700, -4.350000, -0.070000
-1704874945, 1.540000, 1.540000, 14500, 1.550000, 700, -4.350000, -0.070000
-1704872976, 1.540000, 1.540000, 14500, 1.550000, 700, -4.350000, -0.070000
-1704870974, 1.540000, 1.540000, 14500, 1.550000, 700, -4.350000, -0.070000
-1704868974, 1.540000, 1.540000, 14500, 1.550000, 700, -4.350000, -0.070000
-1704867473, 1.540000, 1.540000, 14500, 1.550000, 700, -4.350000, -0.070000
-1704864972, 1.549900, 1.540000, 14500, 1.550000, 700, -3.730000, -0.060100
-1704862935, 1.549900, 1.540000, 14500, 1.550000, 700, -3.730000, -0.060100
-1704860968, 1.549900, 1.540000, 14500, 1.550000, 700, -3.730000, -0.060100
-1704858967, 1.549900, 1.540000, 14500, 1.550000, 700, -3.730000, -0.060100
-1704856932, 1.549900, 1.540000, 14500, 1.550000, 700, -3.730000, -0.060100
-1704855466, 1.549900, 1.540000, 14500, 1.550000, 700, -3.730000, -0.060100
-1704853458, 1.549900, 1.540000, 14500, 1.550000, 700, -3.730000, -0.060100
-1704850899, 1.549900, 1.540000, 14500, 1.550000, 700, -3.730000, -0.060100
-1704848965, 1.549900, 1.540000, 14500, 1.550000, 700, -3.730000, -0.060100
-1704847463, 1.549900, 1.540000, 14500, 1.550000, 700, -3.730000, -0.060100
-1704844923, 1.549900, 1.540000, 14500, 1.550000, 700, -3.730000, -0.060100
-1704842962, 1.550000, 1.540000, 14700, 1.560000, 5700, -3.730000, -0.060000
-1704841921, 1.550000, 1.540000, 14700, 1.560000, 5700, -3.730000, -0.060000
-1704838959, 1.550000, 1.550000, 900, 1.560000, 5700, -3.730000, -0.060000
-1704836958, 1.550000, 1.550000, 900, 1.560000, 5700, -3.730000, -0.060000
-1704835459, 1.550000, 1.550000, 900, 1.560000, 5700, -3.730000, -0.060000
-1704832959, 1.550000, 1.550000, 900, 1.560000, 5700, -3.730000, -0.060000
-1704830955, 1.550000, 1.550000, 900, 1.560000, 5700, -3.730000, -0.060000
-1704828957, 1.550000, 1.550000, 900, 1.560000, 5700, -3.730000, -0.060000
