time,price,bid,bidQty,offer,offerQty,percent,change
-1704890760, 0.710000, 0.710000, 8800, 0.715900, 3400, -5.210000, -0.039000
-1704888799, 0.710000, 0.710000, 8800, 0.715900, 3400, -5.210000, -0.039000
-1704886790, 0.710000, 0.710000, 8800, 0.715900, 3400, -5.210000, -0.039000
-1704884785, 0.710000, 0.710000, 8800, 0.715900, 3400, -5.210000, -0.039000
-1704882787, 0.710000, 0.710000, 8800, 0.715900, 3400, -5.210000, -0.039000
-1704880792, 0.710000, 0.710000, 8800, 0.715900, 3400, -5.210000, -0.039000
-1704879271, 0.710000, 0.710000, 8800, 0.715900, 3400, -5.210000, -0.039000
-1704876747, 0.715900, 0.710000, 8700, 0.715900, 3400, -4.420000, -0.033100
-1704874767, 0.715900, 0.710000, 8700, 0.715900, 3400, -4.420000, -0.033100
-1704872782, 0.715900, 0.710000, 8700, 0.715900, 3400, -4.420000, -0.033100
-1704871286, 0.715900, 0.710000, 8700, 0.715900, 3400, -4.420000, -0.033100
-1704868785, 0.715900, 0.710000, 8700, 0.715900, 3400, -4.420000, -0.033100
-1704866781, 0.715900, 0.710000, 8700, 0.715900, 3400, -4.420000, -0.033100
-1704864781, 0.710800, 0.710000, 8700, 0.715900, 3400, -5.100000, -0.038200
-1704862760, 0.710800, 0.710000, 8700, 0.715900, 3400, -5.100000, -0.038200
-1704860780, 0.710800, 0.710000, 8700, 0.715900, 3400, -5.100000, -0.038200
-1704858782, 0.710800, 0.710000, 8700, 0.715900, 3400, -5.100000, -0.038200
-1704856771, 0.710800, 0.710000, 8700, 0.715900, 3400, -5.100000, -0.038200
-1704854771, 0.710800, 0.710000, 8700, 0.715900, 3400, -5.100000, -0.038200
-1704852776, 0.710800, 0.710000, 8700, 0.715900, 3400, -5.100000, -0.038200
-1704850768, 0.710800, 0.710000, 8700, 0.715900, 3400, -5.100000, -0.038200
-1704848730, 0.710800, 0.710000, 8700, 0.715900, 3400, -5.100000, -0.038200
-1704846743, 0.713300, 0.710000, 8700, 0.715900, 3400, -4.770000, -0.035700
-1704844770, 0.713300, 0.710000, 8700, 0.715900, 3400, -4.770000, -0.035700
