time,price,bid,bidQty,offer,offerQty,percent,change
-1704890905, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704888984, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704886980, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704884983, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704882980, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704880930, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704878978, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704876980, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704874948, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704872974, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704870980, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704868974, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704866967, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704864974, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704862935, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704860971, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704858968, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704856934, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704855466, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704853462, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704850901, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704849465, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704846965, 6.450000, 6.440000, 1300, 6.450000, 100, 2.220000, 0.140000
-1704844924, 6.450000, 6.440000, 1400, 6.450000, 100, 2.220000, 0.140000
-1704843962, 6.450000, 6.440000, 1400, 6.450000, 100, 2.220000, 0.140000
-1704841462, 6.450000, 6.440000, 1400, 6.450000, 100, 2.220000, 0.140000
-1704838959, 6.450000, 6.440000, 1400, 6.450000, 100, 2.220000, 0.140000
-1704836959, 6.450000, 6.440000, 1400, 6.450000, 100, 2.220000, 0.140000
-1704835461, 6.450000, 6.440000, 1400, 6.450000, 100, 2.220000, 0.140000
-1704832958, 6.450000, 6.440000, 1400, 6.450000, 100, 2.220000, 0.140000
-1704830956, 6.450000, 6.440000, 1400, 6.450000, 100, 2.220000, 0.140000
-1704828955, 6.450000, 6.440000, 1400, 6.450000, 100, 2.220000, 0.140000
-1704826954, 6.450000, 6.440000, 1400, 6.450000, 100, 2.220000, 0.140000
-1704824950, 6.450000, 6.440000, 1400, 6.450000, 100, 2.220000, 0.140000
-1704822910, 6.450000, 6.440000, 1400, 6.450000, 500, 2.220000, 0.140000
-1704820961, 6.450000, 6.440000, 1400, 6.450000, 500, 2.220000, 0.140000
-1704818953, 6.450000, 6.440000, 1400, 6.450000, 500, 2.220000, 0.140000
-1704816951, 6.450000, 6.440000, 1400, 6.450000, 500, 2.220000, 0.140000
-1704814942, 6.450000, 6.440000, 1400, 6.450000, 500, 2.220000, 0.140000
-1704813447, 6.450000, 6.440000, 1400, 6.450000, 500, 2.220000, 0.140000
-1704810943, 6.450000, 6.440000, 1400, 6.450000, 500, 2.220000, 0.140000
-1704808925, 6.450000, 6.440000, 1400, 6.450000, 500, 2.220000, 0.140000
-1704806936, 6.450000, 6.440000, 1400, 6.450000, 500, 2.220000, 0.140000
-1704805394, 6.450000, 6.450000, 1300, 6.480000, 300, 2.220000, 0.140000
-1704802948, 6.450000, 6.450000, 1300, 6.480000, 300, 2.220000, 0.140000
-1704801445, 6.450000, 6.450000, 1300, 6.480000, 300, 2.220000, 0.140000
-1704799428, 6.460000, 6.460000, 200, 6.480000, 200, 2.380000, 0.150000
-1704796945, 6.460000, 6.460000, 200, 6.480000, 200, 2.380000, 0.150000
-1704794946, 6.460000, 6.460000, 200, 6.480000, 200, 2.380000, 0.150000
-1704792914, 6.480000, 6.460000, 200, 6.480000, 200, 2.690000, 0.170000
-1704790933, 6.480000, 6.460000, 200, 6.480000, 200, 2.690000, 0.170000
-1704788931, 6.480000, 6.460000, 200, 6.480000, 200, 2.690000, 0.170000
-1704787442, 6.480000, 6.460000, 200, 6.480000, 200, 2.690000, 0.170000
-1704784927, 6.480000, 6.460000, 200, 6.480000, 200, 2.690000, 0.170000
-1704782939, 6.480000, 6.460000, 200, 6.480000, 200, 2.690000, 0.170000
-1704780888, 6.480000, 6.460000, 200, 6.480000, 200, 2.690000, 0.170000
-1704778929, 6.480000, 6.460000, 200, 6.480000, 200, 2.690000, 0.170000
-1704776926, 6.480000, 6.460000, 200, 6.480000, 200, 2.690000, 0.170000
-1704774921, 6.480000, 6.460000, 200, 6.480000, 200, 2.690000, 0.170000
-1704773448, 6.480000, 6.460000, 200, 6.480000, 200, 2.690000, 0.170000
-1704770927, 6.450000, 6.450000, 500, 6.470000, 300, 2.220000, 0.140000
-1704768881, 6.450000, 6.440000, 400, 6.470000, 100, 2.220000, 0.140000
-1704766936, 6.450000, 6.440000, 400, 6.470000, 100, 2.220000, 0.140000
-1704764927, 6.450000, 6.440000, 400, 6.470000, 100, 2.220000, 0.140000
-1704762853, 6.450000, 6.440000, 400, 6.470000, 100, 2.220000, 0.140000
-1704760917, 6.450000, 6.440000, 400, 6.470000, 100, 2.220000, 0.140000
-1704758921, 6.450000, 6.440000, 400, 6.470000, 100, 2.220000, 0.140000
-1704756892, 6.450000, 6.440000, 400, 6.470000, 100, 2.220000, 0.140000
-1704754925, 6.450000, 6.440000, 400, 6.470000, 100, 2.220000, 0.140000
-1704752916, 6.450000, 6.440000, 400, 6.470000, 100, 2.220000, 0.140000
-1704750915, 6.450000, 6.440000, 400, 6.470000, 100, 2.220000, 0.140000
-1704748913, 6.450000, 6.440000, 400, 6.470000, 100, 2.220000, 0.140000
-1704747429, 6.450000, 6.440000, 400, 6.470000, 100, 2.220000, 0.140000
-1704744914, 6.440000, 6.440000, 400, 6.450000, 200, 2.060000, 0.130000
-1704743412, 6.440000, 6.440000, 400, 6.450000, 200, 2.060000, 0.130000
-1704740915, 6.440000, 6.440000, 400, 6.450000, 300, 2.060000, 0.130000
-1704739928, 6.440000, 6.440000, 400, 6.450000, 300, 2.060000, 0.130000
-1704736920, 6.440000, 6.440000, 400, 6.450000, 300, 2.060000, 0.130000
-1704734912, 6.440000, 6.440000, 400, 6.450000, 300, 2.060000, 0.130000
-1704732919, 6.440000, 6.440000, 400, 6.450000, 300, 2.060000, 0.130000
-1704730876, 6.440000, 6.440000, 400, 6.450000, 300, 2.060000, 0.130000
-1704728921, 6.440000, 6.440000, 400, 6.450000, 300, 2.060000, 0.130000
-1704726912, 6.440000, 6.440000, 200, 6.450000, 400, 2.060000, 0.130000
-1704724877, 6.440000, 6.440000, 200, 6.450000, 300, 2.060000, 0.130000
-1704722876, 6.440000, 6.440000, 200, 6.450000, 300, 2.060000, 0.130000
-1704720918, 6.440000, 6.440000, 200, 6.450000, 300, 2.060000, 0.130000
-1704718868, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704716906, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704714903, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704712875, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704710912, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704708902, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704706824, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704704908, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704702880, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704700853, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704698899, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704696899, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704694835, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704692978, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704690488, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704688483, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704686983, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704684980, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
-1704682981, 6.440000, 6.440000, 300, 6.450000, 300, 2.060000, 0.130000
