time,price,bid,bidQty,offer,offerQty,percent,change
-1704890694, 20.160700, 20.160000, 2200, 20.170000, 2300, -18.940001, -4.709300
-1704888698, 20.162500, 20.160000, 1800, 20.170000, 1500, -18.930000, -4.707500
-1704886684, 20.175900, 20.170000, 8200, 20.180000, 3700, -18.870001, -4.694100
-1704884704, 20.180000, 20.170000, 9300, 20.180000, 2900, -18.860001, -4.690000
-1704882714, 20.180000, 20.170000, 9300, 20.180000, 1300, -18.860001, -4.690000
-1704880672, 20.160000, 20.150000, 1700, 20.160000, 2000, -18.940001, -4.710000
-1704878711, 20.180000, 20.170000, 400, 20.180000, 500, -18.860001, -4.690000
-1704876705, 20.155701, 20.150000, 5700, 20.160000, 1900, -18.959999, -4.714300
-1704874659, 20.155001, 20.150000, 6300, 20.160000, 900, -18.959999, -4.715000
-1704872700, 20.160000, 20.150000, 4900, 20.160000, 4000, -18.940001, -4.710000
-1704870699, 20.160000, 20.150000, 4300, 20.160000, 3300, -18.940001, -4.710000
-1704868706, 20.151100, 20.150000, 4100, 20.160000, 1400, -18.969999, -4.718900
-1704866692, 20.150101, 20.150000, 4000, 20.160000, 1600, -18.980000, -4.719900
-1704864700, 20.129999, 20.120001, 1000, 20.129999, 5800, -19.059999, -4.740000
-1704862716, 20.120001, 20.110001, 900, 20.120001, 1300, -19.100000, -4.750000
-1704861203, 20.130100, 20.129999, 100, 20.139999, 2400, -19.059999, -4.739900
-1704858705, 20.150999, 20.150000, 500, 20.160000, 900, -18.969999, -4.719000
-1704856699, 20.142500, 20.150000, 300, 20.160000, 1200, -19.010000, -4.727500
-1704854697, 20.142000, 20.139999, 300, 20.150000, 900, -19.010000, -4.728000
-1704852693, 20.139999, 20.129999, 100, 20.139999, 2600, -19.020000, -4.730000
-1704850696, 20.136200, 20.129999, 400, 20.139999, 1600, -19.030001, -4.733800
-1704848679, 20.135000, 20.129999, 600, 20.139999, 1900, -19.040001, -4.735000
-1704846694, 20.138000, 20.129999, 400, 20.139999, 2700, -19.030001, -4.732000
-1704844688, 20.136101, 20.129999, 1000, 20.139999, 2800, -19.030001, -4.733900
-1704842699, 20.070000, 20.059999, 2300, 20.070000, 3100, -19.299999, -4.800000
-1704840691, 20.062500, 20.059999, 3100, 20.070000, 3400, -19.330000, -4.807500
-1704838682, 20.075001, 20.070000, 1000, 20.080000, 100, -19.280001, -4.795000
-1704836688, 20.100000, 20.090000, 1400, 20.100000, 400, -19.180000, -4.770000
-1704834688, 20.099400, 20.090000, 800, 20.100000, 700, -19.180000, -4.770600
-1704832688, 20.105000, 20.110001, 1400, 20.120001, 200, -19.160000, -4.765000
-1704830692, 20.129999, 20.120001, 200, 20.129999, 1500, -19.059999, -4.740000
-1704828701, 20.129900, 20.120001, 1800, 20.129999, 400, -19.059999, -4.740100
-1704826686, 20.129900, 20.129999, 100, 20.139999, 2400, -19.059999, -4.740100
-1704824692, 20.139999, 20.129999, 400, 20.139999, 2500, -19.020000, -4.730000
-1704822689, 20.120001, 20.110001, 1400, 20.120001, 600, -19.100000, -4.750000
-1704820687, 20.115299, 20.110001, 1500, 20.120001, 2100, -19.120001, -4.754700
-1704818674, 20.125000, 20.120001, 500, 20.129999, 1100, -19.080000, -4.745000
-1704816679, 20.122499, 20.120001, 2400, 20.129999, 1400, -19.090000, -4.747500
-1704814678, 20.120001, 20.110001, 1300, 20.120001, 1300, -19.100000, -4.750000
-1704812685, 20.129900, 20.120001, 1200, 20.129999, 2800, -19.059999, -4.740100
-1704810678, 20.129999, 20.120001, 900, 20.129999, 4100, -19.059999, -4.740000
-1704808681, 20.124201, 20.120001, 900, 20.129999, 4200, -19.080000, -4.745800
-1704806675, 20.124001, 20.120001, 800, 20.129999, 3800, -19.080000, -4.746000
-1704804633, 20.110001, 20.110001, 700, 20.120001, 4500, -19.139999, -4.760000
-1704802673, 20.112499, 20.110001, 900, 20.120001, 2700, -19.129999, -4.757500
-1704800670, 20.110399, 20.110001, 500, 20.120001, 3300, -19.139999, -4.759600
-1704798690, 20.112499, 20.110001, 600, 20.120001, 3000, -19.129999, -4.757500
-1704796676, 20.110001, 20.110001, 600, 20.120001, 3300, -19.139999, -4.760000
-1704794665, 20.115000, 20.110001, 600, 20.120001, 3300, -19.120001, -4.755000
-1704792677, 20.110100, 20.110001, 900, 20.120001, 3200, -19.139999, -4.759900
-1704790665, 20.115000, 20.110001, 1000, 20.120001, 3400, -19.120001, -4.755000
-1704788635, 20.110001, 20.110001, 200, 20.120001, 4300, -19.139999, -4.760000
-1704786659, 20.110001, 20.110001, 1100, 20.120001, 3000, -19.139999, -4.760000
-1704784676, 20.115000, 20.110001, 1300, 20.120001, 2000, -19.120001, -4.755000
-1704782672, 20.115000, 20.110001, 1600, 20.120001, 2400, -19.120001, -4.755000
-1704780664, 20.110001, 20.110001, 1200, 20.120001, 1200, -19.139999, -4.760000
-1704778669, 20.110100, 20.110001, 600, 20.120001, 3800, -19.139999, -4.759900
-1704776634, 20.110001, 20.110001, 500, 20.120001, 1900, -19.139999, -4.760000
-1704774670, 20.119900, 20.110001, 500, 20.120001, 2100, -19.100000, -4.750100
-1704772653, 20.110100, 20.110001, 500, 20.120001, 2300, -19.139999, -4.759900
-1704770669, 20.119301, 20.110001, 1500, 20.120001, 1800, -19.100000, -4.750700
-1704768631, 20.120001, 20.110001, 3000, 20.120001, 1300, -19.100000, -4.750000
-1704766676, 20.115000, 20.110001, 1600, 20.120001, 1400, -19.120001, -4.755000
-1704764667, 20.115000, 20.110001, 600, 20.120001, 1100, -19.120001, -4.755000
-1704762663, 20.129999, 20.120001, 700, 20.129999, 1400, -19.059999, -4.740000
-1704760655, 20.165001, 20.160000, 500, 20.170000, 2100, -18.920000, -4.705000
-1704758659, 20.177500, 20.170000, 800, 20.180000, 600, -18.870001, -4.692500
-1704756653, 20.180000, 20.180000, 100, 20.180000, 100, -18.860001, -4.690000
-1704754670, 20.185699, 20.180000, 1100, 20.190001, 2400, -18.840000, -4.684300
-1704752661, 20.195200, 20.190001, 1700, 20.200001, 3200, -18.799999, -4.674800
-1704750653, 20.195000, 20.190001, 1900, 20.200001, 5600, -18.799999, -4.675000
-1704748668, 20.219999, 20.219999, 1500, 20.230000, 1100, -18.700001, -4.650000
-1704747155, 20.219999, 20.219999, 1000, 20.230000, 3200, -18.700001, -4.650000
-1704744659, 20.229900, 20.219999, 400, 20.230000, 4900, -18.660000, -4.640100
-1704742657, 20.205000, 20.200001, 700, 20.209999, 2300, -18.760000, -4.665000
-1704740669, 20.205000, 20.200001, 1500, 20.209999, 3500, -18.760000, -4.665000
-1704738659, 20.240000, 20.240000, 600, 20.240000, 700, -18.620001, -4.630000
-1704736656, 20.245001, 20.240000, 1000, 20.250000, 5600, -18.600000, -4.625000
-1704734654, 20.240101, 20.240000, 3000, 20.250000, 3700, -18.620001, -4.629900
-1704732674, 20.250000, 20.240000, 5100, 20.250000, 1300, -18.580000, -4.620000
-1704730641, 20.250000, 20.240000, 5100, 20.250000, 1800, -18.580000, -4.620000
-1704729163, 20.245001, 20.240000, 5100, 20.250000, 1400, -18.600000, -4.625000
-1704726661, 20.250000, 20.240000, 5100, 20.250000, 1400, -18.580000, -4.620000
-1704724649, 20.230000, 20.230000, 400, 20.240000, 1300, -18.660000, -4.640000
-1704722653, 20.230000, 20.219999, 600, 20.230000, 500, -18.660000, -4.640000
-1704720657, 20.215000, 20.209999, 700, 20.219999, 5300, -18.719999, -4.655000
-1704718636, 20.222500, 20.219999, 1200, 20.230000, 2300, -18.690001, -4.647500
-1704716629, 20.225000, 20.219999, 7700, 20.230000, 200, -18.680000, -4.645000
-1704714646, 20.250000, 20.240000, 10400, 20.250000, 5500, -18.580000, -4.620000
-1704712664, 20.243299, 20.240000, 10400, 20.250000, 6100, -18.600000, -4.626700
-1704710651, 20.250000, 20.240000, 10400, 20.250000, 7100, -18.580000, -4.620000
-1704708652, 20.240000, 20.240000, 10500, 20.250000, 6100, -18.620001, -4.630000
-1704706652, 20.250000, 20.240000, 10300, 20.250000, 5300, -18.580000, -4.620000
-1704704644, 20.245600, 20.240000, 7900, 20.250000, 6400, -18.590000, -4.624400
-1704702641, 20.250000, 20.240000, 8100, 20.250000, 5100, -18.580000, -4.620000
-1704700604, 20.250000, 20.240000, 8100, 20.250000, 5700, -18.580000, -4.620000
-1704698643, 20.250000, 20.240000, 8100, 20.250000, 5700, -18.580000, -4.620000
-1704696719, 20.250000, 20.240000, 8100, 20.250000, 5800, -18.580000, -4.620000
-1704694718, 20.250000, 20.240000, 8100, 20.250000, 5800, -18.580000, -4.620000
-1704692725, 20.260000, 20.250000, 1100, 20.260000, 3300, -18.540001, -4.610000
-1704690722, 20.289900, 20.280001, 1000, 20.290001, 3700, -18.420000, -4.580100
-1704689227, 20.290001, 20.280001, 2000, 20.290001, 3400, -18.420000, -4.580000
-1704686718, 20.290001, 20.280001, 800, 20.290001, 3700, -18.420000, -4.580000
-1704684719, 20.290001, 20.280001, 900, 20.290001, 4300, -18.420000, -4.580000
-1704682709, 20.290001, 20.280001, 900, 20.290001, 5100, -18.420000, -4.580000
-1704680716, 20.290001, 20.280001, 900, 20.290001, 11300, -18.420000, -4.580000
-1704678713, 20.275000, 20.270000, 1000, 20.280001, 14600, -18.480000, -4.595000
-1704676713, 20.250000, 20.250000, 13300, 20.260000, 800, -18.580000, -4.620000
-1704674704, 20.254999, 20.250000, 7500, 20.260000, 14600, -18.559999, -4.615000
-1704672697, 20.254999, 20.250000, 7500, 20.260000, 14700, -18.559999, -4.615000
-1704670708, 20.254999, 20.250000, 7500, 20.260000, 21900, -18.559999, -4.615000
-1704668712, 20.250000, 20.240000, 8200, 20.250000, 18000, -18.580000, -4.620000
-1704666707, 20.249001, 20.240000, 8500, 20.250000, 4100, -18.580000, -4.621000
-1704664714, 20.250000, 20.240000, 8200, 20.250000, 500, -18.580000, -4.620000
-1704662702, 20.254999, 20.250000, 1400, 20.260000, 25800, -18.559999, -4.615000
-1704661180, 20.279900, 20.260000, 1100, 20.280001, 300, -18.459999, -4.590100
-1704659700, 20.270000, 20.260000, 400, 20.270000, 700, -18.500000, -4.600000
-1704656708, 20.269501, 20.260000, 600, 20.270000, 5100, -18.500000, -4.600500
-1704654704, 20.270000, 20.260000, 800, 20.270000, 3700, -18.500000, -4.600000
-1704652701, 20.264999, 20.260000, 900, 20.270000, 1600, -18.520000, -4.605000
-1704650710, 20.266701, 20.260000, 500, 20.270000, 500, -18.510000, -4.603300
-1704648696, 20.279499, 20.270000, 1000, 20.280001, 200, -18.459999, -4.590500
-1704646704, 20.285500, 20.270000, 2100, 20.290001, 2900, -18.430000, -4.584500
-1704644697, 20.289900, 20.280001, 600, 20.290001, 2100, -18.420000, -4.580100
-1704642675, 20.290001, 20.280001, 1300, 20.290001, 200, -18.420000, -4.580000
-1704640705, 20.290001, 20.290001, 700, 20.299999, 10800, -18.420000, -4.580000
-1704639202, 20.273800, 20.270000, 200, 20.280001, 200, -18.480000, -4.596200
-1704637193, 20.280001, 20.270000, 500, 20.280001, 700, -18.459999, -4.590000
-1704634700, 20.280001, 20.270000, 600, 20.280001, 1000, -18.459999, -4.590000
-1704632691, 20.285000, 20.280001, 200, 20.290001, 1000, -18.440001, -4.585000
-1704630697, 20.280100, 20.280001, 1400, 20.290001, 1600, -18.459999, -4.589900
-1704629194, 20.290001, 20.280001, 2200, 20.290001, 800, -18.420000, -4.580000
-1704626701, 20.285500, 20.280001, 2100, 20.290001, 1000, -18.430000, -4.584500
-1704624687, 20.280100, 20.280001, 2000, 20.290001, 1000, -18.459999, -4.589900
-1704622695, 20.290001, 20.280001, 5300, 20.290001, 600, -18.420000, -4.580000
-1704620693, 20.285000, 20.280001, 5300, 20.290001, 500, -18.440001, -4.585000
-1704618683, 20.285000, 20.280001, 5300, 20.290001, 700, -18.440001, -4.585000
-1704616669, 20.289000, 20.280001, 4900, 20.290001, 900, -18.420000, -4.581000
-1704614673, 20.285000, 20.280001, 4500, 20.290001, 1600, -18.440001, -4.585000
-1704612689, 20.285000, 20.280001, 4500, 20.290001, 1800, -18.440001, -4.585000
-1704610658, 20.270100, 20.270000, 200, 20.280001, 1000, -18.500000, -4.599900
-1704608700, 20.280001, 20.270000, 600, 20.280001, 800, -18.459999, -4.590000
-1704606690, 20.276501, 20.270000, 600, 20.280001, 800, -18.469999, -4.593500
-1704604647, 20.280001, 20.270000, 1100, 20.280001, 700, -18.459999, -4.590000
-1704602694, 20.278999, 20.270000, 500, 20.280001, 1300, -18.459999, -4.591000
-1704600692, 20.276600, 20.270000, 500, 20.280001, 3500, -18.469999, -4.593400
-1704598653, 20.270100, 20.270000, 500, 20.280001, 7000, -18.500000, -4.599900
-1704596689, 20.264999, 20.260000, 2600, 20.270000, 1900, -18.520000, -4.605000
-1704594690, 20.260000, 20.260000, 1100, 20.270000, 4800, -18.540001, -4.610000
-1704593191, 20.264999, 20.260000, 800, 20.270000, 3000, -18.520000, -4.605000
-1704590685, 20.261101, 20.260000, 1100, 20.270000, 1300, -18.530001, -4.608900
-1704588677, 20.266500, 20.260000, 1100, 20.270000, 1700, -18.510000, -4.603500
-1704586666, 20.250000, 20.250000, 500, 20.250000, 400, -18.580000, -4.620000
-1704584668, 20.250099, 20.250000, 400, 20.260000, 5700, -18.580000, -4.619900
-1704582677, 20.253799, 20.250000, 400, 20.260000, 5700, -18.559999, -4.616200
-1704580683, 20.255600, 20.250000, 700, 20.260000, 5700, -18.549999, -4.614400
-1704579192, 20.250000, 20.250000, 800, 20.260000, 6500, -18.580000, -4.620000
-1704576646, 20.259899, 20.250000, 1400, 20.260000, 10000, -18.540001, -4.610100
-1704574673, 20.250000, 20.250000, 1400, 20.260000, 11600, -18.580000, -4.620000
