time,price,bid,bidQty,offer,offerQty,percent,change
-1704890417, 23.969999, 23.959999, 2400, 23.969999, 700, -2.520000, -0.620000
-1704890417, 23.969999, 23.959999, 2400, 23.969999, 700, -2.520000, -0.620000
-1704886918, 23.966999, 23.959999, 2400, 23.969999, 700, -2.530000, -0.623000
-1704884908, 23.969999, 23.959999, 2400, 23.969999, 900, -2.520000, -0.620000
-1704882907, 23.969999, 23.959999, 2400, 23.969999, 900, -2.520000, -0.620000
-1704880916, 23.969999, 23.959999, 2400, 23.969999, 900, -2.520000, -0.620000
-1704878917, 23.969999, 23.959999, 2400, 23.969999, 900, -2.520000, -0.620000
-1704876906, 23.965000, 23.959999, 2400, 23.969999, 900, -2.540000, -0.625000
-1704874911, 23.965000, 23.959999, 2400, 23.969999, 900, -2.540000, -0.625000
-1704873403, 23.966999, 23.959999, 2400, 23.969999, 1200, -2.530000, -0.623000
-1704870908, 23.965000, 23.959999, 2400, 23.969999, 1000, -2.540000, -0.625000
-1704868902, 23.965000, 23.959999, 2400, 23.969999, 800, -2.540000, -0.625000
-1704866905, 23.969999, 23.969999, 500, 23.980000, 700, -2.520000, -0.620000
-1704864912, 23.980000, 23.969999, 900, 23.980000, 500, -2.480000, -0.610000
-1704862912, 23.980000, 23.969999, 400, 23.980000, 700, -2.480000, -0.610000
-1704860915, 23.969999, 23.959999, 2400, 23.969999, 700, -2.520000, -0.620000
-1704858894, 23.969999, 23.959999, 2500, 23.969999, 700, -2.520000, -0.620000
-1704856886, 23.969999, 23.959999, 2500, 23.969999, 700, -2.520000, -0.620000
-1704854900, 23.969999, 23.959999, 2500, 23.969999, 600, -2.520000, -0.620000
-1704852908, 23.969999, 23.959999, 2500, 23.969999, 600, -2.520000, -0.620000
-1704850904, 23.969999, 23.959999, 2500, 23.969999, 600, -2.520000, -0.620000
-1704848895, 23.959999, 23.959999, 2500, 23.969999, 500, -2.560000, -0.630000
-1704846902, 23.959999, 23.959999, 2500, 23.969999, 1000, -2.560000, -0.630000
-1704845354, 23.950001, 23.940001, 600, 23.950001, 900, -2.600000, -0.640000
-1704842903, 23.941099, 23.940001, 300, 23.950001, 1000, -2.640000, -0.648900
-1704840898, 23.941099, 23.940001, 200, 23.950001, 1100, -2.640000, -0.648900
-1704839404, 23.944799, 23.940001, 200, 23.950001, 1800, -2.620000, -0.645200
-1704836891, 23.944300, 23.940001, 200, 23.950001, 1700, -2.630000, -0.645700
-1704834899, 23.944300, 23.940001, 200, 23.950001, 1700, -2.630000, -0.645700
-1704832904, 23.943399, 23.940001, 300, 23.950001, 1700, -2.630000, -0.646600
-1704830887, 23.934999, 23.930000, 900, 23.940001, 1000, -2.660000, -0.655000
-1704828880, 23.935699, 23.930000, 900, 23.940001, 1200, -2.660000, -0.654300
-1704826883, 23.935699, 23.930000, 900, 23.940001, 1000, -2.660000, -0.654300
-1704824833, 23.935699, 23.930000, 900, 23.940001, 1200, -2.660000, -0.654300
-1704822898, 23.935699, 23.930000, 900, 23.940001, 1000, -2.660000, -0.654300
-1704820844, 23.935699, 23.930000, 900, 23.940001, 1100, -2.660000, -0.654300
-1704818885, 23.935699, 23.930000, 900, 23.940001, 1100, -2.660000, -0.654300
-1704816874, 23.935699, 23.930000, 900, 23.940001, 1300, -2.660000, -0.654300
-1704814894, 23.930000, 23.930000, 900, 23.940001, 1100, -2.680000, -0.660000
-1704812878, 23.930000, 23.930000, 900, 23.940001, 1100, -2.680000, -0.660000
-1704810881, 23.930000, 23.930000, 900, 23.940001, 900, -2.680000, -0.660000
-1704808881, 23.930000, 23.930000, 900, 23.940001, 900, -2.680000, -0.660000
-1704806886, 23.930000, 23.930000, 900, 23.940001, 1200, -2.680000, -0.660000
-1704804903, 23.930201, 23.930000, 900, 23.940001, 1300, -2.680000, -0.659800
-1704802880, 23.930201, 23.930000, 900, 23.940001, 1000, -2.680000, -0.659800
-1704800890, 23.930000, 23.930000, 900, 23.940001, 1100, -2.680000, -0.660000
-1704799333, 23.930000, 23.930000, 800, 23.940001, 1300, -2.680000, -0.660000
-1704796891, 23.930000, 23.930000, 900, 23.940001, 1300, -2.680000, -0.660000
-1704795372, 23.930000, 23.930000, 900, 23.940001, 1100, -2.680000, -0.660000
-1704792883, 23.930000, 23.930000, 1000, 23.940001, 1000, -2.680000, -0.660000
-1704790887, 23.940001, 23.930000, 1500, 23.940001, 700, -2.640000, -0.650000
