time,price,bid,bidQty,offer,offerQty,percent,change
-1704890694, 1.340000, 1.340000, 800, 1.350000, 2300, -5.630000, -0.080000
-1704888698, 1.340000, 1.340000, 800, 1.350000, 2300, -5.630000, -0.080000
-1704886684, 1.340000, 1.340000, 800, 1.350000, 2300, -5.630000, -0.080000
-1704884705, 1.340000, 1.340000, 600, 1.350000, 2300, -5.630000, -0.080000
-1704882715, 1.340000, 1.340000, 600, 1.350000, 2300, -5.630000, -0.080000
-1704880673, 1.340000, 1.340000, 600, 1.350000, 2300, -5.630000, -0.080000
-1704878712, 1.340000, 1.340000, 600, 1.350000, 2300, -5.630000, -0.080000
-1704876706, 1.340000, 1.340000, 600, 1.350000, 2300, -5.630000, -0.080000
-1704874659, 1.340000, 1.340000, 600, 1.350000, 2300, -5.630000, -0.080000
-1704872700, 1.340000, 1.340000, 600, 1.350000, 2300, -5.630000, -0.080000
-1704870700, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704868706, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704866692, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704864700, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704862716, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704861204, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704858706, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704856699, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704854697, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704852694, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704850697, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704848680, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704846695, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704844688, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704842699, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704840692, 1.340000, 1.340000, 1000, 1.350000, 2300, -5.630000, -0.080000
-1704838683, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704836689, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704834688, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704832689, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704830693, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704828702, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704826686, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704824693, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704822690, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704820687, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704818675, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704816679, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704814678, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704812685, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704810679, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704808681, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704806675, 1.340000, 1.340000, 1000, 1.350000, 2400, -5.630000, -0.080000
-1704804633, 1.340700, 1.340000, 900, 1.350000, 2400, -5.580000, -0.079300
-1704802673, 1.340700, 1.340000, 900, 1.350000, 2400, -5.580000, -0.079300
-1704800670, 1.340700, 1.340000, 900, 1.350000, 2400, -5.580000, -0.079300
-1704798691, 1.347700, 1.340000, 900, 1.350000, 2400, -5.090000, -0.072300
-1704796676, 1.347700, 1.340000, 900, 1.350000, 2400, -5.090000, -0.072300
-1704794665, 1.347700, 1.340000, 900, 1.350000, 2400, -5.090000, -0.072300
-1704792677, 1.347700, 1.340000, 900, 1.350000, 2400, -5.090000, -0.072300
-1704790665, 1.347700, 1.340000, 900, 1.350000, 2400, -5.090000, -0.072300
-1704788636, 1.347700, 1.340000, 900, 1.350000, 2400, -5.090000, -0.072300
-1704786660, 1.347700, 1.340000, 900, 1.350000, 2400, -5.090000, -0.072300
-1704784676, 1.347700, 1.340000, 900, 1.350000, 2400, -5.090000, -0.072300
-1704782672, 1.347700, 1.340000, 900, 1.350000, 2400, -5.090000, -0.072300
-1704780665, 1.347700, 1.340000, 900, 1.350000, 2400, -5.090000, -0.072300
-1704778670, 1.347700, 1.340000, 900, 1.350000, 2400, -5.090000, -0.072300
-1704776634, 1.347700, 1.340000, 900, 1.350000, 2400, -5.090000, -0.072300
-1704774670, 1.347700, 1.340000, 900, 1.350000, 2400, -5.090000, -0.072300
-1704772653, 1.347700, 1.340000, 900, 1.350000, 2400, -5.090000, -0.072300
